Category,Tender Number,Tender Description,Advertised,Closing,Organ Of State,Tender Type,Province,"Place where goods, works or services are required",Special Conditions,Contact Person,Email,Telephone number,FAX Number,Is there a briefing session?,Is it compulsory?,Briefing Date and Time,Briefing Venue,eSubmission,Two Envelope Submission,Source URL,Tender ID
Human health activities,WCGHSC0414/2023,"THE SUPPLY OF MEDICAL LOCUMS OF ALL GRADES AND SPECIALITIES INCLUDING STANDBY, ON CALL (EXCLUSIVE OF NURSING AND ADMINISTRATIVE PERSONNEL) TO ALL HOSPITALS/INSTITUTIONS UNDER THE WESERN CAPE DEPATMENT OF HEALTH.",20/02/2026,20/03/2026,Western Cape - Health,Request for Bid(Open-Tender),Western Cape,"4 Dorp Street, Cape Town, Metro, Cape Town, 8001","Potential bidders may ask for clarification on the Terms of Reference or any of its Annexures up to 3 working day prior to bid closing. Any request for clarification must be submitted by email to Dineo Tong (Dineo.Tong@westerncape.gov.za). Bidders are advised to submit their pricing on a USB. 

Answers to any written queries referred to Supply Chain Sourcing in accordance with the above-mentioned paragraph will be responded to via email and e-Tender Portal.",Dineo Tong,Dineo.Tong@westerncape.gov.za,021-483-3987,N/A,No,No,,,No,No,/tender/147492,147492
Services: General,GQET-25/26-040,"GQEBERHA (PE) AREA: SERVICING, MAINTENANCE AND REPAIRS OF GAS REFRIGERATION EQUIPMENT FOR 36 MONTHS.",20/02/2026,17/03/2026,Public Works,Request for Bid(Open-Tender),Eastern Cape,"Hancock, North End, Gqeberha (Port Elizabeth)",ARE IN THE TENDER DOCUMENT,Peter Ntlanganiso Blouw,Peter.Blouw@dpw.gov.za,083-590-2304,N/A,Yes,Yes,,"Gqeberha (Port Elizabeth), Eben Donges Building, Hancock, North End",No,No,/tender/147860,147860
Services: General,GQET-25/26-041,"EAST LONDON AREA: SERVICING, MAINTENANCE AND REPAIRS OF GAS AND REFRIGERATION EQUIPMENT FOR 36 MONTHS.",20/02/2026,17/03/2026,Public Works,Request for Bid(Open-Tender),Eastern Cape,"38 KING STREET, SOUTHERNWOOD, EAST LONDON",ARE IN THE TENDER DOCUMENT,Peter Ntlanganiso Blouw,Peter.Blouw@dpw.gov.za,083-590-2304,N/A,Yes,Yes,,EAST LONDON: 38 KING STREET; SOUTHERNWOOD,No,No,/tender/147861,147861
Services: Professional,GT/GPT/009/2026,DEVELOPMENT OF BIOMETRIC AUTHENTICATION SYSTEM INCLUDING SUPPORT AND MAINTENANCE FOR PERIOD OF 3 YEARS,20/02/2026,13/03/2026,Gauteng - Provincial Treasury,Request for Bid(Open-Tender),Gauteng,"Imbumba House, 75 Fox Street, Marshalltown , Johannesburg, 2017",N/A,Mpilonhle Buthelezi,MPILONHLE.BUTHELEZI@gauteng.gov.za,000-000-0000,000-000-0000,Yes,No,,MICROSOFT TEAMS MEETING LINK:  https://teams.microsoft.com/meet/34266167814255?p=1ZW4WYNXqiKIEIKUsk ,No,No,/tender/147868,147868
Services: Professional,BSM 64/26,APPOINTMENT OF A SERVICE PROVIDER FOR THE UNBUNDLING OF INFRASTRUCTURE ASSETS FOR THE PERIOD FROM 1 JULY 2026 UNTIL 30 JUNE 2029.  ,20/02/2026,23/03/2026,Stellenbosch Municipality,Request for Bid(Open-Tender),Western Cape,"Plein Street, Stellenbosch, Stellenbosch, 7690",Will be stipulated within the tender document.,Adriaan Janse van Rensburg,Adriaan.jansevanrensburg@stellenbosch.gov.za,021-808-8797,N/A,No,No,,,No,No,/tender/148039,148039
Construction,SCMU10-25/26-0018,PROVISIONING OF MATERIAL TESTING LABORATORY SERVICES FOR IN HOUSE CONSTRUCTION FOR A PERIOD OF THIRTY SIX (36) MONTHS,20/02/2026,13/03/2026,Eastern Cape - Transport,Request for Bid(Open-Tender),Eastern Cape,"King WilliamsTown, King williams Town, KING WILLIAMS TOWN, 5600",N/A,Phakamisa Ngqola,phakamisa.ngqola@ectransport.gov.za,066-381-7987,N/A,No,No,,,Yes,No,/tender/148087,148087
Information and communication,SCMU: 13 - 2025/26,"TERMS OF REFERENCE FOR APPOINTMENT OF A SERVICE PROVIDER TO SUPPLY, INSTALL WIRELESS NETWORK INFRASTRUCTURE SOLUTION FOR ETDP SETA",20/02/2026,16/03/2026,"Education, Training and Development Practices SETA",Request for Bid(Open-Tender),National,"112 MAIN STREET, MARSHALLTOWN, JOHANNESBURG, 2094","The ETDP SETA will host a NON-COMPULSORY virtual briefing session for BID NO: SCMU: 13 – 2025/26 - Appointment of a service provider to supply, install wireless network infrastructure solution for ETDP SETA on 04 March 2026 at 11h00. Access details will be available on www.etdpseta.org.za as at 02 March 2026. Kindly note that interested service providers may submit their questions until at 05 March 2026 at 12h00. No further questions will be accepted after this date. We thank you for your cooperation.",Siphesihle Nzima,tenderers@etdpseta.org.za,011-372-3300,N/A,Yes,No,,The ETDP SETA will host a NON-COMPULSORY virtual briefing session for BID NO: SCMU: 13 – 2025/26 ,No,No,/tender/148200,148200
Other service activities,CDC/50/26,LEASING OF NEW VEHICLES FOR VARIOUS COEGA OFFICES WITH FULL SERVICE AND MAINTENANCE PLANS FOR A PERIOD OF 5YEARS (60 MONTHS),20/02/2026,17/03/2026,Coega Development Cooperation,Expression of interest,Eastern Cape,"Coega Business Centre, Corner Alcyon Road and Zibuko Street, Zone 1, Coega SEZ, Gqeberha, 6001","The EOI documents will be available for download from the CDC website (www.coega.co.za) and e-Tender Portal  from 12h00 on 20 February 2026, at no cost. No hard copies of the EOI Documents will be made available by CDC to any Bidder.  ",Zine Mtanda,tenderscdc5026@coega.co.za,000-000-0000,000-000-0000,Yes,Yes,,Microsoft Teams,No,No,/tender/148227,148227
Other service activities,CDC/41/26,PREFERRED SERVICE PROVIDERS FOR VARIOUS MAINTENANCE SERVICES FOR COEGA DEVELOPMENT CORPORATION - Sewer Pumpstations Maintenance,20/02/2026,13/04/2026,Coega Development Cooperation,Request for Proposal,Eastern Cape,"Coega Business Centre, Corner Alcyon Road and Zibuko Street, Corner Alcyon Road and Zibuko Street, Gqeberha, 6000","RFP documents will be available for downloading from the Coega Development Corporation website, www.coega.com and E-Tender portal from Friday, 20 February 2026 at 10h00 am. Potential bidders will be required to provide their email addresses on the CDC website before downloading the documentation for correspondence purposes. Potential bidders must therefore ensure that the email addresses are correct.
Queries relating to this RFP document may be addressed to Ms. Zine Mtanda, Unit Head: Supply Chain Management e-mail tenderscdc4126@coega.co.za between the period of  20 February 2026 to 10 April 2026. No new queries received after the 10 April 2026 will be entertained. 
",Ms Zine Mtanda,tenderscdc4126@coega.co.za,000-000-0000,000-000-0000,Yes,Yes,,"Vulindlela Accommodation and Conference Centre, Addo Road, Gqeberha (Building opposite the Truck-In-",No,No,/tender/148230,148230
Administrative and support activities,24/2025/2026,"SUPPLY, DELIVERY AND MAINTENANCE OF BACK-END HIGH-VOLUME COLOUR MULTIFUNCION PRINTERS FOR 3 YEARS",20/02/2026,08/04/2026,Thulamela Local Municipality,Request for Bid(Open-Tender),Limpopo,"OLD AGRIVEN BUILDING, THOHOYANDOU, THOHOYANDOU, 0950",N/A,MR DAVHULA K,DAVHULAK@THULAMELA.GOV.ZA,015-962-7718,N/A,No,No,,,No,No,/tender/148241,148241
