category,tenderNumber,description,advertised,closing,cancelled,AI_Related,AI_Reason
Services: Functional (Including Cleaning and Security Services),SCMU8 - 25/26 - 0082,Provision of security services for East London District and the Zwelitsha DoA Offices in the Amathole District for a period of 36 months,18/09/2025,13/10/2025,,,
Construction,RFQ/OBP166/2025/26,Concrete Slab 10m from the building right around the building at VPF,18/09/2025,02/10/2025,,,
Construction,MS/2025/2026/012/951/T,CONSTRUCTION OF NDANYANA SPORTFIELD,18/09/2025,17/10/2025,,,
Construction,MS/2025/2026/125/951/T,Rehabilitation of Mhlaba Access Road,18/09/2025,02/10/2025,,,
Construction,MS/2025/2026/124/951/T,Rehabilitation of Mlindazwe Access Road,18/09/2025,02/10/2025,,,
Construction,MS/2025/2026/126/951/T,Rehabilitation of Gonondo Access Road,18/09/2025,02/10/2025,,,
Supplies: General,SMQ13-25-26,Supply and Installation of blinds at Swellendam Municipality for a 2 year period,18/09/2025,26/09/2025,,,
Rental and leasing activities,SMQ14-25-26,HIRE OF DIGGER LOADER (TLB) AND 10M3 TIP TRUCK FOR A 6-MONTH PERIOD ON AN AS-AND-WHEN BASIS,18/09/2025,26/09/2025,,,
"Water collection, treatment and supply",CES 19/2025,Condition based predictive maintenance for Drakenstein Wastewater Treatment Works and Sewage Pump Stations for a period up to 31 December 2027,18/09/2025,09/10/2025,,,
Supplies: General,ED6/2025,Supply and Delivery of Personal Protective Equipment (PPE) for a period ending 30 June 2028,18/09/2025,16/10/2025,,,
Supplies: General,COMM 02/2025/26,THE SUPPLY OF PETROL AND DIESEL TO THEEWATERSKLOOF MUNICIPALITY FROM DATE OF APPOINTMENT UNTIL 30 JUNE 2028.,18/09/2025,17/10/2025,,,
Other service activities,SCM/MLM/07/25-26,Supply and Delivery of Catering for Elderly Month Programme,18/09/2025,25/09/2025,,,
Other service activities,SCM/MLM/12/24-25..,Supply and Delivery of Catering for Children’s Month Programme,18/09/2025,25/09/2025,,,
Services: General,IHLM/67/2025-26/ADMIN,PANEL OF TRAINING PROVIDERS FOR A PERIOD OF 02 YEARS,18/09/2025,20/10/2025,,,
Manufacture of machinery and equipment n.e.c.,RFQ 201813,APPOINTMENT OF A SERVICE PROVIDER TO SUPPLY AND DELIVER IMPACT HAMMER VERIFICATION KIT,18/09/2025,25/09/2025,,,
Supplies: General,NRF ILABS IOP1/131/2025-26,"SUPPLY AND DELIVERY OF LEAD BRICKS AND LEAD PLATE CASTING FOR THE NUCLEAR MEDICINE DEPARTMENT AT ITHEMBA LABS, CAPE TOWN",18/09/2025,23/10/2025,,,
Services: Professional,WCKBG2476RSC,"Cancellation - Provision of HVAC&R (Heating, Ventilation, Air-conditioning & Refrigeration) services for non-plant systems for a period of 5 years at Koeberg Operating Unit (KOU)",18/09/2025,30/09/2025,,,
Scientific research and development,OVI01REQ002756,Analysis of samples (Animal tissues),18/09/2025,25/09/2025,,,
Supplies: Computer Equipment,PU4321/089,"THE APPOINTMENT OF A PANEL FOR THE SUPPLY, DELIVERY AND MAINTANANCE OF LAPTOPS AND DESKTOPS AND ALL RELATED GOODS AND SERVICES (INCLUDING CONSUMABLES)",18/09/2025,09/10/2025,,,
Supplies: General,ITS012508RFQ00000046,Felix Instruments Three Gas analyser: F-790(ARC-TSC) Nelspruit,18/09/2025,26/09/2025,,,
Services: Functional (Including Cleaning and Security Services),'NRCS 010 2025/2026,APPOINTMENT OF A SERVICE PROVIDER TO PROVIDE SECURITY SERVICES TO THE NRCS PORT ELIZABETH FOR A PERIOD OF SIXTY (60) MONTHS,18/09/2025,16/10/2025,,,
Education,RFQ NO:175 AM (25/26),REQUEST FOR QUOTATION FOR MANAGEMENT LIFECYCLE ON INFRASTRUCTURE PROJECTS SHORT COURCE,18/09/2025,25/09/2025,,,
Services: Professional,E1863GXMPKOM,MONITORING OF KOMATI POWER STATION ASH DAMS AND WATER DAMS FOR A PERIOD OF 03 YEARS,18/09/2025,16/10/2025,,,
Services: General,ITS012509RFQ00000014,Full assessment -Biological &Physical (ARC-TSC) Levubu,18/09/2025,26/09/2025,,,
Supplies: General,E1832GXMPKOM,Supply and delivery of Solar PV Demo Plant Spares on an “as-and-when” required basis for a period of 24 months at Komati Power Station,18/09/2025,08/10/2025,,,
Services: General,UMZ/INFRA/DIS/2025-26/001,Construction of Cabane Slab,18/09/2025,14/10/2025,,,
Services: Functional (Including Cleaning and Security Services),Q34-2025-26,"ADVERTISEMENT: QUOTATION FOR THE APPOINTMENT OF A SERVICE PROVIDER FOR THE SUPPLY AND DELIVERY OF COMPREHENSIVE SANITARY SERVICES (SHE-BIN SERVICE) ACCORDING TO THE CITY OF TSHWANE’S REQUIREMENTS, AS AND WHEN REQUIRED",18/09/2025,01/10/2025,,,
Construction,ZNQ 12-2025/2026,RAY NKONYENI LOCAL MUNICIPALITY: DEPARTMENT OF HEALTH: NTABENI CLINIC: REPAIRS TO ROOF DAMAGED BY STORM. 2 GB,18/09/2025,02/10/2025,,,
Real estate activities,E1768DXNC,"Request for an Expression of Interest (EOI): Provision of Office Building for Acquisition (outright purchase) in Kuruman, Northern Cape Operating Unit",18/09/2025,02/10/2025,,,
Services: Civil,COM88/2025,APPOINTMENT OF A PANEL OF PROFESSIONAL ENGINEERING SERVICES FOR VARIOUS PROJECTS FOR CITY OF MBOMBELA FOR A PERIOD THREE (3) YEARS,18/09/2025,20/10/2025,,,
Services: General,COM106/2025,"APPOINTMENT OF A CATERING, SOUND SYSTEM, AUDIO-VISUAL AND TRANSPORT SERVICE PROVIDER FOR AN OUTREACH PROGRAMME IN THE SOUTHERN REGION WITHIN THE CITY OF MBOMBELA",18/09/2025,25/09/2025,,,
Scientific research and development,NRF SAEON/SMCRI/39/2025-26,"Appointment of a service provider to supply, delivery and installation of a Critical Point Dryer (CPD) including all associated accessories, and a five (5) year service and maintenance contract for the South African Environmental Observation Network (SAEON) Elwandle office in Gqeberha",18/09/2025,10/10/2025,,,
Services: General,ITS012509RFQ00000008,Full Medicals - Biological and physical examination (ARC-TSC) Hluhluwe,18/09/2025,26/09/2025,,,
Services: General,COM107/2025,"APPOINTMENT OF A CATERING, SOUND SYSTEM, AUDIO-VISUAL AND TRANSPORT SERVICE PROVIDER FOR AN OUTREACH PROGRAMME IN THE NORTHERN REGION WITHIN THE CITY OF MBOMBELA",18/09/2025,25/09/2025,,,
Services: General,UMZ/INFRA/DIS/2025-26/002,Reconstruction of Lutshikini Access Road,18/09/2025,13/10/2025,,,
Real estate activities,E1769DXNC,"Request for an Expression of Interest (EOI): Provision of Office Building for Acquisition (outright purchase) in Upington Industrial, Northern Cape Operating Unit",18/09/2025,06/10/2025,,,
