Category,Tender Number,Tender Description,Advertised,Closing,Organ Of State,Tender Type,Province,"Place where goods, works or services are required",Special Conditions,Contact Person,Email,Telephone number,FAX Number,Is there a briefing session?,Is it compulsory?,Briefing Date and Time,Briefing Venue,eSubmission,Two Envelope Submission,Source URL,Tender ID,Source
Municipal,BID/09/2025-26,INTERMEDIARY FOR SHORT-TERM INSURANCE FOR THREE (3) YEARS,,26/01/2026,Matjhabeng Local Municipality,Request for Bid,Free State,"Municipal Civic Centre, 319 Stateway, Welkom, 9460",,Mr. L Sebatane,lesibos@matjhabeng.co.za,057 391 3911,,,,14:00,"Municipal Civic Centre, 319 Stateway, Welkom, 9460",,,https://matjhabengmunicipality.co.za/assets/resources/tenders/2025_26/BidDocuments/TENDER DOCUMENT - BID_09_2025-26 - INTERMEDIARY FOR SHORT-TERM INSURANCE FOR THREE (3) YEARS.pdf,,Matjhabeng
Municipal,BID/19/2025-26,APPOINTMENT OF SKILLS DEVELOPMENT PROVIDERS/ CONSULTANTS (SDP'S) TO FACILITATE SKILLS DEVELOPMENT IN MATJHABENG FOR THE PERIOD OF THREE (3) YEARS AS AND WHEN REQUIRED BASIS,13/02/2026,16/03/2026,Matjhabeng Local Municipality,Request for Bid,Free State,"C/O RYK AND STATEWAY STREET, CBD, WELKOM, 9460",,DR.F KRUGER,FRIKKIE.KRUGER@MATJHABENG.CO.ZA,057-391-3911,,,,14:00,"C/O RYK AND STATEWAY STREET, CBD, WELKOM, 9460",,,https://matjhabengmunicipality.co.za/assets/resources/tenders/2025_26/BID_19_2025-26.pdf,,Matjhabeng
Municipal,BID/18/2025-26,"PANEL OF SUPPLIERS FOR THE SUPPLY,DELIVERY,INSTALLATION AND MAINTENANCE OF NEW WEIGHBRIDGE AS AND WHEN REQUIRED BASIS",13/02/2026,16/03/2026,Matjhabeng Local Municipality,Request for Bid,Free State,"C/O RYK AND STATEWAY STREET, CBD, WELKOM, 9460",,MR.L. NCAPAI,LUNGAN@MATJHABENG.CO.ZA,064-961-3664,,,,14:00,"C/O RYK AND STATEWAY STREET, CBD, WELKOM, 9460",,,https://matjhabengmunicipality.co.za/assets/resources/tenders/2025_26/BID_18_2025-26.pdf,,Matjhabeng
Municipal,BID/17/2025-26,PANEL OF CONTRACTORS FOR THE MAINTENANCE OF SEWER MANHOLES AND SEWER PUMPSTATIONS SUMP AND ASSOCIATED INFRASTRUCTURE AS AND WHEN REQUIRED BASIS,14/02/2026,16/03/2026,Matjhabeng Local Municipality,Request for Bid,Free State,"C/O RYK AND STATEWAY STREET, CBD, WELKOM, 9460",,MR.P. MATHEBULA,PETERM@MATJHABENG.CO.ZA,057-391-3911,,,,14:00,"C/O RYK AND STATEWAY STREET, CBD, WELKOM, 9460",,,https://matjhabengmunicipality.co.za/assets/resources/tenders/2025_26/BID_17_2025-26.pdf,,Matjhabeng
Municipal,BID/16/2025-26,PANEL OF SUPPLIERS FOR THE SUPPLY OF SEWER TRAILER PUMPS AS AND WHEN REQUIRED BASIS,13/02/2026,16/03/2026,Matjhabeng Local Municipality,Request for Bid,Free State,"C/O RYK AND STATEWAY STREET, CBD, WELKOM, 9460",,MR.P. MATHEBULA,PETERM@MATJHABENG.CO.ZA,057-391-3911,,,,14:00,"C/O RYK AND STATEWAY STREET, CBD, WELKOM, 9460",,,https://matjhabengmunicipality.co.za/assets/resources/tenders/2025_26/BID_16_2025-26.pdf,,Matjhabeng
Municipal,MMM/BID 802: 2025/2026,RENTAL OF MOBILE TOILETS FOR MANGAUNG METROPOLITAN MUNICIPALITY.,23/01/2026,23/02/2026,Mangaung Metropolitan Municipality,Request for Bid,Free State,Bloemfontein,,,,,,,,11:30am,,,,https://www.mangaung.co.za/2026/01/23/list-of-available-bids-204/,,Mangaung
Municipal,MMM/BID 803: 2025/2026,"SUPPLY, DELIVERY AND INSTALLATION OF SHACKS AND EMERGENCY RELIEF GOODS (BLANKETS, MATTRESSES) FOR MANGAUNG METROPOLITAN MUNICIPALITY.",23/01/2026,24/02/2026,Mangaung Metropolitan Municipality,Request for Bid,Free State,Bloemfontein,,,,,,,,11:30am,,,,https://www.mangaung.co.za/2026/01/23/list-of-available-bids-204/,,Mangaung
Municipal,MMM/BID: 804: 2025/2026,"SUPPLY, DELIVERY, INSTALLATION AND MAINTENANCE OF A WALKTHROUGH METAL DETECTOR SYSTEM AND X RAY LUGGAGE DETECTOR MACHINE.",23/01/2026,25/02/2026,Mangaung Metropolitan Municipality,Request for Bid,Free State,Bloemfontein,,,,,,,,11:30am,,,,https://www.mangaung.co.za/2026/01/23/list-of-available-bids-204/,,Mangaung
Municipal,MMM/BID: 806: 2025/2026,REGIONAL PARK DEVELOPMENT -BATHO.,23/01/2026,26/02/2026,Mangaung Metropolitan Municipality,Request for Bid,Free State,Bloemfontein,,,,,,,,11:30am,,,,https://www.mangaung.co.za/2026/01/23/list-of-available-bids-204/,,Mangaung
Municipal,MMM/BID: 765 (AA): 2025/2026,LEASE AGREEMENT TO OPERATE THE EDGE RESTURANT.,23/01/2026,27/02/2026,Mangaung Metropolitan Municipality,Request for Bid,Free State,Bloemfontein,,,,,,,,11:30am,,,,https://www.mangaung.co.za/2026/01/23/list-of-available-bids-204/,,Mangaung
