Category,Tender Number,Tender Description,Advertised,Closing,Organ Of State,Tender Type,Province,"Place where goods, works or services are required",Special Conditions,Contact Person,Email,Telephone number,FAX Number,Is there a briefing session?,Is it compulsory?,Briefing Date and Time,Briefing Venue,eSubmission,Two Envelope Submission,Source URL,Tender ID,Source
Municipal,ALM/SCM/30/2025-26,BID ADVERT – N6 Gateway Bid Document,30/01/2026,06/03/2026,Amahlathi Local Municipality,Request for Bid,Eastern Cape,Stutterheim and surrounding areas,,,,,,,,,,,,https://amahlathi.gov.za/tenders-rfqs/,,Amahlathi
Municipal,ALM-SCM/23/2025-26,BID ADVERT – Establishment civil engineering and refurbishment of upgrading electricity,27/11/2025,30/01/2026,Amahlathi Local Municipality,Request for Bid,Eastern Cape,Stutterheim and surrounding areas,,,,,,,,,,,,https://amahlathi.gov.za/tenders-rfqs/,,Amahlathi
Municipal,ALM-SCM/21/2025-26,BID ADVERTS – Supply delivery installation of Alarm system maintenance monthly monitoring,27/11/2025,23/01/2026,Amahlathi Local Municipality,Request for Bid,Eastern Cape,Stutterheim and surrounding areas,,,,,,,,,,,,https://amahlathi.gov.za/tenders-rfqs/,,Amahlathi
Municipal,AMAH-004,BID ADVERT – Appointment of Consultant and Contractor for Construction of Amabele Paving,07/10/2025,31/10/2025,Amahlathi Local Municipality,Request for Bid,Eastern Cape,Stutterheim and surrounding areas,,,,,,,,,,,,https://amahlathi.gov.za/tenders-rfqs/,,Amahlathi
Municipal,AMAH-005,BID ADVERT – Professional Service Provider for Cathcart Town Hall and RE-ADVERT TURNKEY Constr Langdraai Community Halls,23/09/2025,10/10/2025,Amahlathi Local Municipality,Request for Bid,Eastern Cape,Stutterheim and surrounding areas,,,,,,,,,,,,https://amahlathi.gov.za/tenders-rfqs/,,Amahlathi
Municipal,AMAH-006,BID ADVERT – Request for Formal Written Quotation: Provision Of Legal Services For Investigation Of The Alleged Irregular/Fraudulent Pension Fund Claims,10/09/2025,19/09/2025,Amahlathi Local Municipality,Request for Bid,Eastern Cape,Stutterheim and surrounding areas,,,,,,,,,,,,https://amahlathi.gov.za/tenders-rfqs/,,Amahlathi
Municipal,ALM/49/2024-25,N6 GATEWAY RE: ADVERT,27/08/2025,19/09/2025,Amahlathi Local Municipality,Request for Bid,Eastern Cape,Stutterheim and surrounding areas,,,,,,,,,,,,https://amahlathi.gov.za/tenders-rfqs/,,Amahlathi
Municipal,ALM-SCM/06/2025-26,BID ADVERT – Construction of Keiskammahoek roads under small revitalization programme,15/08/2025,17/09/2025,Amahlathi Local Municipality,Request for Bid,Eastern Cape,Stutterheim and surrounding areas,,,,,,,,,,,,https://amahlathi.gov.za/tenders-rfqs/,,Amahlathi
Municipal,ALM/SCM/11-12/2025-26,BID ADVERTS – Construction of Izidenge internal roads and Phumlani Community Hall,15/08/2025,12/09/2025,Amahlathi Local Municipality,Request for Bid,Eastern Cape,Stutterheim and surrounding areas,,,,,,,,,,,,https://amahlathi.gov.za/tenders-rfqs/,,Amahlathi
Municipal,ALM/SCM/14/2025-26,BID ADVERTS – Supply And Delivery Of Electrical Materials,14/08/2025,20/08/2025,Amahlathi Local Municipality,Request for Bid,Eastern Cape,Stutterheim and surrounding areas,,,,,,,,,,,,https://amahlathi.gov.za/tenders-rfqs/,,Amahlathi
