Category,Tender Number,Tender Description,Advertised,Closing,Organ Of State,Tender Type,Province,"Place where goods, works or services are required",Special Conditions,Contact Person,Email,Telephone number,FAX Number,Is there a briefing session?,Is it compulsory?,Briefing Date and Time,Briefing Venue,eSubmission,Two Envelope Submission,Source URL,Tender ID,Source
Municipal,,Leadership,,,Beaufort West Municipality,Request for Bid,Western Cape,Beaufort West,,,,,,,,,,,,https://www.beaufortwestmun.co.za/leadership,,Beaufort West
Municipal,,Services,,,Beaufort West Municipality,Request for Bid,Western Cape,Beaufort West,,,,,,,,,,,,https://www.beaufortwestmun.co.za/services,,Beaufort West
Municipal,,Investor Relations,,,Beaufort West Municipality,Request for Bid,Western Cape,Beaufort West,,,,,,,,,,,,https://www.beaufortwestmun.co.za/investor-relations,,Beaufort West
Municipal,,Documents,,,Beaufort West Municipality,Request for Bid,Western Cape,Beaufort West,,,,,,,,,,,,https://www.beaufortwestmun.co.za/documents,,Beaufort West
Municipal,,Events LeadershipServicesInvestor RelationsDocumentsEventsCareersTendersGalleryNews Login | Register A-Z indexFAQs About us Thusong Centre Tourism Contact us,,,Beaufort West Municipality,Request for Bid,Western Cape,Beaufort West,,,,,,,,,,,,https://www.beaufortwestmun.co.za/events,,Beaufort West
Municipal,,Careers LeadershipServicesInvestor RelationsDocumentsEventsCareersTendersGalleryNews Login | Register A-Z indexFAQs About us Thusong Centre Tourism Contact us,,,Beaufort West Municipality,Request for Bid,Western Cape,Beaufort West,,,,,,,,,,,,https://www.beaufortwestmun.co.za/careers,,Beaufort West
Municipal,,Tenders LeadershipServicesInvestor RelationsDocumentsEventsCareersTendersGalleryNews Login | Register A-Z indexFAQs About us Thusong Centre Tourism Contact us,,,Beaufort West Municipality,Request for Bid,Western Cape,Beaufort West,,,,,,,,,,,,https://www.beaufortwestmun.co.za/procurementdisposals,,Beaufort West
Municipal,,Gallery LeadershipServicesInvestor RelationsDocumentsEventsCareersTendersGalleryNews Login | Register A-Z indexFAQs About us Thusong Centre Tourism Contact us,,,Beaufort West Municipality,Request for Bid,Western Cape,Beaufort West,,,,,,,,,,,,https://www.beaufortwestmun.co.za/galleries,,Beaufort West
Municipal,,News LeadershipServicesInvestor RelationsDocumentsEventsCareersTendersGalleryNews Login | Register A-Z indexFAQs About us Thusong Centre Tourism Contact us,,,Beaufort West Municipality,Request for Bid,Western Cape,Beaufort West,,,,,,,,,,,,https://www.beaufortwestmun.co.za/news,,Beaufort West
Municipal,,Tenders Tenders,,,Beaufort West Municipality,Request for Bid,Western Cape,Beaufort West,,,,,,,,,,,,https://www.beaufortwestmun.co.za/procurementdisposals,,Beaufort West
Municipal,Tenders/Quotations,Home Home>Tenders>Tenders/Quotations Available,,,Beaufort West Municipality,Request for Bid,Western Cape,Beaufort West,,,,,,,,,,,,https://www.beaufortwestmun.co.za/,,Beaufort West
Municipal,Tenders/Quotations,Tenders Home>Tenders>Tenders/Quotations Available,,,Beaufort West Municipality,Request for Bid,Western Cape,Beaufort West,,,,,,,,,,,,https://www.beaufortwestmun.co.za/procurementdisposals,,Beaufort West
Municipal,Tenders/Quotations,Tenders/Quotations Available,,,Beaufort West Municipality,Request for Bid,Western Cape,Beaufort West,,,,,,,,,,,,https://www.beaufortwestmun.co.za/tendersquotations-available,,Beaufort West
Municipal,Quotations,Becoming a supplier,,,Beaufort West Municipality,Request for Bid,Western Cape,Beaufort West,,,,,,,,,,,,https://www.beaufortwestmun.co.za/becoming-supplier,,Beaufort West
Municipal,Tenders/Quotations,Tenders/Quotations Awarded,,,Beaufort West Municipality,Request for Bid,Western Cape,Beaufort West,,,,,,,,,,,,https://www.beaufortwestmun.co.za/tendersquotations-awarded,,Beaufort West
