Category,Tender Number,Tender Description,Advertised,Closing,Organ Of State,Tender Type,Province,"Place where goods, works or services are required",Special Conditions,Contact Person,Email,Telephone number,FAX Number,Is there a briefing session?,Is it compulsory?,Briefing Date and Time,Briefing Venue,eSubmission,Two Envelope Submission,Source URL,Tender ID,Source
Municipal,,Leadership,,,Bergrivier Municipality,Request for Bid,Western Cape,Bergrivier,,,,,,,,,,,,https://www.bergmun.org.za/leadership,,Bergrivier
Municipal,,Services,,,Bergrivier Municipality,Request for Bid,Western Cape,Bergrivier,,,,,,,,,,,,https://www.bergmun.org.za/services,,Bergrivier
Municipal,,Investor Relations,,,Bergrivier Municipality,Request for Bid,Western Cape,Bergrivier,,,,,,,,,,,,https://www.bergmun.org.za/investor-relations,,Bergrivier
Municipal,,Documents,,,Bergrivier Municipality,Request for Bid,Western Cape,Bergrivier,,,,,,,,,,,,https://www.bergmun.org.za/documents,,Bergrivier
Municipal,,Events LeadershipServicesInvestor RelationsDocumentsEventsCareersProcurementGalleryNews Login | Register A-Z indexFAQs About us Thusong Centre Tourism Contact us,,,Bergrivier Municipality,Request for Bid,Western Cape,Bergrivier,,,,,,,,,,,,https://www.bergmun.org.za/events,,Bergrivier
Municipal,,Careers LeadershipServicesInvestor RelationsDocumentsEventsCareersProcurementGalleryNews Login | Register A-Z indexFAQs About us Thusong Centre Tourism Contact us,,,Bergrivier Municipality,Request for Bid,Western Cape,Bergrivier,,,,,,,,,,,,https://www.bergmun.org.za/careers,,Bergrivier
Municipal,,Procurement,,,Bergrivier Municipality,Request for Bid,Western Cape,Bergrivier,,,,,,,,,,,,https://www.bergmun.org.za/procurement-0,,Bergrivier
Municipal,,Gallery LeadershipServicesInvestor RelationsDocumentsEventsCareersProcurementGalleryNews Login | Register A-Z indexFAQs About us Thusong Centre Tourism Contact us,,,Bergrivier Municipality,Request for Bid,Western Cape,Bergrivier,,,,,,,,,,,,https://www.bergmun.org.za/galleries,,Bergrivier
Municipal,,News LeadershipServicesInvestor RelationsDocumentsEventsCareersProcurementGalleryNews Login | Register A-Z indexFAQs About us Thusong Centre Tourism Contact us,,,Bergrivier Municipality,Request for Bid,Western Cape,Bergrivier,,,,,,,,,,,,https://www.bergmun.org.za/news,,Bergrivier
Municipal,Quotations,Home Home>Procurement>Tenders / Quotations Available,,,Bergrivier Municipality,Request for Bid,Western Cape,Bergrivier,,,,,,,,,,,,https://www.bergmun.org.za/,,Bergrivier
