Category,Tender Number,Tender Description,Advertised,Closing,Organ Of State,Tender Type,Province,"Place where goods, works or services are required",Special Conditions,Contact Person,Email,Telephone number,FAX Number,Is there a briefing session?,Is it compulsory?,Briefing Date and Time,Briefing Venue,eSubmission,Two Envelope Submission,Source URL,Tender ID,Source
Municipal,BCRM-001,SUPPLY AND DELIVERY OF 160 ELECTRICAL SINGLE PHASEPREPAID SPLIT METERS _KEY PAD AND METER_,19/01/2026,27/01/2026,Blue Crane Route Municipality,Request for Bid,Eastern Cape,"Somerset East, Cookhouse, Pearston",,,,042 243 6400,,,,,,,,https://www.bcrm.gov.za/index.php/Documents/downloadFile/1256,1256,Blue Crane Route
Municipal,T01/2026,PROVISION OF GUARDING SERVICES_ INSTALLATION_ MONITORING OF ALARM SYSTEM AND ARMED RESPONSE FOR BLUE CRANE ROUTE MUNICIPALITY FOR A PERIOD OF THREE YEARS,09/01/2026,09/02/2026,Blue Crane Route Municipality,Request for Bid,Eastern Cape,"Somerset East, Cookhouse, Pearston",,,,042 243 6400,,,,,,,,https://www.bcrm.gov.za/index.php/Documents/downloadFile/1251,1251,Blue Crane Route
Municipal,FWQ01/2026,SUPPLY AND DELIVERY OF 1 X STORAGE CONTAINER FOR FIRE EQUIPMENT,08/01/2026,19/01/2026,Blue Crane Route Municipality,Request for Bid,Eastern Cape,"Somerset East, Cookhouse, Pearston",,,,042 243 6400,,,,,,,,https://www.bcrm.gov.za/index.php/Documents/downloadFile/1249,1249,Blue Crane Route
Municipal,FWQ12/2025,SELF- CATERING ACCOMMODATION IN PORT ELIZABETH,04/12/2025,12/12/2025,Blue Crane Route Municipality,Request for Bid,Eastern Cape,"Somerset East, Cookhouse, Pearston",,,,042 243 6400,,,,,,,,https://www.bcrm.gov.za/index.php/Documents/downloadFile/1240,1240,Blue Crane Route
Municipal,FWQ112025,SUPPLY AND DELIVERY OF GIGABIT POE SWITCHES AND NETWORK EQUIPMENT,26/11/2025,08/12/2025,Blue Crane Route Municipality,Request for Bid,Eastern Cape,"Somerset East, Cookhouse, Pearston",,,,042 243 6400,,,,,,,,https://www.bcrm.gov.za/index.php/Documents/downloadFile/1235,1235,Blue Crane Route
Municipal,T23/2025,APPOINTMENT OF A SERVICE PROVIDER TO DESIGN_DEVELOP_MAINTAIN AND HOSTING THE WEBSITE OF THE BLUE CRANE ROUTE MUNICIPALITY FOR A PERIOD OF 36 MONTHS,12/11/2025,12/12/2025,Blue Crane Route Municipality,Request for Bid,Eastern Cape,"Somerset East, Cookhouse, Pearston",,,,042 243 6400,,,,,,,,https://www.bcrm.gov.za/index.php/Documents/downloadFile/1225,1225,Blue Crane Route
Municipal,T25/2025,SUPPLY AND DELIVERY OF BLACK REFUSE BAGS FOR A PERIOD OF TWO_2_ YEARS,12/11/2025,12/12/2025,Blue Crane Route Municipality,Request for Bid,Eastern Cape,"Somerset East, Cookhouse, Pearston",,,,042 243 6400,,,,,,,,https://www.bcrm.gov.za/index.php/Documents/downloadFile/1227,1227,Blue Crane Route
Municipal,T26/2025,SUPPLY AND DELIVERY OF 20 X 3 CUBE MINISKIP BINS,12/11/2025,28/11/2025,Blue Crane Route Municipality,Request for Bid,Eastern Cape,"Somerset East, Cookhouse, Pearston",,,,042 243 6400,,,,,,,,https://www.bcrm.gov.za/index.php/Documents/downloadFile/1228,1228,Blue Crane Route
Municipal,T24/2025,SUPPLY_ DELIVER_ INSTALL AND MAINTAIN TWENTY FOUR _24_ MULTIFUNCTION PHOTOCOPIERS FOR A PERIOD OF 36 MONTHS,12/11/2025,12/12/2025,Blue Crane Route Municipality,Request for Bid,Eastern Cape,"Somerset East, Cookhouse, Pearston",,,,042 243 6400,,,,,,,,https://www.bcrm.gov.za/index.php/Documents/downloadFile/1226,1226,Blue Crane Route
Municipal,FWQ06/2025,SUPPLY AND DELIVER THREE _3_ MEDIUM VOLTAGE INSULATED TELESCOPIC LINK STICKS WITH BAGS,23/10/2025,07/11/2025,Blue Crane Route Municipality,Request for Bid,Eastern Cape,"Somerset East, Cookhouse, Pearston",,,,042 243 6400,,,,,,,,https://www.bcrm.gov.za/index.php/Documents/downloadFile/1209,1209,Blue Crane Route
Municipal,T20/2025,APPOINTMENT FOR A SERVICE PROVIDER FOR HIRING OF CONSTRUCTION EQUIPMENT_PLANT ON AN INSTRUCTED BASIS FOR A PERIOD OF THREE _3_ YEARS WITHIN THE BLUE CRANE ROUTE MUNICIPAL,23/10/2025,25/11/2025,Blue Crane Route Municipality,Request for Bid,Eastern Cape,"Somerset East, Cookhouse, Pearston",,,,042 243 6400,,,,,,,,https://www.bcrm.gov.za/index.php/Documents/downloadFile/1211,1211,Blue Crane Route
Municipal,T19/2025,PROVISION OF EMPLOYEE FITNESS AND MEDICAL SURVEILLANCE TESTS ___ FOR A PERIOD OF THREE YEARS,16/09/2025,17/10/2025,Blue Crane Route Municipality,Request for Bid,Eastern Cape,"Somerset East, Cookhouse, Pearston",,,,042 243 6400,,,,,,,,https://www.bcrm.gov.za/index.php/Documents/downloadFile/1169,1169,Blue Crane Route
Municipal,T15/2025,PANEL OF PROFESSIONAL LEGAL SERVICES FOR A PERIOD OF THREE YEARS,16/09/2025,17/10/2025,Blue Crane Route Municipality,Request for Bid,Eastern Cape,"Somerset East, Cookhouse, Pearston",,,,042 243 6400,,,,,,,,https://www.bcrm.gov.za/index.php/Documents/downloadFile/1168,1168,Blue Crane Route
