Category,Tender Number,Tender Description,Advertised,Closing,Organ Of State,Tender Type,Province,"Place where goods, works or services are required",Special Conditions,Contact Person,Email,Telephone number,FAX Number,Is there a briefing session?,Is it compulsory?,Briefing Date and Time,Briefing Venue,eSubmission,Two Envelope Submission,Source URL,Tender ID,Source
Municipal,RFQ/IPR/2025-26/370,PROFESSIONAL SERVICES FOR INTEGRATED PUBLIC RELATIONS SERVICE FOR BUFFALO CITY METROPOLITAN MUNICIPALITY FOR A PERIOD OF THREE MONTHS,17/02/2026,24/02/2026,Buffalo City Metropolitan Municipality,Request for Bid,Eastern Cape,"East London, Mdantsane, King William's Town",,,,,,,,,,,,https://vendorportal.buffalocity.gov.za/Supplier/Tenders,,Buffalo City
Municipal,RFQ/LED/2025-26/379,Supply and delivery of farming inputs for food security in BCMM,20/02/2026,27/02/2026,Buffalo City Metropolitan Municipality,Request for Bid,Eastern Cape,"East London, Mdantsane, King William's Town",,,,,,,,,,,,https://vendorportal.buffalocity.gov.za/Supplier/Tenders,,Buffalo City
Municipal,RFQ/LED/2025-26/378,Appointment of a service provider to supply and deliver craft material and equipment to local creatives,20/02/2026,27/02/2026,Buffalo City Metropolitan Municipality,Request for Bid,Eastern Cape,"East London, Mdantsane, King William's Town",,,,,,,,,,,,https://vendorportal.buffalocity.gov.za/Supplier/Tenders,,Buffalo City
Municipal,RFQ/LED/2025-26/369,Appointment of a service provider to supply and deliver agricultural machinery for BCMM farmers,17/02/2026,24/02/2026,Buffalo City Metropolitan Municipality,Request for Bid,Eastern Cape,"East London, Mdantsane, King William's Town",,,,,,,,,,,,https://vendorportal.buffalocity.gov.za/Supplier/Tenders,,Buffalo City
Municipal,RFQ/LED/2025-26/368,APPOINTMENT OF SERVICE PROVIDER TO SUPPLY AND DELIVER PRODUCTION INPUTS FOR URBAN AGRICULTURE,17/02/2026,24/02/2026,Buffalo City Metropolitan Municipality,Request for Bid,Eastern Cape,"East London, Mdantsane, King William's Town",,,,,,,,,,,,https://vendorportal.buffalocity.gov.za/Supplier/Tenders,,Buffalo City
Municipal,RFQ/LED/2025-26/371,APPOINTMENT OF SERVICE PROVIDER TO SUPPLY AND DELIVER PRODUCTION INPUTS FOR WOOL PRODUCTION FARMERS ASSOCIATION IN BCMM,17/02/2026,24/02/2026,Buffalo City Metropolitan Municipality,Request for Bid,Eastern Cape,"East London, Mdantsane, King William's Town",,,,,,,,,,,,https://vendorportal.buffalocity.gov.za/Supplier/Tenders,,Buffalo City
Municipal,RFQ/SW&EM/2025-26/377,APPOINTMENT OF A SUITABLY QUALIFIED AND INDEPENDENT SERVICE PROVIDER TO CONDUCT AN EXTERNAL AUDIT OF THE KING WILLIAMS TOWN LANDFILL SITE.,20/02/2026,27/02/2026,Buffalo City Metropolitan Municipality,Request for Bid,Eastern Cape,"East London, Mdantsane, King William's Town",,,,,,,,,,,,https://vendorportal.buffalocity.gov.za/Supplier/Tenders,,Buffalo City
Municipal,RFQ/IDP/2025-26/376,SUPPLY AND DELIVERY OF WARD ASSETS FOR THE WARD DEVELOPMENT AND UPLIFTMENT PROGRAMME IN WARD 48,20/02/2026,27/02/2026,Buffalo City Metropolitan Municipality,Request for Bid,Eastern Cape,"East London, Mdantsane, King William's Town",,,,,,,,,,,,https://vendorportal.buffalocity.gov.za/Supplier/Tenders,,Buffalo City
Municipal,RFQ/SRCD/2025-26/363,LANDSCAPING OF TOKOTA PLAYGROUND,17/02/2026,24/02/2026,Buffalo City Metropolitan Municipality,Request for Bid,Eastern Cape,"East London, Mdantsane, King William's Town",,,,,,,,,,,,https://vendorportal.buffalocity.gov.za/Supplier/Tenders,,Buffalo City
Municipal,RFQ/SPD/2025-26/364,SUPPLY AND DELIVERY OF BUILDING MAINTENANCE PPE,17/02/2026,24/02/2026,Buffalo City Metropolitan Municipality,Request for Bid,Eastern Cape,"East London, Mdantsane, King William's Town",,,,,,,,,,,,https://vendorportal.buffalocity.gov.za/Supplier/Tenders,,Buffalo City
Municipal,RFQ/PS&ES/2025-26/366,"PROVISION OF STANDALONE CCTV CAMERA AT CAMBRIDGE PUMP STATION, EAST LONDON",17/02/2026,24/02/2026,Buffalo City Metropolitan Municipality,Request for Bid,Eastern Cape,"East London, Mdantsane, King William's Town",,,,,,,,,,,,https://vendorportal.buffalocity.gov.za/Supplier/Tenders,,Buffalo City
Municipal,RFQ/PS&ES/2025-26/365,"PROVISION OF ARMED RESPONSE SERVICES 24 HOURS A DAY, 7 DAYS A WEEK, FOR 6 MONTHS (180 DAYS) AT MPAC OFFICE, EAST LONDON",17/02/2026,24/02/2026,Buffalo City Metropolitan Municipality,Request for Bid,Eastern Cape,"East London, Mdantsane, King William's Town",,,,,,,,,,,,https://vendorportal.buffalocity.gov.za/Supplier/Tenders,,Buffalo City
Municipal,RFQ/DHL/2025-26/367,SUPPLY AND DELIEVRY OF BOOKS IN LIBRARY EDITIONS AND FORMSRT FOR USE IN LIBRARIES,17/02/2026,24/02/2026,Buffalo City Metropolitan Municipality,Request for Bid,Eastern Cape,"East London, Mdantsane, King William's Town",,,,,,,,,,,,https://vendorportal.buffalocity.gov.za/Supplier/Tenders,,Buffalo City
Municipal,RFQ/DCOMS/2025-26/380,REFURBISHMENT OF ABLUTIONS AT THE ORIENT SWIMMING POOL: BUFFALO CITY METROPOLITAN MUNICIPALITY,20/02/2026,27/02/2026,Buffalo City Metropolitan Municipality,Request for Bid,Eastern Cape,"East London, Mdantsane, King William's Town",,,,,,,,,,,,https://vendorportal.buffalocity.gov.za/Supplier/Tenders,,Buffalo City
Municipal,RFQ/SRCD/2025-26/385,Tree removal as per specification,20/02/2026,27/02/2026,Buffalo City Metropolitan Municipality,Request for Bid,Eastern Cape,"East London, Mdantsane, King William's Town",,,,,,,,,,,,https://vendorportal.buffalocity.gov.za/Supplier/Tenders,,Buffalo City
Municipal,RFQ/SRCD/2025-26/384,Supply and fit artificial grass as per specification,20/02/2026,27/02/2026,Buffalo City Metropolitan Municipality,Request for Bid,Eastern Cape,"East London, Mdantsane, King William's Town",,,,,,,,,,,,https://vendorportal.buffalocity.gov.za/Supplier/Tenders,,Buffalo City
Municipal,RFQ/DHL/2025-26/374,"UPGRADE AND REFURBISHMENT BREIDBACH HALL – PLUMBING, ELECTRICAL AND RELATED WORKS",20/02/2026,27/02/2026,Buffalo City Metropolitan Municipality,Request for Bid,Eastern Cape,"East London, Mdantsane, King William's Town",,,,,,,,,,,,https://vendorportal.buffalocity.gov.za/Supplier/Tenders,,Buffalo City
Municipal,RFQ/DHL/2025-26/375,"UPGRADE AND REFURBISHMENT OF BREIDBACH LIBRARY – ELECTRICAL, FLOORING AND BUILDING WORKS",20/02/2026,27/02/2026,Buffalo City Metropolitan Municipality,Request for Bid,Eastern Cape,"East London, Mdantsane, King William's Town",,,,,,,,,,,,https://vendorportal.buffalocity.gov.za/Supplier/Tenders,,Buffalo City
Municipal,RFQ/LED/2025-26/373,"APPOINTMENT OF SERVICE PROVIDER TO SUPPLY, DELIVERY AND CONSTRUCTION OF A CATTLE DIPPING TANK AT MZINTSHANE VILLAGE- QONCE",20/02/2026,27/02/2026,Buffalo City Metropolitan Municipality,Request for Bid,Eastern Cape,"East London, Mdantsane, King William's Town",,,,,,,,,,,,https://vendorportal.buffalocity.gov.za/Supplier/Tenders,,Buffalo City
Municipal,RFQ/PS&ES/2025-26/372,"PROVISION OF SECURITY GUARDING SERVICES 24 HOURS A DAY, 7 DAYS A WEEK, FOR 3 MONTHS (90 DAYS), AT KING WILLIAMS TOWN POWER STATION, QONCE",20/02/2026,27/02/2026,Buffalo City Metropolitan Municipality,Request for Bid,Eastern Cape,"East London, Mdantsane, King William's Town",,,,,,,,,,,,https://vendorportal.buffalocity.gov.za/Supplier/Tenders,,Buffalo City
Municipal,RFQ/LED/2025-26/381,"APPOINTMENT OF A SERVICE PROVIDER TO SUPPLY, DELIVER AND ERECT GLAMPING TENTS AND TENT DECKING FOR NICHE TOURISM PRODUCT IN MDANTSANE",20/02/2026,27/02/2026,Buffalo City Metropolitan Municipality,Request for Bid,Eastern Cape,"East London, Mdantsane, King William's Town",,,,,,,,,,,,https://vendorportal.buffalocity.gov.za/Supplier/Tenders,,Buffalo City
Municipal,RFQ/PS&ES/2025-26/386,"PROVISION OF SECURITY GUARDING SERVICES 24 HOURS A DAY, 7 DAYS A WEEK, FOR 3 MONTHS (90 DAYS), AT ZOO, EAST LONDON",20/02/2026,27/02/2026,Buffalo City Metropolitan Municipality,Request for Bid,Eastern Cape,"East London, Mdantsane, King William's Town",,,,,,,,,,,,https://vendorportal.buffalocity.gov.za/Supplier/Tenders,,Buffalo City
Municipal,RFQ/IDP/2025-26/382,PROVISION OF PROFESSIONAL SERVICES TO COORDINATE THE MID-YEAR AND ANNUAL PERFORMANCE EVALUATIONS OF THE MUNICIPAL MANAGER AND MANAGERS DIRECTLY ACCOUNTABLE TO THE MUNICIPAL MANAGER,20/02/2026,27/02/2026,Buffalo City Metropolitan Municipality,Request for Bid,Eastern Cape,"East London, Mdantsane, King William's Town",,,,,,,,,,,,https://vendorportal.buffalocity.gov.za/Supplier/Tenders,,Buffalo City
Municipal,RFQ/SE&EM/2025-26/383,PROVISION OF PPE FOR SOLID WASTE COASTAL REGION,20/02/2026,27/02/2026,Buffalo City Metropolitan Municipality,Request for Bid,Eastern Cape,"East London, Mdantsane, King William's Town",,,,,,,,,,,,https://vendorportal.buffalocity.gov.za/Supplier/Tenders,,Buffalo City
