Category,Tender Number,Tender Description,Advertised,Closing,Organ Of State,Tender Type,Province,"Place where goods, works or services are required",Special Conditions,Contact Person,Email,Telephone number,FAX Number,Is there a briefing session?,Is it compulsory?,Briefing Date and Time,Briefing Venue,eSubmission,Two Envelope Submission,Source URL,Tender ID,Source
Municipal,69Q/2025/26,Design – build of mechanical and electrical works for steenbras pumped storage main plant refurbishm...,13/01/2026,26/02/2026,City of Cape Town,Request for Bid,Western Cape,Cape Town,,,,,,,,,,,,https://web1.capetown.gov.za/web1/tenderportal/Tender,,Cape Town
Municipal,RFI122/2025/26,To assess available benchmarking tools and methodologies that enable the assessment of hr and organi...,23/01/2026,27/02/2026,City of Cape Town,Request for Bid,Western Cape,Cape Town,,,,,,,,,,,,https://web1.capetown.gov.za/web1/tenderportal/Tender,,Cape Town
Municipal,131S/2025/26,Garden and cleaning services at community service & health facilities and public open spaces [owned ...,02/02/2026,23/02/2026,City of Cape Town,Request for Bid,Western Cape,Cape Town,,,,,,,,,,,,https://web1.capetown.gov.za/web1/tenderportal/Tender,,Cape Town
Municipal,RFI123/2025/26,To assess available new energy vehicle offerings available in the market for the city of cape town c...,30/01/2026,27/03/2026,City of Cape Town,Request for Bid,Western Cape,Cape Town,,,,,,,,,,,,https://web1.capetown.gov.za/web1/tenderportal/Tender,,Cape Town
Municipal,146S/2025/26,"Provision of community development initiatives for community, arts and culture development (cacd)",06/02/2026,13/03/2026,City of Cape Town,Request for Bid,Western Cape,Cape Town,,,,,,,,,,,,https://web1.capetown.gov.za/web1/tenderportal/Tender,,Cape Town
Municipal,136G/2025/26,Supply and delivery of protection equipment and schemes,30/01/2026,06/03/2026,City of Cape Town,Request for Bid,Western Cape,Cape Town,,,,,,,,,,,,https://web1.capetown.gov.za/web1/tenderportal/Tender,,Cape Town
Municipal,142G/2025/26,Supply and delivery of various tractors and horticultural equipment,06/02/2026,09/03/2026,City of Cape Town,Request for Bid,Western Cape,Cape Town,,,,,,,,,,,,https://web1.capetown.gov.za/web1/tenderportal/Tender,,Cape Town
Municipal,RFI124/2025/26,The provision of security risks assesment services available in the market for the city of cape town...,13/02/2026,13/03/2026,City of Cape Town,Request for Bid,Western Cape,Cape Town,,,,,,,,,,,,https://web1.capetown.gov.za/web1/tenderportal/Tender,,Cape Town
Municipal,150C/2025/26,Provision of a service provider: broker to administer the group life assurance scheme for the employ...,06/02/2026,09/03/2026,City of Cape Town,Request for Bid,Western Cape,Cape Town,,,,,,,,,,,,https://web1.capetown.gov.za/web1/tenderportal/Tender,,Cape Town
Municipal,148S/2025/26,"Provision of wet refuse collection service at various suburbs of area east: kraaifontein, burein est...",06/02/2026,12/03/2026,City of Cape Town,Request for Bid,Western Cape,Cape Town,,,,,,,,,,,,https://web1.capetown.gov.za/web1/tenderportal/Tender,,Cape Town
Municipal,129Q/2025/26,Milnerton lagoon dredging,12/02/2026,06/03/2026,City of Cape Town,Request for Bid,Western Cape,Cape Town,,,,,,,,,,,,https://web1.capetown.gov.za/web1/tenderportal/Tender,,Cape Town
Municipal,145S/2026/27,"Supply, delivery, commissioning, installation and maintenance of odour control systems and supply an...",06/02/2026,11/03/2026,City of Cape Town,Request for Bid,Western Cape,Cape Town,,,,,,,,,,,,https://web1.capetown.gov.za/web1/tenderportal/Tender,,Cape Town
Municipal,140S/2025/26,"Supply, deliver, install and maintain existing “extreme equipment” (data center equipment, lan equip...",17/02/2026,04/03/2026,City of Cape Town,Request for Bid,Western Cape,Cape Town,,,,,,,,,,,,https://web1.capetown.gov.za/web1/tenderportal/Tender,,Cape Town
Municipal,155S/2025/26,Provision of wet refuse collection service at various suburbs of area north collections and surround...,13/02/2026,23/03/2026,City of Cape Town,Request for Bid,Western Cape,Cape Town,,,,,,,,,,,,https://web1.capetown.gov.za/web1/tenderportal/Tender,,Cape Town
Municipal,152G/2025/26,"Supply, delivery, installation and repairs of wooden, polywood and concrete furniture for the city o...",13/02/2026,17/03/2026,City of Cape Town,Request for Bid,Western Cape,Cape Town,,,,,,,,,,,,https://web1.capetown.gov.za/web1/tenderportal/Tender,,Cape Town
Municipal,117P/2025/26,"Tender for the sale and development of erven 1291 and 1292 & remainder 1293, 1294, 1295, 1296, 1297,...",16/02/2026,17/03/2026,City of Cape Town,Request for Bid,Western Cape,Cape Town,,,,,,,,,,,,https://web1.capetown.gov.za/web1/tenderportal/Tender,,Cape Town
Municipal,163G/2025/26,"Supply and delivery of coated class a reflective glass, beads for road marking",20/02/2026,24/03/2026,City of Cape Town,Request for Bid,Western Cape,Cape Town,,,,,,,,,,,,https://web1.capetown.gov.za/web1/tenderportal/Tender,,Cape Town
Municipal,133G/2025/26,The supply and delivery of electricity meters,16/02/2026,05/03/2026,City of Cape Town,Request for Bid,Western Cape,Cape Town,,,,,,,,,,,,https://web1.capetown.gov.za/web1/tenderportal/Tender,,Cape Town
Municipal,154S/2025/26,Provision of cricket pitch maintenance at various sports facilities for the city of cape town,13/02/2026,19/03/2026,City of Cape Town,Request for Bid,Western Cape,Cape Town,,,,,,,,,,,,https://web1.capetown.gov.za/web1/tenderportal/Tender,,Cape Town
Municipal,160S/2025/26,"Maintenance, testing, investigations and repairs of high voltage cable installations",18/02/2026,19/03/2026,City of Cape Town,Request for Bid,Western Cape,Cape Town,,,,,,,,,,,,https://web1.capetown.gov.za/web1/tenderportal/Tender,,Cape Town
Municipal,158P/2025/26,Tender for the sale and development of various erven (unregistered portions of remainder erf 41962...,16/02/2026,10/04/2026,City of Cape Town,Request for Bid,Western Cape,Cape Town,,,,,,,,,,,,https://web1.capetown.gov.za/web1/tenderportal/Tender,,Cape Town
Municipal,118P/2025/26,Tender for the sale and development of erf 62594 and portion of remainder erf 58699 (unconstructed l...,16/02/2026,17/03/2026,City of Cape Town,Request for Bid,Western Cape,Cape Town,,,,,,,,,,,,https://web1.capetown.gov.za/web1/tenderportal/Tender,,Cape Town
Municipal,165G/2025/26,Supply and delivery of chemicals and consumables for the city of cape town,20/02/2026,25/03/2026,City of Cape Town,Request for Bid,Western Cape,Cape Town,,,,,,,,,,,,https://web1.capetown.gov.za/web1/tenderportal/Tender,,Cape Town
Municipal,120P/2025/26,"Tender for the sale and development of erf 9702 situated at 10 affodil street, ruwari, cape",16/02/2026,18/03/2026,City of Cape Town,Request for Bid,Western Cape,Cape Town,,,,,,,,,,,,https://web1.capetown.gov.za/web1/tenderportal/Tender,,Cape Town
Municipal,161S/2025/26,"Statutory inspection, testing, servicing and repair of pressure equipment",20/02/2026,24/03/2026,City of Cape Town,Request for Bid,Western Cape,Cape Town,,,,,,,,,,,,https://web1.capetown.gov.za/web1/tenderportal/Tender,,Cape Town
Municipal,168S/2025/26,"Repairs and maintenance of the city of cape town’s railway sidings for epping 1 and 2, sacks circle,...",20/02/2026,25/03/2026,City of Cape Town,Request for Bid,Western Cape,Cape Town,,,,,,,,,,,,https://web1.capetown.gov.za/web1/tenderportal/Tender,,Cape Town
Municipal,RFI121/2025/26,To assess available street sweeper leasing solution offerings available in the market for the city o...,23/01/2026,26/02/2026,City of Cape Town,Request for Bid,Western Cape,Cape Town,,,,,,,,,,,,https://web1.capetown.gov.za/web1/tenderportal/Tender,,Cape Town
Municipal,143/2025/26,Printing of leaflets,30/01/2026,10/03/2026,City of Cape Town,Request for Bid,Western Cape,Cape Town,,,,,,,,,,,,https://web1.capetown.gov.za/web1/tenderportal/Tender,,Cape Town
Municipal,144Q/2025/26,Construction of suider strand integrated facility,09/02/2026,03/03/2026,City of Cape Town,Request for Bid,Western Cape,Cape Town,,,,,,,,,,,,https://web1.capetown.gov.za/web1/tenderportal/Tender,,Cape Town
Municipal,132S/2025/26,"provision of auto electrical repairs, inclusive of supply and fitment of batteries, led lighting an...",06/02/2026,10/03/2026,City of Cape Town,Request for Bid,Western Cape,Cape Town,,,,,,,,,,,,https://web1.capetown.gov.za/web1/tenderportal/Tender,,Cape Town
Municipal,166Q/2026/27,New water programme: cape flats aquifer - build to completion of partially complete service building...,20/02/2026,25/03/2026,City of Cape Town,Request for Bid,Western Cape,Cape Town,,,,,,,,,,,,https://web1.capetown.gov.za/web1/tenderportal/Tender,,Cape Town
Municipal,122S/2025/26,Provision of service provider in the operational areas of the city of cape town for visitor and st...,09/02/2026,26/02/2026,City of Cape Town,Request for Bid,Western Cape,Cape Town,,,,,,,,,,,,https://web1.capetown.gov.za/web1/tenderportal/Tender,,Cape Town
Municipal,139S/2025/26,Appointment of a panel of event coordinator service providers: event coordination of events for the ...,30/01/2026,05/03/2026,City of Cape Town,Request for Bid,Western Cape,Cape Town,,,,,,,,,,,,https://web1.capetown.gov.za/web1/tenderportal/Tender,,Cape Town
Municipal,162C/2025/26,Term tender for the provision of multidisciplinary professional services for desalination projects,16/02/2026,20/03/2026,City of Cape Town,Request for Bid,Western Cape,Cape Town,,,,,,,,,,,,https://web1.capetown.gov.za/web1/tenderportal/Tender,,Cape Town
Municipal,153Q/2025/26,Term tender for repairs and maintenance of the fire sprinkler systems at various buildings within th...,13/02/2026,16/03/2026,City of Cape Town,Request for Bid,Western Cape,Cape Town,,,,,,,,,,,,https://web1.capetown.gov.za/web1/tenderportal/Tender,,Cape Town
Municipal,119P/2025/26,"Tender for the sale and development of remainder erf 3423, situated at 220 buiten street, northpine,...",16/02/2026,18/03/2026,City of Cape Town,Request for Bid,Western Cape,Cape Town,,,,,,,,,,,,https://web1.capetown.gov.za/web1/tenderportal/Tender,,Cape Town
Municipal,147Q/2025/26,Construction of the new koeberg sewage pump station and dual rising main,19/02/2026,13/03/2026,City of Cape Town,Request for Bid,Western Cape,Cape Town,,,,,,,,,,,,https://web1.capetown.gov.za/web1/tenderportal/Tender,,Cape Town
Municipal,156S/2025/26,Purchase of electrical power from energy traders and/or aggregators for the city of cape town (panel...,16/02/2026,13/05/2026,City of Cape Town,Request for Bid,Western Cape,Cape Town,,,,,,,,,,,,https://web1.capetown.gov.za/web1/tenderportal/Tender,,Cape Town
Municipal,RFI125/2025/26,To assess an innovative access control lock systems for pump stations,20/02/2026,20/03/2026,City of Cape Town,Request for Bid,Western Cape,Cape Town,,,,,,,,,,,,https://web1.capetown.gov.za/web1/tenderportal/Tender,,Cape Town
Municipal,RFI127/2025/26,To assess the availability of rotary press or similar sludge rotary dewatering technologies at a wa...,20/02/2026,20/03/2026,City of Cape Town,Request for Bid,Western Cape,Cape Town,,,,,,,,,,,,https://web1.capetown.gov.za/web1/tenderportal/Tender,,Cape Town
Municipal,141G/2025/26,Supply and delivery of various trucks fitted with rear loading waste compactors with detachable bin ...,18/02/2026,04/03/2026,City of Cape Town,Request for Bid,Western Cape,Cape Town,,,,,,,,,,,,https://web1.capetown.gov.za/web1/tenderportal/Tender,,Cape Town
Municipal,EOI01/2025/26,Expression of interest (eoi): sseg application commercial customers - apply to sell your surplus ss...,24/10/2025,01/03/2026,City of Cape Town,Request for Bid,Western Cape,Cape Town,,,,,,,,,,,,https://web1.capetown.gov.za/web1/tenderportal/Tender,,Cape Town
Municipal,166Q/2025/26,New water programme: cape flats aquifer - build to completion of partially complete service building...,20/02/2026,25/03/2026,City of Cape Town,Request for Bid,Western Cape,Cape Town,,,,,,,,,,,,https://web1.capetown.gov.za/web1/tenderportal/Tender,,Cape Town
Municipal,138S/2025/26,provision of professional services in respect of integrated public transport services: industry t...,20/02/2026,26/02/2026,City of Cape Town,Request for Bid,Western Cape,Cape Town,,,,,,,,,,,,https://web1.capetown.gov.za/web1/tenderportal/Tender,,Cape Town
Municipal,151S/2025/26,City of cape town waste to energy independent power producer (ipp) program for embedded or wheeled g...,19/02/2026,29/05/2026,City of Cape Town,Request for Bid,Western Cape,Cape Town,,,,,,,,,,,,https://web1.capetown.gov.za/web1/tenderportal/Tender,,Cape Town
Municipal,169S/2025/26,Panel of legal service providers for conveyancing services on an as-andwhen–required basis,20/02/2026,27/03/2026,City of Cape Town,Request for Bid,Western Cape,Cape Town,,,,,,,,,,,,https://web1.capetown.gov.za/web1/tenderportal/Tender,,Cape Town
Municipal,167S/2025/26,The provision of augmentary employee assistance programme (eap) services for employees of the city o...,20/02/2026,24/03/2026,City of Cape Town,Request for Bid,Western Cape,Cape Town,,,,,,,,,,,,https://web1.capetown.gov.za/web1/tenderportal/Tender,,Cape Town
Municipal,134S/2025/26,Supply and implementation of a community safety and security solution for the city of cape town to e...,30/01/2026,25/02/2026,City of Cape Town,Request for Bid,Western Cape,Cape Town,,,,,,,,,,,,https://web1.capetown.gov.za/web1/tenderportal/Tender,,Cape Town
Municipal,137Q/2025/26,Term tender for the installation and replacement of electrical equipment and infrastructure includ...,03/02/2026,24/02/2026,City of Cape Town,Request for Bid,Western Cape,Cape Town,,,,,,,,,,,,https://web1.capetown.gov.za/web1/tenderportal/Tender,,Cape Town
Municipal,149S/2025/26,Provision of odour neutralisation service at various waste services facilities,06/02/2026,16/03/2026,City of Cape Town,Request for Bid,Western Cape,Cape Town,,,,,,,,,,,,https://web1.capetown.gov.za/web1/tenderportal/Tender,,Cape Town
Municipal,124S/2025/26,"Grounds, office plants and garden maintenance services for the city of cape town",11/02/2026,27/02/2026,City of Cape Town,Request for Bid,Western Cape,Cape Town,,,,,,,,,,,,https://web1.capetown.gov.za/web1/tenderportal/Tender,,Cape Town
Municipal,159P/2025/26,Tender for the sale and development of various erven (unregistered portions of remainder erf 6296 ...,13/02/2026,10/04/2026,City of Cape Town,Request for Bid,Western Cape,Cape Town,,,,,,,,,,,,https://web1.capetown.gov.za/web1/tenderportal/Tender,,Cape Town
Municipal,157G/2025/26,"Supply, calibrate and provide end user training of multigas detectors in the city of cape town",13/02/2026,18/03/2026,City of Cape Town,Request for Bid,Western Cape,Cape Town,,,,,,,,,,,,https://web1.capetown.gov.za/web1/tenderportal/Tender,,Cape Town
