Category,Tender Number,Tender Description,Advertised,Closing,Organ Of State,Tender Type,Province,"Place where goods, works or services are required",Special Conditions,Contact Person,Email,Telephone number,FAX Number,Is there a briefing session?,Is it compulsory?,Briefing Date and Time,Briefing Venue,eSubmission,Two Envelope Submission,Source URL,Tender ID,Source
Municipal,,Leadership,,,Cederberg Municipality,Request for Bid,Western Cape,Cederberg,,,,,,,,,,,,http://cederbergmun.gov.za/leadership,,Cederberg
Municipal,,Services,,,Cederberg Municipality,Request for Bid,Western Cape,Cederberg,,,,,,,,,,,,http://cederbergmun.gov.za/services,,Cederberg
Municipal,,Investor Relations,,,Cederberg Municipality,Request for Bid,Western Cape,Cederberg,,,,,,,,,,,,http://cederbergmun.gov.za/investor-relations,,Cederberg
Municipal,,Events LeadershipServicesInvestor RelationsEventsCareersGalleryNewsDocumentsProcurement Login | Register A-Z IndexFAQs About Us Thusong Centre Tourism Administration Documents Contact us,,,Cederberg Municipality,Request for Bid,Western Cape,Cederberg,,,,,,,,,,,,http://cederbergmun.gov.za/events,,Cederberg
Municipal,,Careers LeadershipServicesInvestor RelationsEventsCareersGalleryNewsDocumentsProcurement Login | Register A-Z IndexFAQs About Us Thusong Centre Tourism Administration Documents Contact us,,,Cederberg Municipality,Request for Bid,Western Cape,Cederberg,,,,,,,,,,,,http://cederbergmun.gov.za/careers,,Cederberg
Municipal,,Gallery LeadershipServicesInvestor RelationsEventsCareersGalleryNewsDocumentsProcurement Login | Register A-Z IndexFAQs About Us Thusong Centre Tourism Administration Documents Contact us,,,Cederberg Municipality,Request for Bid,Western Cape,Cederberg,,,,,,,,,,,,http://cederbergmun.gov.za/galleries,,Cederberg
Municipal,,News LeadershipServicesInvestor RelationsEventsCareersGalleryNewsDocumentsProcurement Login | Register A-Z IndexFAQs About Us Thusong Centre Tourism Administration Documents Contact us,,,Cederberg Municipality,Request for Bid,Western Cape,Cederberg,,,,,,,,,,,,http://cederbergmun.gov.za/news,,Cederberg
Municipal,,Documents,,,Cederberg Municipality,Request for Bid,Western Cape,Cederberg,,,,,,,,,,,,http://cederbergmun.gov.za/documents,,Cederberg
Municipal,,Procurement,,,Cederberg Municipality,Request for Bid,Western Cape,Cederberg,,,,,,,,,,,,http://cederbergmun.gov.za/procurement-0,,Cederberg
Municipal,Quotations,Home Home>Procurement>Tenders / Quotations Available,,,Cederberg Municipality,Request for Bid,Western Cape,Cederberg,,,,,,,,,,,,http://cederbergmun.gov.za/,,Cederberg
Municipal,Quotations,Procurement,,,Cederberg Municipality,Request for Bid,Western Cape,Cederberg,,,,,,,,,,,,http://cederbergmun.gov.za/procurement-0,,Cederberg
Municipal,Quotations,Tenders / Quotations Available,,,Cederberg Municipality,Request for Bid,Western Cape,Cederberg,,,,,,,,,,,,http://cederbergmun.gov.za/tenders-quotations-available-0,,Cederberg
Municipal,Quotations,Tenders / Quotations Awarded,,,Cederberg Municipality,Request for Bid,Western Cape,Cederberg,,,,,,,,,,,,http://cederbergmun.gov.za/tenders-quotations-awarded,,Cederberg
