Category,Tender Number,Tender Description,Advertised,Closing,Organ Of State,Tender Type,Province,"Place where goods, works or services are required",Special Conditions,Contact Person,Email,Telephone number,FAX Number,Is there a briefing session?,Is it compulsory?,Briefing Date and Time,Briefing Venue,eSubmission,Two Envelope Submission,Source URL,Tender ID,Source
Municipal,RE-ADVERTISEMENT,"Bid Document: Re-Advertisement Supply, Delivery, Installation and Configuration of a Telecommunications (VOIP) Solution for a Period of 3 Years",,05/03/2026,Dr AB Xuma Local Municipality,Request for Bid,Eastern Cape,"Engcobo, 58 Union Street",,,,,,,,,,,,https://drabxumalm.gov.za/tenders/,,Dr AB Xuma
Municipal,FOR,Tender Document for Compilation of Annual Financial Statements and GRAP Compliant Fixed Asset Register for A Period of 3 Years,,11/03/2026,Dr AB Xuma Local Municipality,Request for Bid,Eastern Cape,"Engcobo, 58 Union Street",,,,,,,,,,,,https://drabxumalm.gov.za/tenders/,,Dr AB Xuma
Municipal,FOR,Tender Document for Appointment of a Professional Service Provider for an Automated Enterprise and Performance Management System Over a Period of 3 Years,,11/03/2026,Dr AB Xuma Local Municipality,Request for Bid,Eastern Cape,"Engcobo, 58 Union Street",,,,,,,,,,,,https://drabxumalm.gov.za/tenders/,,Dr AB Xuma
Municipal,FOR,"Tender document for Supply, Delivery, Installation and Configuration of a Telecommunication (Voip) Solution for a Period of 3 Years",,05/03/2026,Dr AB Xuma Local Municipality,Request for Bid,Eastern Cape,"Engcobo, 58 Union Street",,,,,,,,,,,,https://drabxumalm.gov.za/tenders/,,Dr AB Xuma
Municipal,APPOINTMENT,BID DOCUMENT : APPOINTMENT OF A SERVICE PROVIDER FOR THE IMPLEMENTATION OF A TRAFFIC AND LAW ENFORCEMEMT SYSTEM FOR A PERIOD OF 36 MONTHS,,15/12/2025,Dr AB Xuma Local Municipality,Request for Bid,Eastern Cape,"Engcobo, 58 Union Street",,,,,,,,,,,,https://drabxumalm.gov.za/tenders/,,Dr AB Xuma
Municipal,SUPPLY,Advert: Supply and Delivery of Stationery for 36 Months,,16/03/2026,Dr AB Xuma Local Municipality,Request for Bid,Eastern Cape,"Engcobo, 58 Union Street",,,,,,,,,,,,https://drabxumalm.gov.za/tenders/,,Dr AB Xuma
Municipal,SUPPLY,Advert: Supply and Delivery of Cleaning Material for 36 Months,,12/03/2026,Dr AB Xuma Local Municipality,Request for Bid,Eastern Cape,"Engcobo, 58 Union Street",,,,,,,,,,,,https://drabxumalm.gov.za/tenders/,,Dr AB Xuma
Municipal,FOR,Advert for Compilation of Annual Financial Statements and Grap Compliant Fixed Asset Register for A Period of 3 Years,,11/03/2026,Dr AB Xuma Local Municipality,Request for Bid,Eastern Cape,"Engcobo, 58 Union Street",,,,,,,,,,,,https://drabxumalm.gov.za/tenders/,,Dr AB Xuma
Municipal,FOR,Advert for Appointment of a Professional Service Provider for an Automated Enterprise and Performance Management System Over a Period of 3 Years,,11/03/2026,Dr AB Xuma Local Municipality,Request for Bid,Eastern Cape,"Engcobo, 58 Union Street",,,,,,,,,,,,https://drabxumalm.gov.za/tenders/,,Dr AB Xuma
Municipal,DRABX-010,"Supply, Delivery, Installation and Configuration of a Telecommunication (Voip) Solution for a Period of 3 Years",,05/01/2026,Dr AB Xuma Local Municipality,Request for Bid,Eastern Cape,"Engcobo, 58 Union Street",,,,,,,,,,,,https://drabxumalm.gov.za/tenders/,,Dr AB Xuma
Municipal,DRABX-011,Appointment of A Service Provider for The Implementation of a Traffic and Law Enforcement System for A Period of 36 Months,,15/12/2025,Dr AB Xuma Local Municipality,Request for Bid,Eastern Cape,"Engcobo, 58 Union Street",,,,,,,,,,,,https://drabxumalm.gov.za/tenders/,,Dr AB Xuma
