Category,Tender Number,Tender Description,Advertised,Closing,Organ Of State,Tender Type,Province,"Place where goods, works or services are required",Special Conditions,Contact Person,Email,Telephone number,FAX Number,Is there a briefing session?,Is it compulsory?,Briefing Date and Time,Briefing Venue,eSubmission,Two Envelope Submission,Source URL,Tender ID,Source
Municipal,ELM-4/021/2025-2026,PROVISION OF HOUSEHOLD REMOVALS SERVICES-ELM-4/021/2025-2026,11/11/2025,11/12/2025,Elundini Local Municipality,Request for Bid,Eastern Cape,"Maclear, Ugie, Mt Fletcher",,,,,,,,,,,,https://elundini.gov.za/category/supplychain/tenders/,,Elundini
Municipal,ELM-4/020/2025-2026,PROVISION OF SECURITY SCREENING AND VERIFICATION-ELM-4/020/2025-2026,11/11/2025,11/12/2025,Elundini Local Municipality,Request for Bid,Eastern Cape,"Maclear, Ugie, Mt Fletcher",,,,,,,,,,,,https://elundini.gov.za/category/supplychain/tenders/,,Elundini
Municipal,ELM-3/017/2025-2026,RE-ADVERTISEMENT: MAINTENANCE AND REPAIRS OF MUNICIPAL PLANT- ELM-3/017/2025-2026,11/11/2025,11/12/2025,Elundini Local Municipality,Request for Bid,Eastern Cape,"Maclear, Ugie, Mt Fletcher",,,,,,,,,,,,https://elundini.gov.za/category/supplychain/tenders/,,Elundini
Municipal,ELM-4/019/2025-2026,"SUPPLY, DESIGN, INSTALL, MIGRATE, MAINTAIN AND SUPPORT OF DESKTOP OFFICE APPLICATIONS- ELM-4/019/2025-2026",11/11/2025,11/12/2025,Elundini Local Municipality,Request for Bid,Eastern Cape,"Maclear, Ugie, Mt Fletcher",,,,,,,,,,,,https://elundini.gov.za/category/supplychain/tenders/,,Elundini
Municipal,ELM-3/009/2025-2026,Supply and Delivery of Hot Asphalt Mix: ELM-3/009/2025-2026,17/10/2025,17/10/2025,Elundini Local Municipality,Request for Bid,Eastern Cape,"Maclear, Ugie, Mt Fletcher",,,,,,,,,,,,https://elundini.gov.za/category/supplychain/tenders/,,Elundini
Municipal,ELM-6/009/2025-2026,Hiring Services of a Generator for Elundini Cultural Festival for a period of One Day: ELM-6/009/2025-2026,17/10/2025,17/10/2025,Elundini Local Municipality,Request for Bid,Eastern Cape,"Maclear, Ugie, Mt Fletcher",,,,,,,,,,,,https://elundini.gov.za/category/supplychain/tenders/,,Elundini
Municipal,ELM-6/003/2025-2026,Re-Advert Appointment of an Events Company for Elundini Cultural Festival: ELM-6/003/2025-2026,17/10/2025,17/10/2025,Elundini Local Municipality,Request for Bid,Eastern Cape,"Maclear, Ugie, Mt Fletcher",,,,,,,,,,,,https://elundini.gov.za/category/supplychain/tenders/,,Elundini
Municipal,ELM-6/002/2025-2026,RE-ADVERTISEMENT: PROVISION OF CERTIFICATION OF COMMUNAL FARMS SHEARING SHEDS FOR INTERNATIONAL WOOL STANDARDS- ELM-6/002/2025-2026,14/10/2025,14/11/2025,Elundini Local Municipality,Request for Bid,Eastern Cape,"Maclear, Ugie, Mt Fletcher",,,,,,,,,,,,https://elundini.gov.za/category/supplychain/tenders/,,Elundini
Municipal,ELM-3/016/2025-2026,SUPPLY AND DELIVERY OF DIESEL- ELM-3/016/2025-2026,14/10/2025,14/11/2025,Elundini Local Municipality,Request for Bid,Eastern Cape,"Maclear, Ugie, Mt Fletcher",,,,,,,,,,,,https://elundini.gov.za/category/supplychain/tenders/,,Elundini
Municipal,ELM-5/016/2025-2026,SUPPLY AND DELIVERY OF CLEANING MATERIAL- ELM-5/016/2025-2026,14/10/2025,14/11/2025,Elundini Local Municipality,Request for Bid,Eastern Cape,"Maclear, Ugie, Mt Fletcher",,,,,,,,,,,,https://elundini.gov.za/category/supplychain/tenders/,,Elundini
