Category,Tender Number,Tender Description,Advertised,Closing,Organ Of State,Tender Type,Province,"Place where goods, works or services are required",Special Conditions,Contact Person,Email,Telephone number,FAX Number,Is there a briefing session?,Is it compulsory?,Briefing Date and Time,Briefing Venue,eSubmission,Two Envelope Submission,Source URL,Tender ID,Source
Municipal,ELM-001,DEVELOPMENT PROPOSALS FOR THE PURCHASE AND DEVELOPMENT OF VARIOUS PROPERTIES,05/02/2026,20/03/2026,Emalahleni Local Municipality,Request for Bid,Mpumalanga,Emalahleni (Witbank),,,,,,,,,,,,https://emalahleni.gov.za/v2/elm-business/tenders,,Emalahleni
Municipal,ELM 08/2026,APPOINTMENT OF FOUR (4) SERVICE PROVIDERS FOR THE PROVISION OF PHYSICAL SECURITY SERVICES TO EMALAHLENI LOCAL MUNICIPALITY FOR THE PERIOD OF 36 (THIRTY-SIX) MONTHS,30/01/2026,06/03/2026,Emalahleni Local Municipality,Request for Bid,Mpumalanga,Emalahleni (Witbank),,,,,,,,,,,,https://emalahleni.gov.za/v2/elm-business/tenders,,Emalahleni
Municipal,ELM 07/2026,APPOINTMENT OF A SERVICE PROVIDER FOR THE MAINTANANCE AND OPERATION OF GANALA LANDFILL SITE FOR A PERIOD OF 36 MONTHS,29/08/2025,01/10/2025,Emalahleni Local Municipality,Request for Bid,Mpumalanga,Emalahleni (Witbank),,,,,,,,,,,,https://emalahleni.gov.za/v2/elm-business/tenders,,Emalahleni
Municipal,ELM 06/2026,APPOINTMENT OF A SERVICE PROVIDER FOR THE MAINTANANCE AND OPERATION OF PHOLA LANDFILL SITE FOR A PERIOD OF 36 MONTHS,29/08/2025,01/10/2025,Emalahleni Local Municipality,Request for Bid,Mpumalanga,Emalahleni (Witbank),,,,,,,,,,,,https://emalahleni.gov.za/v2/elm-business/tenders,,Emalahleni
Municipal,ELM 05/2026,PANEL OF CONTRACTORS FOR CIVIL ENGINEERING WORKS AND BUILDING WORKS IN EMALAHLENI FOR A PERIOD OF 36 MONTHS ON “AS AND WHEN BASIS”,28/08/2025,29/10/2025,Emalahleni Local Municipality,Request for Bid,Mpumalanga,Emalahleni (Witbank),,,,,,,,,,,,https://emalahleni.gov.za/v2/elm-business/tenders,,Emalahleni
Municipal,ELM 04/2026,PANEL OF CONTRACTORS FOR ELECTRIFICATION AND COMMUNITY AND PUBLIC LIGHTING WORKS IN EMALAHLENI FOR A PERIOD OF 36 MONTHS ON “AS AND WHEN BASIS”,28/08/2025,21/11/2025,Emalahleni Local Municipality,Request for Bid,Mpumalanga,Emalahleni (Witbank),,,,,,,,,,,,https://emalahleni.gov.za/v2/elm-business/tenders,,Emalahleni
Municipal,ELM 03/2026,"APPOINTMENT OF PANEL OF ELECTRICAL CONTRACTORS FOR THE CONSTRUCTION OF A SUBSTATION BUILDING AND THE SUPPLY, DELIVERY AND INSTALLATION OF 132/22/11KV OVER HEADLINE AND SWITCHROOM EQUIPMENT IN EMALAHLENI FOR A PERIOD OF 36 MONTHS ON “",28/08/2025,21/11/2025,Emalahleni Local Municipality,Request for Bid,Mpumalanga,Emalahleni (Witbank),,,,,,,,,,,,https://emalahleni.gov.za/v2/elm-business/tenders,,Emalahleni
Municipal,ELM 02/2026,APPOINTMENT OF PANEL OF CONTRACTORS FOR THE CONSTRUCTION OF WASTEWATER TREATMENT WORKS: MECHANICAL AND ELECTRICAL ENGINEERING WORKS IN EMALAHLENI FOR A PERIOD OF 36 MONTHS ON “AS AND WHEN BASIS”,28/08/2025,29/10/2025,Emalahleni Local Municipality,Request for Bid,Mpumalanga,Emalahleni (Witbank),,,,,,,,,,,,https://emalahleni.gov.za/v2/elm-business/tenders,,Emalahleni
Municipal,ELM 01/2026,REFURBISHMENT OF THE 40ML RESERVOIR AT POINT D AND ASSOCIATED WORKS,28/08/2025,01/10/2025,Emalahleni Local Municipality,Request for Bid,Mpumalanga,Emalahleni (Witbank),,,,,,,,,,,,https://emalahleni.gov.za/v2/elm-business/tenders,,Emalahleni
Municipal,ELM-010,RFQ -::- REQUEST FOR QUOTATIONS OF ACCREDITED TRAINING SERVICE PROVIDERS,15/07/2025,15/08/2025,Emalahleni Local Municipality,Request for Bid,Mpumalanga,Emalahleni (Witbank),,,,,,,,,,,,https://emalahleni.gov.za/v2/elm-business/tenders,,Emalahleni
