#,description
WCGHSC0414/2023,"THE SUPPLY OF MEDICAL LOCUMS OF ALL GRADES AND SPECIALITIES INCLUDING STANDBY, ON CALL (EXCLUSIVE OF NURSING AND ADMINISTRATIVE PERSONNEL) TO ALL HOSPITALS/INSTITUTIONS UNDER THE WESERN CAPE DEPATMENT OF HEALTH."
GQET-25/26-040,"GQEBERHA (PE) AREA: SERVICING, MAINTENANCE AND REPAIRS OF GAS REFRIGERATION EQUIPMENT FOR 36 MONTHS."
GQET-25/26-041,"EAST LONDON AREA: SERVICING, MAINTENANCE AND REPAIRS OF GAS AND REFRIGERATION EQUIPMENT FOR 36 MONTHS."
GT/GPT/009/2026,DEVELOPMENT OF BIOMETRIC AUTHENTICATION SYSTEM INCLUDING SUPPORT AND MAINTENANCE FOR PERIOD OF 3 YEARS
BSM 64/26,APPOINTMENT OF A SERVICE PROVIDER FOR THE UNBUNDLING OF INFRASTRUCTURE ASSETS FOR THE PERIOD FROM 1 JULY 2026 UNTIL 30 JUNE 2029.
SCMU10-25/26-0018,PROVISIONING OF MATERIAL TESTING LABORATORY SERVICES FOR IN HOUSE CONSTRUCTION FOR A PERIOD OF THIRTY SIX (36) MONTHS
SCMU: 13 - 2025/26,"TERMS OF REFERENCE FOR APPOINTMENT OF A SERVICE PROVIDER TO SUPPLY, INSTALL WIRELESS NETWORK INFRASTRUCTURE SOLUTION FOR ETDP SETA"
CDC/50/26,LEASING OF NEW VEHICLES FOR VARIOUS COEGA OFFICES WITH FULL SERVICE AND MAINTENANCE PLANS FOR A PERIOD OF 5YEARS (60 MONTHS)
CDC/41/26,PREFERRED SERVICE PROVIDERS FOR VARIOUS MAINTENANCE SERVICES FOR COEGA DEVELOPMENT CORPORATION - Sewer Pumpstations Maintenance
24/2025/2026,"SUPPLY, DELIVERY AND MAINTENANCE OF BACK-END HIGH-VOLUME COLOUR MULTIFUNCION PRINTERS FOR 3 YEARS"
BSM 31/26,MAIN ROAD INTERSECTION IMPROVEMENT R44-R310 AND ALEXANDER JUNCTION
SCMU: 14 - 2025/26,TERMS OF REFERENCE FOR THE IMPLEMENTATION OF SKILLS DEVELOPMENT PROGRAMMES FOR THE GAUTENG PROVINCE ON BEHALF OF THE GAUTENG DEPARTMENT OF EDUCATION: SHORT LEARNING SKILLLS PROGRAMMES: THERAPISTS
SCMU: 15 - 2025/26,TERMS OF REFERENCE FOR THE IMPLEMENTATION OF SKILLS DEVELOPMENT PROGRAMMES FOR THE GAUTENG PROVINCE ON BEHALF OF THE GAUTENG DEPARTMENT OF EDUCATION: SHORT LEARNING SKILLLS PROGRAMMES: GEOGRAPHY
SCMU: 16 - 2025/26,TERMS OF REFERENCE FOR THE IMPLEMENTATION OF SKILLS DEVELOPMENT PROGRAMMES FOR THE GAUTENG PROVINCE ON BEHALF OF THE GAUTENG DEPARTMENT OF EDUCATION: SACE ENDORSED SKILLLS PROGRAMMES
CTICC 036/2026,Hire and Maintenance of Various Access and Lifting Platforms
169S/2025/26,PANEL OF LEGAL SERVICE PROVIDERS FOR CONVEYANCING SERVICES ON AN AS-ANDWHEN–REQUIRED BASIS
FSDSD (T) 008/2025,APPOINTMENT OF SERVICE PROVIDER(S) TO PROVIDE CATERING AND RELATED SERVICES AT THE DEPARTMENTAL INSTITUTIONS ON BEHALF OF THE FREE STATE DEPARTMENT OF SOCIAL DEVELOPMENT FOR A PERIOD OF (03) THREE YEARS
T 8/3/4-2026 (MN6-2026),"APPOINTMENT OF A SERVICE PROVIDER FOR THE SERVICING, MAINTENANCE, TESTING AND REPAIR OF DIESEL-POWERED STANDBY GENERATORS FOR A PERIOD ENDING 30 JUNE 2029"
E2574GXMPGRO,Request for information on commercially available and/or proven technology for re-engineering of the OPC DA (Data Access) communication protocol for control systems that are impacted by the Microsoft security changes for systems using the Windows operating system and have the OPC classic architecture infrastructure based on DCOM based communication (where OEM support is no longer available as they have exited the business).
T 8/3/11-2026 (MN25-2026),APPOINTMENT OF A SERVICE PROVIDER TO COMPILE W2RAP’S FOR VARIOUS WASTEWATER SYSTEMS IN BERGRIVIER MUNICIPALITY
E2595GXMPMAT,Provision of Cleaning Services on Ash Plant & Dust Plant at Matla Power Station for five (5) years
TDR124/2025/2026,"THE INSTALLATION, STRIP, REPAIR AND MAINTENANCE OF IRRIGATIONS SYSTEMS FOR MOSSEL BAY MUNICIPALITY"
167S/2025/26,THE PROVISION OF AUGMENTARY EMPLOYEE ASSISTANCE PROGRAMME (EAP) SERVICES FOR EMPLOYEES OF THE CITY OF CAPE TOWN.
