Category,Tender Number,Tender Description,Advertised,Closing,Organ Of State,Tender Type,Province,"Place where goods, works or services are required",Special Conditions,Contact Person,Email,Telephone number,FAX Number,Is there a briefing session?,Is it compulsory?,Briefing Date and Time,Briefing Venue,eSubmission,Two Envelope Submission,Source URL,Tender ID,Source
Municipal,RFQ/CORP/02/2025/26,"Request for Supply, Delivery, and Assembly of a Council Chamber Furniture.",04/02/2026,13/02/2026,Great Kei Municipality,Request for Quotation,Eastern Cape,"Great Kei (Komga, Kei Mouth)",,Makabongwe Mpahla,,,,,,,,,,https://greatkeilm.gov.za/web/category/tenders/open-tenders/,,Great Kei
Municipal,RFQ/CORP/01/2025/26,"Request for Supply, Delivery, and Installation of Air-conditioners",,13/02/2026,Great Kei Municipality,Request for Quotation,Eastern Cape,"Great Kei (Komga, Kei Mouth)",,Makabongwe Mpahla,,,,,,,,,,https://greatkeilm.gov.za/web/category/tenders/open-tenders/,,Great Kei
Municipal,RFQ/COMM/06/2025/26,Request for Supply and Delivery of Refuse Bags.,,10/02/2026,Great Kei Municipality,Request for Quotation,Eastern Cape,"Great Kei (Komga, Kei Mouth)",,Makabongwe Mpahla,,,,,,,,,,https://greatkeilm.gov.za/web/category/tenders/open-tenders/,,Great Kei
Municipal,RFQ/BTO/08/2025/26,Request for Servicing of Great Kei Vehicles.,,10/02/2026,Great Kei Municipality,Request for Quotation,Eastern Cape,"Great Kei (Komga, Kei Mouth)",,Makabongwe Mpahla,,,,,,,,,,https://greatkeilm.gov.za/web/category/tenders/open-tenders/,,Great Kei
Municipal,RFQ/BTO/09/2025/26,Request for Supply and Delivery of Alternative Energy.,03/02/2026,09/02/2026,Great Kei Municipality,Request for Quotation,Eastern Cape,"Great Kei (Komga, Kei Mouth)",,Makabongwe Mpahla,,,,,,,,,,https://greatkeilm.gov.za/web/category/tenders/open-tenders/,,Great Kei
Municipal,RFQ/TECH/ELEC/05/2025/26,Request for Supply and Delivery of Protective Clothing for Technical Services Staff.,26/01/2026,02/02/2026,Great Kei Municipality,Request for Quotation,Eastern Cape,"Great Kei (Komga, Kei Mouth)",,Makabongwe Mpahla,,,,,,,,,,https://greatkeilm.gov.za/web/category/tenders/open-tenders/,,Great Kei
Municipal,RFQ/COMM/05/2025/26,The municipality is calling for Quotations from service providers for the Supply and delivery of Skip Bins.,23/01/2026,29/01/2026,Great Kei Municipality,Request for Quotation,Eastern Cape,"Great Kei (Komga, Kei Mouth)",,Makabongwe Mpahla,,,,,,,,,,https://greatkeilm.gov.za/web/category/tenders/open-tenders/,,Great Kei
Municipal,NOTICE OF CLOSURE OF MUNICIPAL PROCUREMENT PROCESSES,NOTICE OF CLOSURE OF MUNICIPAL PROCUREMENT PROCESSES,09/12/2025,12/01/2026,Great Kei Municipality,Request for Quotation,Eastern Cape,"Great Kei (Komga, Kei Mouth)",,Mfuyo Mpofu,,,,,,,,,,https://greatkeilm.gov.za/web/category/tenders/open-tenders/,,Great Kei
Municipal,RFQ/COMM/03/2025/26,The municipality is calling for Quotations from service providers for Fixing of Ablution Facilities at Kei Mouth.,28/11/2025,10/12/2025,Great Kei Municipality,Request for Quotation,Eastern Cape,"Great Kei (Komga, Kei Mouth)",,Mfuyo Mpofu,,,,,,,,,,https://greatkeilm.gov.za/web/category/tenders/open-tenders/,,Great Kei
Municipal,RFQ NO: BTO 07/2025/26,"Request for branding of Four (4) Municipal Bakkies, One (1) Minibus and Stripping and Re-Branding of Two (2) Municipal Sedans",,04/12/2025,Great Kei Municipality,Request for Quotation,Eastern Cape,"Great Kei (Komga, Kei Mouth)",,Mfuyo Mpofu,,,,,,,,,,https://greatkeilm.gov.za/web/category/tenders/open-tenders/,,Great Kei
