Category,Tender Number,Tender Description,Advertised,Closing,Organ Of State,Tender Type,Province,"Place where goods, works or services are required",Special Conditions,Contact Person,Email,Telephone number,FAX Number,Is there a briefing session?,Is it compulsory?,Briefing Date and Time,Briefing Venue,eSubmission,Two Envelope Submission,Source URL,Tender ID,Source
Municipal,RFQ 60,RFQ 60-SURVEY OF SECTION C AND EXTENSION 4 GENERAL PLANS,02/10/2025,,Intsika Yethu Local Municipality,Request for Quotation,Eastern Cape,Cofimvaba,,,,,,,,,,,,https://www.intsikayethu.gov.za/ova_doc/rfq-60-survey-of-section-c-and-extension-4-general-plans/,,Intsika Yethu
Municipal,RFQ 59,RFQ 59-WARD 14 COFIMVABA TAXI RANK TOILETS RENOVATION,29/09/2025,,Intsika Yethu Local Municipality,Request for Quotation,Eastern Cape,Cofimvaba,,,,,,,,,,,,https://www.intsikayethu.gov.za/ova_doc/rfq-59-ward-14-cofimvaba-taxi-rank-toilets-renovation/,,Intsika Yethu
Municipal,RFQ 55-ANNUAL,RFQ 55-ANNUAL RENEWAL LICENSE FOR THREAT PROTECTION,25/09/2025,,Intsika Yethu Local Municipality,Request for Quotation,Eastern Cape,Cofimvaba,,,,,,,,,,,,https://www.intsikayethu.gov.za/ova_doc/rfq-55-annual-renewal-license-for-threat-protection/,,Intsika Yethu
Municipal,RFQ 56-ANNUAL,RFQ 56-ANNUAL RENEWAL LICENSE FOR ENDPOINTS,25/09/2025,,Intsika Yethu Local Municipality,Request for Quotation,Eastern Cape,Cofimvaba,,,,,,,,,,,,https://www.intsikayethu.gov.za/ova_doc/rfq-56-annual-renewal-license-for-endpoints/,,Intsika Yethu
Municipal,RFQ 37,RFQ 37-SUBDIVISION OF INFILL AREAS IN COFIMVABA_,20/08/2025,,Intsika Yethu Local Municipality,Request for Quotation,Eastern Cape,Cofimvaba,,,,,,,,,,,,https://www.intsikayethu.gov.za/ova_doc/rfq-37-subdivision-of-infill-areas-in-cofimvaba_/,,Intsika Yethu
Municipal,RFQ 36,RFQ 36-SUBDIVISION AND CONSOLIDATION OF ERVEN_EDITED (2),20/08/2025,,Intsika Yethu Local Municipality,Request for Quotation,Eastern Cape,Cofimvaba,,,,,,,,,,,,https://www.intsikayethu.gov.za/ova_doc/rfq-36-subdivision-and-consolidation-of-erven_edited-2/,,Intsika Yethu
Municipal,Bid Notice and Invitation,Bid Notice and Invitation,18/08/2025,,Intsika Yethu Local Municipality,Request for Quotation,Eastern Cape,Cofimvaba,,,,,,,,,,,,https://www.intsikayethu.gov.za/ova_doc/bid-notice-and-invitation/,,Intsika Yethu
Municipal,CAUSE WAY,CAUSE WAY,28/05/2025,,Intsika Yethu Local Municipality,Request for Quotation,Eastern Cape,Cofimvaba,,,,,,,,,,,,https://www.intsikayethu.gov.za/ova_doc/cause-way/,,Intsika Yethu
Municipal,PANEL,PANEL-OF-15XCIVIL-CONSTRUCTORS,15/05/2025,,Intsika Yethu Local Municipality,Request for Quotation,Eastern Cape,Cofimvaba,,,,,,,,,,,,https://www.intsikayethu.gov.za/ova_doc/panel-of-15xcivil-constructors/,,Intsika Yethu
Municipal,Tender Advert,Tender Advert,31/03/2025,,Intsika Yethu Local Municipality,Request for Quotation,Eastern Cape,Cofimvaba,,,,,,,,,,,,https://www.intsikayethu.gov.za/ova_doc/tender-advert/,,Intsika Yethu
