Category,Tender Number,Tender Description,Advertised,Closing,Organ Of State,Tender Type,Province,"Place where goods, works or services are required",Special Conditions,Contact Person,Email,Telephone number,FAX Number,Is there a briefing session?,Is it compulsory?,Briefing Date and Time,Briefing Venue,eSubmission,Two Envelope Submission,Source URL,Tender ID,Source
Municipal,JGDM-001,"Advert – Once Off Supply, Delivery And Instillation Of A 6 Ton Hydraulic 2 Post Base Lift With Manual Locking System",,,Joe Gqabi District Municipality,Request for Bid,Eastern Cape,"Barkly East, Aliwal North, Lady Grey",,,,,,,,,,,,https://jgdm.gov.za/download/advert-once-off-supply-delivery-and-instillation-of-a-6-ton-hydraulic-2-post-base-lift-with-manual-locking-system/,,Joe Gqabi
Municipal,JGDM-002,Advert – Once Off Supply And Delivery Of Four (4) Trash Pumps To The Joe Gqabi District Municipality,,,Joe Gqabi District Municipality,Request for Bid,Eastern Cape,"Barkly East, Aliwal North, Lady Grey",,,,,,,,,,,,https://jgdm.gov.za/download/advert-once-off-supply-and-delivery-of-four-4-trash-pumps-to-the-joe-gqabi-district-municipality/,,Joe Gqabi
Municipal,JGDM-003,"Advert – Expression Of Interest Panel Of Service Providers For The Supply, Delivery And Offloading Of Poly Liquid Coagulants Chemicals, Bio Remediation Chemicals And Ancillary Services Relating To Water And Wastewater Treatment For A Period Of Three Years",,,Joe Gqabi District Municipality,Request for Bid,Eastern Cape,"Barkly East, Aliwal North, Lady Grey",,,,,,,,,,,,https://jgdm.gov.za/download/advert-expression-of-interest-panel-of-service-providers-for-the-supply-delivery-and-offloading-of-poly-liquid-coagulants-chemicals-bio-remediation-chemicals-and-ancillary-services-relatin/,,Joe Gqabi
Municipal,JGDM-004,"Advert – Provision Of Tyre Fitment Center Services, Including Supply And Delivery Of Tyre’s And All Associated Services For Joe Gqabi District Municipality For A Period OF Three Years",,,Joe Gqabi District Municipality,Request for Bid,Eastern Cape,"Barkly East, Aliwal North, Lady Grey",,,,,,,,,,,,https://jgdm.gov.za/download/advert-provision-of-tyre-fitment-center-services-including-supply-and-delivery-of-tyres-and-all-associated-services-for-joe-gqabi-district-municipality-for-a-period-of-three-years/,,Joe Gqabi
Municipal,JGDM-005,Advert – Provision Of Auctioneer Services As And When Required For A Period Of Three Years,,,Joe Gqabi District Municipality,Request for Bid,Eastern Cape,"Barkly East, Aliwal North, Lady Grey",,,,,,,,,,,,https://jgdm.gov.za/download/advert-provision-of-auctioneer-services-as-and-when-required-for-a-period-of-three-years/,,Joe Gqabi
Municipal,JGDM-006,Advert – Supply And Delivery Of Pure Bred Merino Rams For A Period Of Three (03) Years As And When Required,,,Joe Gqabi District Municipality,Request for Bid,Eastern Cape,"Barkly East, Aliwal North, Lady Grey",,,,,,,,,,,,https://jgdm.gov.za/download/advert-supply-and-delivery-of-pure-bred-merino-rams-for-a-period-of-three-03-years-as-and-when-required/,,Joe Gqabi
Municipal,JGDM-007,Advert – Provision Of Municipal Finance Management Program For Joe Gqabi District Municipality Officials And Interns For A Period Of Three (03) Years,,,Joe Gqabi District Municipality,Request for Bid,Eastern Cape,"Barkly East, Aliwal North, Lady Grey",,,,,,,,,,,,https://jgdm.gov.za/download/advert-provision-of-municipal-finance-management-program-for-joe-gqabi-district-municipality-officials-and-interns-for-a-period-of-three-03-years/,,Joe Gqabi
Municipal,JGDM-008,Advert – Provision Of Employment Checks For New And Existing Employees For A Period Of Three (03) Years,,,Joe Gqabi District Municipality,Request for Bid,Eastern Cape,"Barkly East, Aliwal North, Lady Grey",,,,,,,,,,,,https://jgdm.gov.za/download/advert-provision-of-employment-checks-for-new-and-existing-employees-for-a-period-of-three-03-years/,,Joe Gqabi
Municipal,JGDM-009,"Advert – Design, Monitoring And Construction Of Aliwal North Asbestos Pipe Replacement– (TURNKEY)",,,Joe Gqabi District Municipality,Request for Bid,Eastern Cape,"Barkly East, Aliwal North, Lady Grey",,,,,,,,,,,,https://jgdm.gov.za/download/advert-design-monitoring-and-construction-of-aliwal-north-asbestos-pipe-replacement-turnkey/,,Joe Gqabi
Municipal,JGDM2025/26-005,Notice: 81/2025 Erratum Notice-Tender No: JGDM2025/26-005 (EXTENDED CLOSING DATE: 17/11/2025),,17/11/2025,Joe Gqabi District Municipality,Request for Bid,Eastern Cape,"Barkly East, Aliwal North, Lady Grey",,,,,,,,,,,,https://jgdm.gov.za/download/notice-81-2025-erratum-notice-tender-no-jgdm2025-26-005-extended-closing-date-17-11-2025/,,Joe Gqabi
Municipal,JGDM-011,Advert- Municipal Finance Management Internship Programme (MFMIP) X3,,,Joe Gqabi District Municipality,Request for Bid,Eastern Cape,"Barkly East, Aliwal North, Lady Grey",,,,,,,,,,,,https://jgdm.gov.za/download/advert-municipal-finance-management-internship-programme-mfmip-x3/,,Joe Gqabi
