Category,Tender Number,Tender Description,Advertised,Closing,Organ Of State,Tender Type,Province,"Place where goods, works or services are required",Special Conditions,Contact Person,Email,Telephone number,FAX Number,Is there a briefing session?,Is it compulsory?,Briefing Date and Time,Briefing Venue,eSubmission,Two Envelope Submission,Source URL,Tender ID,Source
Municipal,45/2026,REQUEST FOR QUOTE (RFQ): COMPLETION OF 1.4 KM MOTTO BARBED WIRE FENCE AT 1.4M HEIGHT ON ERF 746 PRT 62 SEA VISTA,19/02/2026,05/03/2026,Kouga Municipality,Request for Bid,Eastern Cape,"Jeffreys Bay, Humansdorp, St Francis Bay, Hankey",,,,,,,,,,,,https://www.kouga.gov.za/tender/request-for-quote-rfq-completion-of-1-4-km-motto-barbed-wire-fence-at-1-4m-height-on-erf-746-prt-62-sea-vista,,Kouga
Municipal,33/2026,REQUEST FOR QUOTE (RFQ): COMPLETION OF 1.4 KM MOTTO BARBED WIRE FENCE AT 1.4M HEIGHT ON ERF 746 PRT 62 SEA VISTA,19/02/2026,23/03/2026,Kouga Municipality,Request for Bid,Eastern Cape,"Jeffreys Bay, Humansdorp, St Francis Bay, Hankey",,,,,,,,,,,,https://www.kouga.gov.za/tender/travel-agency-services,,Kouga
Municipal,40/2026,REQUEST FOR QUOTE (RFQ): COMPLETION OF 1.4 KM MOTTO BARBED WIRE FENCE AT 1.4M HEIGHT ON ERF 746 PRT 62 SEA VISTA,18/02/2026,20/03/2026,Kouga Municipality,Request for Bid,Eastern Cape,"Jeffreys Bay, Humansdorp, St Francis Bay, Hankey",,,,,,,,,,,,https://www.kouga.gov.za/tender/electrical-material,,Kouga
Municipal,38/2026,REQUEST FOR QUOTE (RFQ): COMPLETION OF 1.4 KM MOTTO BARBED WIRE FENCE AT 1.4M HEIGHT ON ERF 746 PRT 62 SEA VISTA,17/02/2026,02/03/2026,Kouga Municipality,Request for Bid,Eastern Cape,"Jeffreys Bay, Humansdorp, St Francis Bay, Hankey",,,,,,,,,,,,https://www.kouga.gov.za/tender/request-for-quote-rfq-repairs-to-hopper-unit-and-leaking-hydraulic-cylinders-of-fmj-516-ec,,Kouga
Municipal,37/2026,REQUEST FOR QUOTE (RFQ): COMPLETION OF 1.4 KM MOTTO BARBED WIRE FENCE AT 1.4M HEIGHT ON ERF 746 PRT 62 SEA VISTA,17/02/2026,02/03/2026,Kouga Municipality,Request for Bid,Eastern Cape,"Jeffreys Bay, Humansdorp, St Francis Bay, Hankey",,,,,,,,,,,,https://www.kouga.gov.za/tender/request-for-quote-rfq-complete-engine-overhaul-reg-fhy-408-ec,,Kouga
Municipal,36/2026,REQUEST FOR QUOTE (RFQ): COMPLETION OF 1.4 KM MOTTO BARBED WIRE FENCE AT 1.4M HEIGHT ON ERF 746 PRT 62 SEA VISTA,13/02/2026,16/03/2026,Kouga Municipality,Request for Bid,Eastern Cape,"Jeffreys Bay, Humansdorp, St Francis Bay, Hankey",,,,,,,,,,,,https://www.kouga.gov.za/tender/advertising-services-in-digital-media-and-other-related-services,,Kouga
Municipal,35/2026,REQUEST FOR QUOTE (RFQ): COMPLETION OF 1.4 KM MOTTO BARBED WIRE FENCE AT 1.4M HEIGHT ON ERF 746 PRT 62 SEA VISTA,13/02/2026,16/03/2026,Kouga Municipality,Request for Bid,Eastern Cape,"Jeffreys Bay, Humansdorp, St Francis Bay, Hankey",,,,,,,,,,,,https://www.kouga.gov.za/tender/streetlight-poles-and-adaptor-brackets,,Kouga
Municipal,29/2026,REQUEST FOR QUOTE (RFQ): COMPLETION OF 1.4 KM MOTTO BARBED WIRE FENCE AT 1.4M HEIGHT ON ERF 746 PRT 62 SEA VISTA,10/02/2026,23/02/2026,Kouga Municipality,Request for Bid,Eastern Cape,"Jeffreys Bay, Humansdorp, St Francis Bay, Hankey",,,,,,,,,,,,https://www.kouga.gov.za/tender/rfq-supply-and-delivery-of-personal-protective-equipment-for-the-fleet-section,,Kouga
Municipal,30/2026,REQUEST FOR QUOTE (RFQ): COMPLETION OF 1.4 KM MOTTO BARBED WIRE FENCE AT 1.4M HEIGHT ON ERF 746 PRT 62 SEA VISTA,05/02/2026,13/02/2026,Kouga Municipality,Request for Bid,Eastern Cape,"Jeffreys Bay, Humansdorp, St Francis Bay, Hankey",,,,,,,,,,,,https://www.kouga.gov.za/tender/request-for-quote-rfq-supply-delivery-and-offloading-of-mobile-utility-trailer-4-5m-x-1-5m-x-1-8m-double-axle-supply-of-2500l-water-tank,,Kouga
Municipal,28/2026,REQUEST FOR QUOTE (RFQ): COMPLETION OF 1.4 KM MOTTO BARBED WIRE FENCE AT 1.4M HEIGHT ON ERF 746 PRT 62 SEA VISTA,05/02/2026,19/02/2026,Kouga Municipality,Request for Bid,Eastern Cape,"Jeffreys Bay, Humansdorp, St Francis Bay, Hankey",,,,,,,,,,,,https://www.kouga.gov.za/tender/request-for-quote-rfq-automated-scada-disinfection-system-for-water-and-wastewater-purification-works,,Kouga
Municipal,26/2026,APPOINTMENT OF A PROFESSIONAL SERVICE PROVIDER TO PROVIDE K9 SECURITY SERVICES FOR A PERIOD OF 3 YEARS,04/02/2026,06/03/2026,Kouga Municipality,Request for Bid,Eastern Cape,"Jeffreys Bay, Humansdorp, St Francis Bay, Hankey",,,,,,,,,,,,https://www.kouga.gov.za/tender/appointment-of-a-professional-service-provider-to-provide-k9-security-services-for-a-period-of-3-years,,Kouga
Municipal,25/2026,APPOINTMENT OF A PROFESSIONAL SERVICE PROVIDER TO PROVIDE K9 SECURITY SERVICES FOR A PERIOD OF 3 YEARS,04/02/2026,06/03/2026,Kouga Municipality,Request for Bid,Eastern Cape,"Jeffreys Bay, Humansdorp, St Francis Bay, Hankey",,,,,,,,,,,,https://www.kouga.gov.za/tender/provision-of-cash-in-transit-services-for-a-period-of-3-years,,Kouga
Municipal,24/2026,APPOINTMENT OF A PROFESSIONAL SERVICE PROVIDER TO PROVIDE K9 SECURITY SERVICES FOR A PERIOD OF 3 YEARS,04/02/2026,06/03/2026,Kouga Municipality,Request for Bid,Eastern Cape,"Jeffreys Bay, Humansdorp, St Francis Bay, Hankey",,,,,,,,,,,,https://www.kouga.gov.za/tender/appointment-of-a-registered-professional-service-provider-to-provide-auctioneering-service-to-dispose-of-municipal-movable-and-immovable-property-for-a-period-of-three-years,,Kouga
Municipal,22/2026,APPOINTMENT OF A PROFESSIONAL SERVICE PROVIDER TO PROVIDE K9 SECURITY SERVICES FOR A PERIOD OF 3 YEARS,28/01/2026,06/02/2026,Kouga Municipality,Request for Bid,Eastern Cape,"Jeffreys Bay, Humansdorp, St Francis Bay, Hankey",,,,,,,,,,,,https://www.kouga.gov.za/tender/request-for-quote-rfq-facilitation-of-training-provider-law-enforcement-by-peace-officer,,Kouga
Municipal,2/2026,APPOINTMENT OF A PROFESSIONAL SERVICE PROVIDER TO PROVIDE K9 SECURITY SERVICES FOR A PERIOD OF 3 YEARS,23/01/2026,23/02/2026,Kouga Municipality,Request for Bid,Eastern Cape,"Jeffreys Bay, Humansdorp, St Francis Bay, Hankey",,,,,,,,,,,,https://www.kouga.gov.za/tender/extension-of-the-icc-building-in-humansdorp,,Kouga
Municipal,5/2026,APPOINTMENT OF A PROFESSIONAL SERVICE PROVIDER TO PROVIDE K9 SECURITY SERVICES FOR A PERIOD OF 3 YEARS,23/01/2026,02/03/2026,Kouga Municipality,Request for Bid,Eastern Cape,"Jeffreys Bay, Humansdorp, St Francis Bay, Hankey",,,,,,,,,,,,https://www.kouga.gov.za/tender/supply-delivery-and-offloading-of-valves-and-pipes-for-a-period-of-three-3-years,,Kouga
Municipal,3/2026,APPOINTMENT OF A PROFESSIONAL SERVICE PROVIDER TO PROVIDE K9 SECURITY SERVICES FOR A PERIOD OF 3 YEARS,16/01/2026,16/02/2026,Kouga Municipality,Request for Bid,Eastern Cape,"Jeffreys Bay, Humansdorp, St Francis Bay, Hankey",,,,,,,,,,,,https://www.kouga.gov.za/tender/supply-delivery-and-offloading-of-new-tyres-and-tubes-for-a-period-of-three-3-years,,Kouga
Municipal,4/2026,APPOINTMENT OF A PROFESSIONAL SERVICE PROVIDER TO PROVIDE K9 SECURITY SERVICES FOR A PERIOD OF 3 YEARS,16/01/2026,16/02/2026,Kouga Municipality,Request for Bid,Eastern Cape,"Jeffreys Bay, Humansdorp, St Francis Bay, Hankey",,,,,,,,,,,,https://www.kouga.gov.za/tender/supply-delivery-and-offloading-of-new-used-steel-converted-shipping-containers-for-a-period-of-three-3-years,,Kouga
Municipal,10/2026,APPOINTMENT OF A PROFESSIONAL SERVICE PROVIDER TO PROVIDE K9 SECURITY SERVICES FOR A PERIOD OF 3 YEARS,16/01/2026,30/01/2026,Kouga Municipality,Request for Bid,Eastern Cape,"Jeffreys Bay, Humansdorp, St Francis Bay, Hankey",,,,,,,,,,,,https://www.kouga.gov.za/tender/complete-engine-overhaul-of-a-toyota-land-cruiser-4-2-for-the-fire-department,,Kouga
Municipal,284/2025,APPOINTMENT OF A PROFESSIONAL SERVICE PROVIDER TO PROVIDE K9 SECURITY SERVICES FOR A PERIOD OF 3 YEARS,03/12/2025,12/12/2025,Kouga Municipality,Request for Bid,Eastern Cape,"Jeffreys Bay, Humansdorp, St Francis Bay, Hankey",,,,,,,,,,,,https://www.kouga.gov.za/tender/supply-delivery-and-installation-of-a-container-for-laboratory-services-in-the-kouga-area,,Kouga
