Category,Tender Number,Tender Description,Advertised,Closing,Organ Of State,Tender Type,Province,"Place where goods, works or services are required",Special Conditions,Contact Person,Email,Telephone number,FAX Number,Is there a briefing session?,Is it compulsory?,Briefing Date and Time,Briefing Venue,eSubmission,Two Envelope Submission,Source URL,Tender ID,Source
Municipal,R.062-060-2021_1R_SP02,R.062-060-2021_1R_SP02 - Security- Subcontract Tender Notice__Page_2,18/02/2026,,Kou-Kamma Local Municipality,Request for Bid,Eastern Cape,"Kou-Kamma (Kareedouw, Joubertina)",,,,,,,,,,,,https://www.koukammamunicipality.gov.za/wp-content/uploads/2026/02/R.062-060-2021_1R_SP02-Security-Subcontract-Tender-Notice__Page_2.jpg,3614,Kou-Kamma
Municipal,KKM-002,R.062 -060 2021_1R_SC01 - Accommodation of Traffic and maintenance of closures - Tender Notice (003)_Page_1,18/02/2026,,Kou-Kamma Local Municipality,Request for Bid,Eastern Cape,"Kou-Kamma (Kareedouw, Joubertina)",,,,,,,,,,,,https://www.koukammamunicipality.gov.za/wp-content/uploads/2026/02/R.062-060-2021_1R_SC01-Accommodation-of-Traffic-and-maintenance-of-closures-Tender-Notice-003_Page_1.jpg,3613,Kou-Kamma
Municipal,KKM-003,Advert Second Draft Annual Report 202425,06/02/2026,,Kou-Kamma Local Municipality,Request for Bid,Eastern Cape,"Kou-Kamma (Kareedouw, Joubertina)",,,,,,,,,,,,https://www.koukammamunicipality.gov.za/wp-content/uploads/2026/02/Advert-Second-Draft-Annual-Report-202425.jpg,3600,Kou-Kamma
Municipal,04/2026,ADVER FOR TENDER 04 2026,22/01/2026,,Kou-Kamma Local Municipality,Request for Bid,Eastern Cape,"Kou-Kamma (Kareedouw, Joubertina)",,,,,,,,,,,,https://www.koukammamunicipality.gov.za/wp-content/uploads/2026/01/ADVER-FOR-TENDER-04-2026.pdf,3588,Kou-Kamma
Municipal,KKM-005,ADVERT FOR T 03 2025,22/01/2026,,Kou-Kamma Local Municipality,Request for Bid,Eastern Cape,"Kou-Kamma (Kareedouw, Joubertina)",,,,,,,,,,,,https://www.koukammamunicipality.gov.za/wp-content/uploads/2026/01/ADVERT-FOR-T-03-2025.pdf,3587,Kou-Kamma
Municipal,KKM-006,NOTICE OF CANCELLATION BID NUMBER 06 2025 UPGRADING OF JOUBERTINA WATER TREATMENT WORKS,09/01/2026,,Kou-Kamma Local Municipality,Request for Bid,Eastern Cape,"Kou-Kamma (Kareedouw, Joubertina)",,,,,,,,,,,,https://www.koukammamunicipality.gov.za/wp-content/uploads/2026/01/NOTICE-OF-CANCELLATION-BID-NUMBER-06-2025-UPGRADING-OF-JOUBERTINA-WATER-TREATMENT-WORKS.pdf,3581,Kou-Kamma
Municipal,KKM-007,Bid No 02 2026 Electrification of Krakeel and Louterwater Informal Settlements,08/01/2026,,Kou-Kamma Local Municipality,Request for Bid,Eastern Cape,"Kou-Kamma (Kareedouw, Joubertina)",,,,,,,,,,,,https://www.koukammamunicipality.gov.za/wp-content/uploads/2026/01/Bid-No-02-2026-Electrification-of-Krakeel-and-Louterwater-Informal-Settlements.pdf,3576,Kou-Kamma
Municipal,KKM-008,Bid No 01 2026 Upgrading of Joubertina Water Treatment Works.,08/01/2026,,Kou-Kamma Local Municipality,Request for Bid,Eastern Cape,"Kou-Kamma (Kareedouw, Joubertina)",,,,,,,,,,,,https://www.koukammamunicipality.gov.za/wp-content/uploads/2026/01/Bid-No-01-2026-Upgrading-of-Joubertina-Water-Treatment-Works.pdf,3575,Kou-Kamma
Municipal,KKM-009,Auction advert,03/12/2025,,Kou-Kamma Local Municipality,Request for Bid,Eastern Cape,"Kou-Kamma (Kareedouw, Joubertina)",,,,,,,,,,,,https://www.koukammamunicipality.gov.za/wp-content/uploads/2025/12/Auction-advert.jpeg,3554,Kou-Kamma
Municipal,KKM-010,DC Board Advert Nov 2025,27/11/2025,,Kou-Kamma Local Municipality,Request for Bid,Eastern Cape,"Kou-Kamma (Kareedouw, Joubertina)",,,,,,,,,,,,https://www.koukammamunicipality.gov.za/wp-content/uploads/2025/11/DC-Board-Advert-Nov-2025.pdf,3547,Kou-Kamma
Municipal,KKM-011,Audit Comm Advert Nov 2025,27/11/2025,,Kou-Kamma Local Municipality,Request for Bid,Eastern Cape,"Kou-Kamma (Kareedouw, Joubertina)",,,,,,,,,,,,https://www.koukammamunicipality.gov.za/wp-content/uploads/2025/11/Audit-Comm-Advert-Nov-2025.pdf,3546,Kou-Kamma
Municipal,KKM-012,Advert - Examiner of motor vehicle,24/07/2025,,Kou-Kamma Local Municipality,Request for Bid,Eastern Cape,"Kou-Kamma (Kareedouw, Joubertina)",,,,,,,,,,,,https://www.koukammamunicipality.gov.za/wp-content/uploads/2025/07/Advert-Examiner-of-motor-vehicle.pdf,3448,Kou-Kamma
Municipal,KKM-013,external advert Internal Auditor,16/07/2025,,Kou-Kamma Local Municipality,Request for Bid,Eastern Cape,"Kou-Kamma (Kareedouw, Joubertina)",,,,,,,,,,,,https://www.koukammamunicipality.gov.za/wp-content/uploads/2025/07/external-advert-Internal-Auditor.pdf,3441,Kou-Kamma
