Category,Tender Number,Tender Description,Advertised,Closing,Organ Of State,Tender Type,Province,"Place where goods, works or services are required",Special Conditions,Contact Person,Email,Telephone number,FAX Number,Is there a briefing session?,Is it compulsory?,Briefing Date and Time,Briefing Venue,eSubmission,Two Envelope Submission,Source URL,Tender ID,Source
Municipal,KSD-001,Tender opening register for switches,,,King Sabata Dalindyebo Local Municipality,Request for Bid,Eastern Cape,"Mthatha, Mqanduli",,,,,,,,,,,,https://ksd.gov.za/download/procurements/bid_opening_register/MTHATHA-DAM-AND-HIGHBURY-SWITCHES-OPENING-REGISTER.pdf,,King Sabata Dalindyebo
Municipal,KSD-002,Tender opening register for refuse removal skip bins,,,King Sabata Dalindyebo Local Municipality,Request for Bid,Eastern Cape,"Mthatha, Mqanduli",,,,,,,,,,,,https://ksd.gov.za/download/procurements/bid_opening_register/COMERCIAL-REFUSE-REMOVAL-SKIP-BINS-OPENING-REGISTER.pdf,,King Sabata Dalindyebo
Municipal,KSD-003,Tender opening register for concrete street bins,,,King Sabata Dalindyebo Local Municipality,Request for Bid,Eastern Cape,"Mthatha, Mqanduli",,,,,,,,,,,,https://ksd.gov.za/download/procurements/bid_opening_register/CONCRETE-STREET-BINS-OPENING-REGISTER.pdf,,King Sabata Dalindyebo
Municipal,KSD-004,Tender opening register for traffic management equipment,,,King Sabata Dalindyebo Local Municipality,Request for Bid,Eastern Cape,"Mthatha, Mqanduli",,,,,,,,,,,,https://ksd.gov.za/download/procurements/bid_opening_register/TRAFFIC-MANAGEMENT-EQUIPMENT-OPENING-REGISTER.pdf,,King Sabata Dalindyebo
Municipal,KSD-005,Tender opening register for the hiring of skip loader,,,King Sabata Dalindyebo Local Municipality,Request for Bid,Eastern Cape,"Mthatha, Mqanduli",,,,,,,,,,,,https://ksd.gov.za/download/procurements/bid_opening_register/HIRING-OF-SKIP-LOADER-OPENING-REGISTER.pdf,,King Sabata Dalindyebo
Municipal,KSD-006,Tender opening register for asphalt material,,,King Sabata Dalindyebo Local Municipality,Request for Bid,Eastern Cape,"Mthatha, Mqanduli",,,,,,,,,,,,https://ksd.gov.za/download/procurements/bid_opening_register/OPENNING-REGISTER-FOR-ASPHALT.pdf,,King Sabata Dalindyebo
Municipal,KSD-007,Tender opening register for paint,,,King Sabata Dalindyebo Local Municipality,Request for Bid,Eastern Cape,"Mthatha, Mqanduli",,,,,,,,,,,,https://ksd.gov.za/download/procurements/bid_opening_register/OPENNING-REGISTER-PAINT.pdf,,King Sabata Dalindyebo
Municipal,KSD-008,Tender opening register for co-ops,,,King Sabata Dalindyebo Local Municipality,Request for Bid,Eastern Cape,"Mthatha, Mqanduli",,,,,,,,,,,,https://ksd.gov.za/download/procurements/bid_opening_register/TENDER-OPENING-REGISTER-CO-OPS.pdf,,King Sabata Dalindyebo
Municipal,KSD-009,Tender opening register for vetting services,,,King Sabata Dalindyebo Local Municipality,Request for Bid,Eastern Cape,"Mthatha, Mqanduli",,,,,,,,,,,,https://ksd.gov.za/download/procurements/bid_opening_register/openning-register-for-vetting.pdf,,King Sabata Dalindyebo
Municipal,KSD-010,Tender opening register for hiring of plant,,,King Sabata Dalindyebo Local Municipality,Request for Bid,Eastern Cape,"Mthatha, Mqanduli",,,,,,,,,,,,https://ksd.gov.za/download/procurements/bid_opening_register/HIRING-OF-PLANT-OPENING.pdf,,King Sabata Dalindyebo
