Category,Tender Number,Tender Description,Advertised,Closing,Organ Of State,Tender Type,Province,"Place where goods, works or services are required",Special Conditions,Contact Person,Email,Telephone number,FAX Number,Is there a briefing session?,Is it compulsory?,Briefing Date and Time,Briefing Venue,eSubmission,Two Envelope Submission,Source URL,Tender ID,Source
Municipal,,Tenders Available,,,Laingsburg Municipality,Request for Bid,Western Cape,Laingsburg,,,,,,,,,,,,https://laingsburg.gov.za/tenders-available,,Laingsburg
Municipal,quote,"We rely on our suppliers and service providers to keep the municipality functioning effectively. In order to supply goods or provide services to the municipality, the business needs to be registered on the Supplier Database. The business is then able to quote and bid for services and goods as advertised by the municipality.",,,Laingsburg Municipality,Request for Bid,Western Cape,Laingsburg,,,,,,,,,,,,http://laingsburg.gov.za,,Laingsburg
Municipal,Tender:SCM-T-2025-26-013,Notice: 18/2026 Tender:SCM-T-2025-26-013 TARIFF MODELLING AND A SIMPLIFIED COST-OF-SUPPLY Start Date: 12/02/2025 08:00 End Date: 06/03/2026 12:00,12/02/2025,06/03/2026,Laingsburg Municipality,Request for Bid,Western Cape,Laingsburg,,,,,,,,,,,,http://laingsburg.gov.za,,Laingsburg
Municipal,Tender Notice,Download: Tender Notice,,,Laingsburg Municipality,Request for Bid,Western Cape,Laingsburg,,,,,,,,,,,,http://laingsburg.gov.za/sites/default/files/content_uploads/SCM-T-2025-26-013%20-%20Final%20Notice.pdf,,Laingsburg
Municipal,Tender:SCM-T-2025-26-012,Notice: 17/2026 Tender:SCM-T-2025-26-012 LEASING OF OFFICE BUILDING FOR MUNICIPAL TRAFFIC DEPARTMENT Start Date: 12/02/2025 08:00 End Date: 16/03/2026 12:00,12/02/2025,16/03/2026,Laingsburg Municipality,Request for Bid,Western Cape,Laingsburg,,,,,,,,,,,,http://laingsburg.gov.za,,Laingsburg
Municipal,Tender Notice,Download: Tender Notice,,,Laingsburg Municipality,Request for Bid,Western Cape,Laingsburg,,,,,,,,,,,,http://laingsburg.gov.za/sites/default/files/content_uploads/SCM-T-2025-26-012%20-%20Final%20Notice.pdf,,Laingsburg
Municipal,Tender:SCM-T-2025-26-011,Notice: 16/2026 Tender:SCM-T-2025-26-011 PROVISION OF FUEL (PETROL AND DIESEL) FOR MUNICIPAL FLEET Start Date: 12/02/2025 08:00 End Date: 16/03/2026 12:00,12/02/2025,16/03/2026,Laingsburg Municipality,Request for Bid,Western Cape,Laingsburg,,,,,,,,,,,,http://laingsburg.gov.za,,Laingsburg
Municipal,Tender Notice,Download: Tender Notice,,,Laingsburg Municipality,Request for Bid,Western Cape,Laingsburg,,,,,,,,,,,,http://laingsburg.gov.za/sites/default/files/content_uploads/SCM-T-2025-26-011%20-%20Final%20Notice.pdf,,Laingsburg
Municipal,Tender:SCM-T-2025-26-010,"Notice: 15/2026 Tender:SCM-T-2025-26-010 MAINTENANCE, SERVICING AND REPAIR OF FLEET VEHICLES Start Date: 12/02/2025 08:00 End Date: 16/03/2026 12:00",12/02/2025,16/03/2026,Laingsburg Municipality,Request for Bid,Western Cape,Laingsburg,,,,,,,,,,,,http://laingsburg.gov.za,,Laingsburg
Municipal,Tender Notice,Download: Tender Notice,,,Laingsburg Municipality,Request for Bid,Western Cape,Laingsburg,,,,,,,,,,,,http://laingsburg.gov.za/sites/default/files/content_uploads/SCM-T-2025-26-010%20-%20Final%20Notice.pdf,,Laingsburg
Municipal,Tender:SCM-T-2025-26-009,Notice: 131/2025 Tender:SCM-T-2025-26-009 UPGRADING OF LAINGSBURG WASTEWATER TREATMENT WORKS: CIVIL ENGINEERING WORKS Start Date: 30/10/2025 08:00 End Date: 28/11/2025 12:00,30/10/2025,28/11/2025,Laingsburg Municipality,Request for Bid,Western Cape,Laingsburg,,,,,,,,,,,,http://laingsburg.gov.za,,Laingsburg
Municipal,Tender Notice,Download: Tender Notice,,,Laingsburg Municipality,Request for Bid,Western Cape,Laingsburg,,,,,,,,,,,,http://laingsburg.gov.za/sites/default/files/content_uploads/SCM-T-2025-26-009%20-%20Tender%20Notice.pdf,,Laingsburg
Municipal,,Download: Opening Results,,,Laingsburg Municipality,Request for Bid,Western Cape,Laingsburg,,,,,,,,,,,,http://laingsburg.gov.za/sites/default/files/content_uploads/SCM-T-2025-26-009%20-%20Tenders%20received.pdf,,Laingsburg
Municipal,Tender:SCM-T-2025-26-008,Notice: 127/2025 Tender:SCM-T-2025-26-008 CONSTRUCTION OF 20 HOUSES IN MATJIESFONTEIN Start Date: 14/10/2025 08:00 End Date: 14/11/2025 12:00,14/10/2025,14/11/2025,Laingsburg Municipality,Request for Bid,Western Cape,Laingsburg,,,,,,,,,,,,http://laingsburg.gov.za,,Laingsburg
Municipal,Tender Notice,Download: Tender Notice,,,Laingsburg Municipality,Request for Bid,Western Cape,Laingsburg,,,,,,,,,,,,http://laingsburg.gov.za/sites/default/files/content_uploads/SCM-T-2025-26-008%20-%20Final%20Tender%20Notice.pdf,,Laingsburg
Municipal,Tender: SCM-T-SCM-T-2025-26-007,Notice: 126/2025 Tender: SCM-T-SCM-T-2025-26-007 CONSTRUCTION HEALTH AND SAFETY SERVICES FOR A MULTl-YEAR PERIOD ENDING 30 JUNE 2028 Start Date: 14/10/2025 08:00 End Date: 14/11/2025 12:00,14/10/2025,14/11/2025,Laingsburg Municipality,Request for Bid,Western Cape,Laingsburg,,,,,,,,,,,,http://laingsburg.gov.za,,Laingsburg
Municipal,Tender Notice,Download: Tender Notice,,,Laingsburg Municipality,Request for Bid,Western Cape,Laingsburg,,,,,,,,,,,,http://laingsburg.gov.za/sites/default/files/content_uploads/SCM-T-2025-26-007%20-%20Final%20Tender%20Notice.pdf,,Laingsburg
Municipal,Tender: SCM-T-2025/26-005,"Notice: 104/2025 Tender: SCM-T-2025/26-005 MAINTENANCE, SERVICING AND REPAIR OF LAINGSBURG MUNICIPAL FLEET VEHICLES Start Date: 01/09/2025 08:00 End Date: 29/09/2025 12:00",01/09/2025,29/09/2025,Laingsburg Municipality,Request for Bid,Western Cape,Laingsburg,,,,,,,,,,,,http://laingsburg.gov.za,,Laingsburg
Municipal,Tender Notice,Download: Tender Notice,,,Laingsburg Municipality,Request for Bid,Western Cape,Laingsburg,,,,,,,,,,,,http://laingsburg.gov.za/sites/default/files/content_uploads/SCM-T-2025-26-005%20-%20Final%20Notice.pdf,,Laingsburg
Municipal,Tender: SCM-T-2025/26-004,Notice: 99/2025 Tender: SCM-T-2025/26-004 PROVISIN OF ELECTRICAL SERVICE ON AN AS-NEEDED BASIS Start Date: 12/08/2025 08:00 End Date: 29/08/2025 12:00,12/08/2025,29/08/2025,Laingsburg Municipality,Request for Bid,Western Cape,Laingsburg,,,,,,,,,,,,http://laingsburg.gov.za,,Laingsburg
