Category,Tender Number,Tender Description,Advertised,Closing,Organ Of State,Tender Type,Province,"Place where goods, works or services are required",Special Conditions,Contact Person,Email,Telephone number,FAX Number,Is there a briefing session?,Is it compulsory?,Briefing Date and Time,Briefing Venue,eSubmission,Two Envelope Submission,Source URL,Tender ID,Source
Municipal,Quality,Notices Notices Municipal Notices Vacancies Agendas for Council Meetings Water Quality Reports Procurement Tender Advertisements Quote Advertisements Proposal Advertisements,,,Langeberg Municipality,Request for Bid,Western Cape,Langeberg,,,,,,,,,,,,https://langeberg.gov.za/notices/procurement/tender-advertisements.html,,Langeberg
Municipal,Tender Advertisements,Procurement,,,Langeberg Municipality,Request for Bid,Western Cape,Langeberg,,,,,,,,,,,,https://langeberg.gov.za/notices/procurement/tender-advertisements.html,,Langeberg
Municipal,Tender Advertisements,Tender Advertisements,,,Langeberg Municipality,Request for Bid,Western Cape,Langeberg,,,,,,,,,,,,https://langeberg.gov.za/notices/procurement/tender-advertisements.html,,Langeberg
Municipal,TENDER-60/2025,"pdf TENDER-60/2025: SUPPLY AND DELIVERY OF MATERIAL FOR THE MAINTENANCE OF ROADS AND STORMWATER RELATED INFRASTRUCTURE, FOR A PERIOD OF THREE (3) YEARS Published on 13 February 2026 181 downloads View Tenders are hereby requested for the SUPPLY AND DELIVERY OF MATERIAL FOR THE MAINTENANCE OF ROADS AND STORMWATER RELATED INFRASTRUCTURE, FOR A PERIOD OF THREE (3) YEARS, as specified in the bid document. Completed Bids, in sealed envelopes, clearly marked “TENDER-60/2025: SUPPLY AND DELIVERY OF MAT",13/01/2026,13/01/2026,Langeberg Municipality,Request for Bid,Western Cape,Langeberg,,,,,,,,,,,,https://langeberg.gov.za/notices/procurement/tender-advertisements.html,,Langeberg
Municipal,TENDER-60/2025,"pdf TENDER-60/2025: SUPPLY AND DELIVERY OF MATERIAL FOR THE MAINTENANCE OF ROADS AND STORMWATER RELATED INFRASTRUCTURE, FOR A PERIOD OF THREE (3) YEARS",13/01/2026,13/01/2026,Langeberg Municipality,Request for Bid,Western Cape,Langeberg,,,,,,,,,,,,https://langeberg.gov.za/notices/procurement/tender-advertisements.html,,Langeberg
Municipal,TENDER-54/2025,"pdf TENDER-54/2025: DESIGN AND CONSTRUCTION OF SPLASH PAD AT IRIS STREET PARK, COGMANSKLOOF, ASHTON Published on 13 February 2026 108 downloads View Tenders are hereby requested for the DESIGN AND CONSTRUCTION OF SPLASH PAD AT IRIS STREET PARK, COGMANSKLOOF, ASHTON as specified in the bid document. Completed Bids, in sealed envelopes, clearly marked “TENDER-54/2025: DESIGN AND CONSTRUCTION OF SPLASH PAD AT IRIS STREET PARK, COGMANSKLOOF, ASHTON” should be placed in the tender box, at the Langebe",13/01/2026,13/01/2026,Langeberg Municipality,Request for Bid,Western Cape,Langeberg,,,,,,,,,,,,https://langeberg.gov.za/notices/procurement/tender-advertisements.html,,Langeberg
Municipal,TENDER-54/2025,"pdf TENDER-54/2025: DESIGN AND CONSTRUCTION OF SPLASH PAD AT IRIS STREET PARK, COGMANSKLOOF, ASHTON",13/01/2026,13/01/2026,Langeberg Municipality,Request for Bid,Western Cape,Langeberg,,,,,,,,,,,,https://langeberg.gov.za/notices/procurement/tender-advertisements.html,,Langeberg
Municipal,TENDER-01/2026,"pdf TENDER-01/2026: SUPPLY, DELIVERY AND INSTALLATION OF ODOUR CONTROL SANITISING SYSTEM, AT THE ASHTON MATERIAL RECOVERY FACILITY Published on 06 February 2026 144 downloads View Tenders are hereby requested for the SUPPLY, DELIVERY AND INSTALLATION OF ODOUR CONTROL SANITISING SYSTEM, AT THE ASHTON MATERIAL RECOVERY FACILITY as specified in the bid document. Completed Bids, in sealed envelopes, clearly marked “TENDER-01/2026: SUPPLY, DELIVERY AND INSTALLATION OF ODOUR CONTROL SANITISING SYSTEM,",06/01/2026,06/01/2026,Langeberg Municipality,Request for Bid,Western Cape,Langeberg,,,,,,,,,,,,https://langeberg.gov.za/notices/procurement/tender-advertisements.html,,Langeberg
Municipal,TENDER-01/2026,"pdf TENDER-01/2026: SUPPLY, DELIVERY AND INSTALLATION OF ODOUR CONTROL SANITISING SYSTEM, AT THE ASHTON MATERIAL RECOVERY FACILITY",06/01/2026,06/01/2026,Langeberg Municipality,Request for Bid,Western Cape,Langeberg,,,,,,,,,,,,https://langeberg.gov.za/notices/procurement/tender-advertisements.html,,Langeberg
Municipal,bid document,www.langeberg.gov.za,,06/01/2026,Langeberg Municipality,Request for Bid,Western Cape,Langeberg,,,,,,,,,,,,https://langeberg.gov.za/notices/procurement/tender-advertisements.html,,Langeberg
