Category,Tender Number,Tender Description,Advertised,Closing,Organ Of State,Tender Type,Province,"Place where goods, works or services are required",Special Conditions,Contact Person,Email,Telephone number,FAX Number,Is there a briefing session?,Is it compulsory?,Briefing Date and Time,Briefing Venue,eSubmission,Two Envelope Submission,Source URL,Tender ID,Source
Municipal,MMM/BID 802: 2025/2026,RENTAL OF MOBILE TOILETS FOR MANGAUNG METROPOLITAN MUNICIPALITY.,23/01/2026,23/02/2026,Mangaung Metropolitan Municipality,Request for Bid,Free State,Bloemfontein,,,,,,,,11:30am,,,,https://www.mangaung.co.za/2026/01/23/list-of-available-bids-204/,,Mangaung
Municipal,MMM/BID 803: 2025/2026,"SUPPLY, DELIVERY AND INSTALLATION OF SHACKS AND EMERGENCY RELIEF GOODS (BLANKETS, MATTRESSES) FOR MANGAUNG METROPOLITAN MUNICIPALITY.",23/01/2026,24/02/2026,Mangaung Metropolitan Municipality,Request for Bid,Free State,Bloemfontein,,,,,,,,11:30am,,,,https://www.mangaung.co.za/2026/01/23/list-of-available-bids-204/,,Mangaung
Municipal,MMM/BID: 804: 2025/2026,"SUPPLY, DELIVERY, INSTALLATION AND MAINTENANCE OF A WALKTHROUGH METAL DETECTOR SYSTEM AND X RAY LUGGAGE DETECTOR MACHINE.",23/01/2026,25/02/2026,Mangaung Metropolitan Municipality,Request for Bid,Free State,Bloemfontein,,,,,,,,11:30am,,,,https://www.mangaung.co.za/2026/01/23/list-of-available-bids-204/,,Mangaung
Municipal,MMM/BID: 806: 2025/2026,REGIONAL PARK DEVELOPMENT -BATHO.,23/01/2026,26/02/2026,Mangaung Metropolitan Municipality,Request for Bid,Free State,Bloemfontein,,,,,,,,11:30am,,,,https://www.mangaung.co.za/2026/01/23/list-of-available-bids-204/,,Mangaung
Municipal,MMM/BID: 765 (AA): 2025/2026,LEASE AGREEMENT TO OPERATE THE EDGE RESTURANT.,23/01/2026,27/02/2026,Mangaung Metropolitan Municipality,Request for Bid,Free State,Bloemfontein,,,,,,,,11:30am,,,,https://www.mangaung.co.za/2026/01/23/list-of-available-bids-204/,,Mangaung
Municipal,MMM/BID 710(AA): 2025/2026,"SUPPLY AND DELIVERY OF SPECIALISED STATIONERY, ENVELOPING AND SORTING OF MONTHLY MUNICIPAL ACCOUNTS; DISCONNECTION NOTICES AND ANY OTHER SPECIALISED STATIONERY AS THE NEED ARISES. (READVERTISEMENT)",06/11/2025,09/12/2025,Mangaung Metropolitan Municipality,Request for Bid,Free State,Bloemfontein,,,,,,,,11:30am,,,,https://www.mangaung.co.za/2025/11/06/list-of-available-bids-203/,,Mangaung
Municipal,MMM/BID 730 (01 A): 2025/2026,APPOINTMENT OF LEGAL PRACTITIONERS (AUGMENTATION) – Bidders already appointed on this project are not eligible to bid again. PREVIOUS STATEMENT Bidders already appointed on this project are not eligible to bid again. CURRENT STATEMENT Bidders already appointed on this project for specific fields are not eligible to bid for those specific fields again.,06/11/2025,08/12/2025,Mangaung Metropolitan Municipality,Request for Bid,Free State,Bloemfontein,,,,,,,,11:30am,,,,https://www.mangaung.co.za/2025/11/06/list-of-available-bids-203/,,Mangaung
Municipal,MMM/BID: 799: 2025/2026,UPGRADING OF A PARK NEXT TO NEW BOTSHABELO MALL,06/11/2025,09/12/2025,Mangaung Metropolitan Municipality,Request for Bid,Free State,Bloemfontein,,,,,,,,11:30am,,,,https://www.mangaung.co.za/2025/11/06/list-of-available-bids-203/,,Mangaung
Municipal,MMM/BID: 800: 2025/2026,APPOINTMENT OF AN EXPERIENCED FACILITIES MANAGEMENT PROFESSIONAL SERVICE PROVIDER TO ASSIST MUNICIPALITY WITH THE BUILDING CONDITION ASSESSMENT OF MUNICIPAL FACILITIES.,06/11/2025,10/12/2025,Mangaung Metropolitan Municipality,Request for Bid,Free State,Bloemfontein,,,,,,,,11:30am,,,,https://www.mangaung.co.za/2025/11/06/list-of-available-bids-203/,,Mangaung
Municipal,MMM/BID: 801: 2025/2026,REPAIRS TO THE SUSPENDED CONCRETE STRUCTURES AT THE STADIUM,06/11/2025,11/12/2025,Mangaung Metropolitan Municipality,Request for Bid,Free State,Bloemfontein,,,,,,,,11:30am,,,,https://www.mangaung.co.za/2025/11/06/list-of-available-bids-203/,,Mangaung
