Category,Tender Number,Tender Description,Advertised,Closing,Organ Of State,Tender Type,Province,"Place where goods, works or services are required",Special Conditions,Contact Person,Email,Telephone number,FAX Number,Is there a briefing session?,Is it compulsory?,Briefing Date and Time,Briefing Venue,eSubmission,Two Envelope Submission,Source URL,Tender ID,Source
Municipal,MSL-1,1km paved roads and stormwater - theunissen,,,Masilonyana Local Municipality,Request for Bid,Free State,"Theunissen, Winburg, Brandfort",,,,,,,,,,,,https://masilonyana.co.za/uploads/tenders/1km-theunissen.pdf,,Masilonyana
Municipal,MSL-2,1km paved roads and stormwater - winburg,,,Masilonyana Local Municipality,Request for Bid,Free State,"Theunissen, Winburg, Brandfort",,,,,,,,,,,,https://masilonyana.co.za/uploads/tenders/1km-winburg.pdf,,Masilonyana
Municipal,MSL-3,OFFICE FURNITURE,,,Masilonyana Local Municipality,Request for Bid,Free State,"Theunissen, Winburg, Brandfort",,,,,,,,,,,,https://masilonyana.co.za/uploads/tenders/ADVERT%20-%20OFFICE%20FURNITURE%20%282%29.pdf,,Masilonyana
Municipal,MSL-4,ADVERT SECURITY,,,Masilonyana Local Municipality,Request for Bid,Free State,"Theunissen, Winburg, Brandfort",,,,,,,,,,,,https://masilonyana.co.za/uploads/tenders/ADVERT-SECURITY.pdf,,Masilonyana
Municipal,MSL-5,SUPPLY AND DELIVERY OF CLEANING MATERIAL,,,Masilonyana Local Municipality,Request for Bid,Free State,"Theunissen, Winburg, Brandfort",,,,,,,,,,,,https://masilonyana.co.za/uploads/tenders/ADVERT-SUPPLY-AND-DELIVERY-OF-CLEANING-MATERIAL.pdf,,Masilonyana
Municipal,MSL-6,Roads and Stormwater 1,,,Masilonyana Local Municipality,Request for Bid,Free State,"Theunissen, Winburg, Brandfort",,,,,,,,,,,,https://masilonyana.co.za/uploads/tenders/Advert-Roads-and-Stormwater-1.pdf,,Masilonyana
Municipal,MSL-7,Theunissen 1,,,Masilonyana Local Municipality,Request for Bid,Free State,"Theunissen, Winburg, Brandfort",,,,,,,,,,,,https://masilonyana.co.za/uploads/tenders/Advert-Theunissen-1.pdf,,Masilonyana
Municipal,MSL-8,Tyres and Batteries,,,Masilonyana Local Municipality,Request for Bid,Free State,"Theunissen, Winburg, Brandfort",,,,,,,,,,,,https://masilonyana.co.za/uploads/tenders/Advert-Tyres-and-Batteries.pdf,,Masilonyana
Municipal,MSL-9,Water and Sanitation 1,,,Masilonyana Local Municipality,Request for Bid,Free State,"Theunissen, Winburg, Brandfort",,,,,,,,,,,,https://masilonyana.co.za/uploads/tenders/Advert-Water-and-Sanitation-1.pdf,,Masilonyana
Municipal,MSL-10,Advert Winburg 1,,,Masilonyana Local Municipality,Request for Bid,Free State,"Theunissen, Winburg, Brandfort",,,,,,,,,,,,https://masilonyana.co.za/uploads/tenders/Advert-Winburg-1.pdf,,Masilonyana
Municipal,MSL-11,panel roads and stormwater,,,Masilonyana Local Municipality,Request for Bid,Free State,"Theunissen, Winburg, Brandfort",,,,,,,,,,,,https://masilonyana.co.za/uploads/tenders/Advert-panel-roads-and-stormwater.pdf,,Masilonyana
