Category,Tender Number,Tender Description,Advertised,Closing,Organ Of State,Tender Type,Province,"Place where goods, works or services are required",Special Conditions,Contact Person,Email,Telephone number,FAX Number,Is there a briefing session?,Is it compulsory?,Briefing Date and Time,Briefing Venue,eSubmission,Two Envelope Submission,Source URL,Tender ID,Source
Municipal,MBH-7452,Panel of Supply and Delivery of Protective Clothing for a period of two (02) years,31/10/2019,,Mbhashe Local Municipality,Request for Bid,Eastern Cape,"Dutywa, Willowvale, Elliotdale",,,,,,,,,,,,https://www.mbhashemun.gov.za/panel-of-supply-and-delivery-of-protective-clothing-for-a-period-of-three-03-years/,7452,Mbhashe
Municipal,MBH-4437,CONSTRUCTION OF WARD 13 AND WARD 25 SPORT FACILITIES,31/08/2017,,Mbhashe Local Municipality,Request for Bid,Eastern Cape,"Dutywa, Willowvale, Elliotdale",,,,,,,,,,,,https://www.mbhashemun.gov.za/re-advert-for-the-construction-of-xuba-phathilizwe-community-hall/,4437,Mbhashe
Municipal,MBH-3198,External Advertisement SPU Unit Coordinator Dutywa and Willowvale,31/08/2016,,Mbhashe Local Municipality,Request for Bid,Eastern Cape,"Dutywa, Willowvale, Elliotdale",,,,,,,,,,,,https://www.mbhashemun.gov.za/external-advertisement-spu-unit-coordinator-dutywa-and-willowvale/,3198,Mbhashe
Municipal,MBH-4435,PANEL OF PROFESSIONAL ENGINEERS,31/07/2017,,Mbhashe Local Municipality,Request for Bid,Eastern Cape,"Dutywa, Willowvale, Elliotdale",,,,,,,,,,,,https://www.mbhashemun.gov.za/panel-of-professional-engineers/,4435,Mbhashe
Municipal,MBH-4433,PANEL FOR THE INTERNAL AUDITORS,31/07/2017,,Mbhashe Local Municipality,Request for Bid,Eastern Cape,"Dutywa, Willowvale, Elliotdale",,,,,,,,,,,,https://www.mbhashemun.gov.za/panel-for-the-internal-auditors/,4433,Mbhashe
Municipal,MBH-4427,SUPPLY AND INSTALLATION OF THREE (03) HIGH MAST LIGHTS,31/07/2017,,Mbhashe Local Municipality,Request for Bid,Eastern Cape,"Dutywa, Willowvale, Elliotdale",,,,,,,,,,,,https://www.mbhashemun.gov.za/supply-and-installation-of-three-03-high-mast-lights/,4427,Mbhashe
Municipal,MBH-4423,CONSTRUCTION OF CARPORTS,31/07/2017,,Mbhashe Local Municipality,Request for Bid,Eastern Cape,"Dutywa, Willowvale, Elliotdale",,,,,,,,,,,,https://www.mbhashemun.gov.za/construction-of-carports/,4423,Mbhashe
Municipal,MBH-17279,2025/2026 DRAFT SERVICE DELIVERY AND BUDGET IMPLEMENTATION PLAN,31/03/2025,,Mbhashe Local Municipality,Request for Bid,Eastern Cape,"Dutywa, Willowvale, Elliotdale",,,,,,,,,,,,https://www.mbhashemun.gov.za/2025-2026-draft-service-delivery-and-budget-implementation-plan/,17279,Mbhashe
Municipal,MBH-17274,GRANTING OF AMNESTY FOR SUBMISSION OF BUILDING PLANS BY PROPERTY OWNERS OF MBASHE MUNICIPAL AREA,31/03/2025,,Mbhashe Local Municipality,Request for Bid,Eastern Cape,"Dutywa, Willowvale, Elliotdale",,,,,,,,,,,,https://www.mbhashemun.gov.za/granting-of-amnesty-for-submission-of-building-plans-by-property-owners-of-mbashe-municipal-area/,17274,Mbhashe
Municipal,MBH-17267,DRAFT REVIEWED 2025-2026 INTEGRATED DEVELOPMENT PLAN (IDP) AND BUDGET ROADSHOWS,31/03/2025,,Mbhashe Local Municipality,Request for Bid,Eastern Cape,"Dutywa, Willowvale, Elliotdale",,,,,,,,,,,,https://www.mbhashemun.gov.za/draft-reviewed-2025-2026-integrated-development-plan-idp-and-budget-roadshows/,17267,Mbhashe
Municipal,MBH-7374,Supply and Delivery of Maize Seeds for a period of two (02) years,30/09/2019,,Mbhashe Local Municipality,Request for Bid,Eastern Cape,"Dutywa, Willowvale, Elliotdale",,,,,,,,,,,,https://www.mbhashemun.gov.za/supply-and-delivery-of-maize-seeds-for-a-period-of-two-02-years/,7374,Mbhashe
Municipal,MBH-17451,Extension Of Validity Period On Granting Of Amnesty For Submission Of Building Plans,30/06/2025,,Mbhashe Local Municipality,Request for Bid,Eastern Cape,"Dutywa, Willowvale, Elliotdale",,,,,,,,,,,,https://www.mbhashemun.gov.za/extension-of-validity-period-on-granting-of-amnesty-for-submission-of-building-plans-under-media-public-notices/,17451,Mbhashe
Municipal,MBH-7102,"Provision of Auction Services, Supply and Installation of Fibre & Datapoints",30/05/2019,,Mbhashe Local Municipality,Request for Bid,Eastern Cape,"Dutywa, Willowvale, Elliotdale",,,,,,,,,,,,https://www.mbhashemun.gov.za/provision-of-auction-services-supply-and-installation-of-fibre-datapoints/,7102,Mbhashe
