Category,Tender Number,Tender Description,Advertised,Closing,Organ Of State,Tender Type,Province,"Place where goods, works or services are required",Special Conditions,Contact Person,Email,Telephone number,FAX Number,Is there a briefing session?,Is it compulsory?,Briefing Date and Time,Briefing Venue,eSubmission,Two Envelope Submission,Source URL,Tender ID,Source
Municipal,SCM/MOH/22/RFQ/2026,"MAINTENANCE OF ONE 11KV, RMU TRANSFORMER",18/02/2026,25/02/2026,Mohokare Local Municipality,Request for Bid,Free State,"Zastron, Rouxville, Smithfield",,,,,,,,,,,,https://mohokare.gov.za/documents/tenders/feb2026/SCM%20MOH%2022%202026.PDF,,Mohokare
Municipal,SCM/MOH/21/RFQ/2026,Supply and Delivery of CALIBRATION SOLUTIONS,18/02/2026,25/02/2026,Mohokare Local Municipality,Request for Bid,Free State,"Zastron, Rouxville, Smithfield",,,,,,,,,,,,https://mohokare.gov.za/documents/tenders/feb2026/SCM%20MOH%2021%202026.pdf,,Mohokare
Municipal,SCM/MOH/20/RFQ/2026,"Supply and Delivery of 11KV, 100KVA TRANSFORMER",18/02/2026,25/02/2026,Mohokare Local Municipality,Request for Bid,Free State,"Zastron, Rouxville, Smithfield",,,,,,,,,,,,https://mohokare.gov.za/documents/tenders/feb2026/SCM%20MOH%2020%202026.pdf,,Mohokare
Municipal,SCM/MOH/19/RFQ/2026,DATA CLEANSING,18/02/2026,27/02/2026,Mohokare Local Municipality,Request for Bid,Free State,"Zastron, Rouxville, Smithfield",,,,,,,,,,,,https://mohokare.gov.za/documents/tenders/feb2026/SCM-MOH-19-RFQ-2026.pdf,,Mohokare
Municipal,SCM/MOH/18/RFQ/2026,Re-Advert: Supply and Delivery of a VARIABLE FREQUENCY DRIVE,16/02/2026,24/02/2026,Mohokare Local Municipality,Request for Bid,Free State,"Zastron, Rouxville, Smithfield",,,,,,,,,,,,https://mohokare.gov.za/documents/tenders/feb2026/SCM-MOH-18-RFQ-2026.PDF,,Mohokare
Municipal,SCM/MOH/17/RFQ/2026,Assistance with Compilation of DRAFT AND FINAL BUDGET AND ANALYTICAL REVIEW- 2026/2027,16/02/2026,24/02/2026,Mohokare Local Municipality,Request for Bid,Free State,"Zastron, Rouxville, Smithfield",,,,,,,,,,,,https://mohokare.gov.za/documents/tenders/feb2026/SCM-MOH-17-RFQ-2026.pdf,,Mohokare
Municipal,SCM/MOH/16/RFQ/2026,CLEANING MATERIAL,16/02/2026,24/02/2026,Mohokare Local Municipality,Request for Bid,Free State,"Zastron, Rouxville, Smithfield",,,,,,,,,,,,https://mohokare.gov.za/documents/tenders/feb2026/SCM-MOH-16-RFQ-2026.pdf,,Mohokare
Municipal,SCM/MOH/15/RFQ/2026,Assistance with Compilation of ADJUSTMENT BUDGET AND ANALYTICAL REVIEW- 2026/2027,16/02/2026,24/02/2026,Mohokare Local Municipality,Request for Bid,Free State,"Zastron, Rouxville, Smithfield",,,,,,,,,,,,https://mohokare.gov.za/documents/tenders/feb2026/SCM-MOH-15-RFQ-2026.pdf,,Mohokare
Municipal,SCM/MOH/14/RFQ/2026,RENOVATION OF TOWNHALL OFFICES,16/02/2026,27/02/2026,Mohokare Local Municipality,Request for Bid,Free State,"Zastron, Rouxville, Smithfield",,,,,,,,,,,,https://mohokare.gov.za/documents/tenders/feb2026/SCM-MOH-14-RFQ-2026.pdf,,Mohokare
Municipal,SCM/MOH/13/RFQ/2026,Supply and Delivery of MATERIAL FOR ROAD MAINTENANCE.,16/02/2026,24/02/2026,Mohokare Local Municipality,Request for Bid,Free State,"Zastron, Rouxville, Smithfield",,,,,,,,,,,,https://mohokare.gov.za/documents/tenders/feb2026/SCM-MOH-13-RFQ-2026.pdf,,Mohokare
