Category,Tender Number,Tender Description,Advertised,Closing,Organ Of State,Tender Type,Province,"Place where goods, works or services are required",Special Conditions,Contact Person,Email,Telephone number,FAX Number,Is there a briefing session?,Is it compulsory?,Briefing Date and Time,Briefing Venue,eSubmission,Two Envelope Submission,Source URL,Tender ID,Source
Municipal,2/2/001/2025-26,Re-Advertisement: Appointment of a Service Provider For Upgrade and Service Of Head Office Server Room Infrastructure.,,11/11/2025,Moqhaka Local Municipality,Request for Bid,Free State,"Kroonstad, Steynsrus, Viljoenskroon",,Mr. T Lekhonthula,tsiestil@moqhaka.gov.za,056 216 9184,,,,,,,,https://moqhaka.gov.za/open-tenders/,,Moqhaka
Municipal,3/2/001/2025-26,Re-Advertisement: Appointment of A Service Provider for Tracking Devices And Fleet Management System To Monitor Municipal Vehicles For A Period Of Three Years As And When Needed.,,11/11/2025,Moqhaka Local Municipality,Request for Bid,Free State,"Kroonstad, Steynsrus, Viljoenskroon",,Ms. T Mbeloane,thembekam@moqhaka.gov.za,056 216 9187,,,,,,,,https://moqhaka.gov.za/open-tenders/,,Moqhaka
Municipal,3/2/002/2025-26,Re-Advertisement: Appointment of a Service Provider to Supply and Deliver Fuel (Petrol & Diesel) Within Moqhaka for Three (03) Year Period As & When Required.,,11/11/2025,Moqhaka Local Municipality,Request for Bid,Free State,"Kroonstad, Steynsrus, Viljoenskroon",,Ms. R Matsoso,rorisangm@moqhaka.gov.za,056 216 9187,,,,,,,,https://moqhaka.gov.za/open-tenders/,,Moqhaka
Municipal,3/2/003/2025-26,Maokeng (Phomolong): Replacement of 17.94km AC Water Pipes and Installation of 2 Booster Pump In Phomolong,,20/11/2025,Moqhaka Local Municipality,Request for Bid,Free State,"Kroonstad, Steynsrus, Viljoenskroon",,Ms. K Setlhare,kegomoditswes@moqhaka.gov.za,056 216 9185,,,,,,,,https://moqhaka.gov.za/open-tenders/,,Moqhaka
Municipal,2/2/8/2024-25,Re-Advertisement: Appointment of a Service Provider For Upgrade and Service Of Head Office Server Room Infrastructure,,,Moqhaka Local Municipality,Request for Bid,Free State,"Kroonstad, Steynsrus, Viljoenskroon",,Ms. K Setlhare,kegomoditswes@moqhaka.gov.za,056 216 9184,,,,,,,,https://www.moqhaka.gov.za/wp-content/uploads/2025/05/Tender-Invitation-14-May-2025-Addendum-Final-004.pdf,,Moqhaka
Municipal,3/2/7/2024-25,"Panel of Service Providers for Supply, Delivery of Water Treatment Chemicals, Disinfectant and Repairs or Service of Dosing System For Three (3) Towns Within the Moqhaka Local Municipality For the Period of Three (3) Years",,,Moqhaka Local Municipality,Request for Bid,Free State,"Kroonstad, Steynsrus, Viljoenskroon",,Ms. P Liphoko,palesal@moqhaka.gov.za,056 216 9185,,,,,,,,https://www.moqhaka.gov.za/wp-content/uploads/2025/05/Tender-Invitation-14-May-2025-Addendum-Final-004.pdf,,Moqhaka
Municipal,3/2/8/2024-25,Re-Advertisement: Panel for Supply and Delivery of Water & Sewer Plumbing Materials and Tools for a Period of Three Years,,,Moqhaka Local Municipality,Request for Bid,Free State,"Kroonstad, Steynsrus, Viljoenskroon",,Ms. R Matsoso,rorisangm@moqhaka.gov.za,056 216 9187,,,,,,,,https://www.moqhaka.gov.za/wp-content/uploads/2025/05/Tender-Invitation-14-May-2025-Addendum-Final-004.pdf,,Moqhaka
Municipal,3/2/9/2024-25,Re-Advertisement: Upgrading of Sports Facility at Phomolong Sports Facility – Phase 2 & 3,,,Moqhaka Local Municipality,Request for Bid,Free State,"Kroonstad, Steynsrus, Viljoenskroon",,Ms. P Liphoko,palesal@moqhaka.gov.za,056 216 9185,,,,,,,,https://www.moqhaka.gov.za/wp-content/uploads/2025/05/Tender-Invitation-14-May-2025-Addendum-Final-004.pdf,,Moqhaka
Municipal,3/2/10/2024-25,Re-Advertisement: Viljoenskroon / Rammolutsi Upgrading of Raw Water Pumps And Construction Of Recovery Dams,,,Moqhaka Local Municipality,Request for Bid,Free State,"Kroonstad, Steynsrus, Viljoenskroon",,Ms. J Sefatsa,janes@moqhaka.gov.za,056 216 9186,,,,,,,,https://www.moqhaka.gov.za/wp-content/uploads/2025/05/Tender-Invitation-14-May-2025-Addendum-Final-004.pdf,,Moqhaka
Municipal,1/2/2/2024-25,Services of an Auctioneer for a Period of Three Years,,,Moqhaka Local Municipality,Request for Bid,Free State,"Kroonstad, Steynsrus, Viljoenskroon",,Ms. J Sefatsa,janes@moqhaka.gov.za,056 216 9186,,,,,,,,https://www.moqhaka.gov.za/wp-content/uploads/2025/05/Tender-Invitation-30-April-2025-FINAL-v4.pdf,,Moqhaka
Municipal,2/2/6/2024-25,Panel for The Provision of Legal Services (Including Labour Law Matters) to Council for the Period Of Three Years,,,Moqhaka Local Municipality,Request for Bid,Free State,"Kroonstad, Steynsrus, Viljoenskroon",,Ms. P Liphoko,palesal@moqhaka.gov.za,056 216 9185,,,,,,,,https://www.moqhaka.gov.za/wp-content/uploads/2025/05/Tender-Invitation-30-April-2025-FINAL-v4.pdf,,Moqhaka
Municipal,2/2/7/2024-25,"Re-Advertisement: Appointment of a Service Provider for Supply, Delivery and Installation of Antivirus Software for a Period Of Three Years",,,Moqhaka Local Municipality,Request for Bid,Free State,"Kroonstad, Steynsrus, Viljoenskroon",,Ms. T Mbeloane,thembekam@moqhaka.gov.za,056 216 9187,,,,,,,,https://www.moqhaka.gov.za/wp-content/uploads/2025/05/Tender-Invitation-30-April-2025-FINAL-v4.pdf,,Moqhaka
Municipal,3/2/6/2024-25,Appointment of a Service Provider to Supply and Deliver Fuel (Petrol & Diesel) Within Moqhaka for Three (03) Year Period As & When Required,,,Moqhaka Local Municipality,Request for Bid,Free State,"Kroonstad, Steynsrus, Viljoenskroon",,Ms. K Setlhare,kegomoditswes@moqhaka.gov.za,056 216 9184,,,,,,,,https://www.moqhaka.gov.za/wp-content/uploads/2025/05/Tender-Invitation-30-April-2025-FINAL-v4.pdf,,Moqhaka
Municipal,4/2/2/2024-25,"Re-advertisement: Installation Of CCCTV Cameras, Upgrade of Alarms, Response and Maintenance Of Electronic Security System",,,Moqhaka Local Municipality,Request for Bid,Free State,"Kroonstad, Steynsrus, Viljoenskroon",,Ms. R Matsoso,rorisangm@moqhaka.gov.za,056 216 9187,,,,,,,,https://www.moqhaka.gov.za/wp-content/uploads/2025/05/Tender-Invitation-30-April-2025-FINAL-v4.pdf,,Moqhaka
Municipal,2/2/3/2023-24,Appointment of a Service Provider for Upgrade and Service of Head Office Server Room Infrastructure,,,Moqhaka Local Municipality,Request for Bid,Free State,"Kroonstad, Steynsrus, Viljoenskroon",,Ms. S Tsekeli,selloanet@moqhaka.gov.za,056 216 9208,,,,,,,,http://www.moqhaka.gov.za/wp-content/uploads/2024/06/Tender-Invitation-12-June-2024-v2.pdf,,Moqhaka
Municipal,2/2/4/2023-24,"Appointment of a Service Provider for Provision of Internet Services, Bulk SMS, and Web Hosting for a Period of Three (03) YearsTender Document Amount: Non-Refundable Fee: R 2 000Evaluation Criteria: 80/20Preferential Point System: Price = 80, Specific Goals = 20, and Locality = 10, Youth Ownership = 10CIDB Grading: N/ACompulsory Briefing Session:",,17/07/2024,Moqhaka Local Municipality,Request for Bid,Free State,"Kroonstad, Steynsrus, Viljoenskroon",,Mr. K Moroke,karabom@moqhaka.gov.za,056 216 9205,,,,,,,,http://www.moqhaka.gov.za/wp-content/uploads/2024/06/Tender-Invitation-12-June-2024-v2.pdf,,Moqhaka
Municipal,3/2/19/2023-24,"Upgrading of Sports Facility at Phomolong Sports Facility – Phase 2 & 3Tender Document Amount: Non-Refundable Fee: R 2 000Evaluation Criteria: 80/20Preferential Point System: Price = 80, Specific Goals = 20, and Locality = 10, Youth Ownership = 10CIDB Grading: 3CE and aboveCompulsory Briefing Session: Wednesday 19 June 2024 @10:00-11:00 (Allen Raut",,03/07/2024,Moqhaka Local Municipality,Request for Bid,Free State,"Kroonstad, Steynsrus, Viljoenskroon",,Mr. O Garegae,moqhakapmu@gmail.com,056 216 9139,,,,,,,,http://www.moqhaka.gov.za/wp-content/uploads/2024/06/Tender-Invitation-12-June-2024-v2.pdf,,Moqhaka
Municipal,3/2/20/2023-24,Maokeng (Constantia): Upgrading of the Sewer Pump Station,,03/07/2024,Moqhaka Local Municipality,Request for Bid,Free State,"Kroonstad, Steynsrus, Viljoenskroon",,Ms. S Modise,moqhakapmu@gmail.com,056 216 9139,,,,,,,,http://www.moqhaka.gov.za/wp-content/uploads/2024/06/Tender-Invitation-12-June-2024-v2.pdf,,Moqhaka
Municipal,3/2/21/2023-24,Maokeng (Constantia): Construction of 0.51KM Paved Road and Storm Water at Messi Street,,03/07/2024,Moqhaka Local Municipality,Request for Bid,Free State,"Kroonstad, Steynsrus, Viljoenskroon",,Ms. S Modise,moqhakapmu@gmail.com,056 216 9139,,,,,,,,http://www.moqhaka.gov.za/wp-content/uploads/2024/06/Tender-Invitation-12-June-2024-v2.pdf,,Moqhaka
Municipal,3/2/22/2023-24,"Panel of Contractors for Supply and Delivery of Water Meters and Plumbing Supplies for a Period of Three Years on As and When BasisTender Document Amount: Non-Refundable Fee: R 2 000Evaluation Criteria: 80/20Preferential Point System: Price = 80, Specific Goals = 20, and Locality = 10, Youth Ownership = 10CIDB Grading: N/ACompulsory Briefing Sessio",,17/07/2024,Moqhaka Local Municipality,Request for Bid,Free State,"Kroonstad, Steynsrus, Viljoenskroon",,Ms. L Ngobeni,leraton@moqhaka.gov.za,056 216 9139,,,,,,,,http://www.moqhaka.gov.za/wp-content/uploads/2024/06/Tender-Invitation-12-June-2024-v2.pdf,,Moqhaka
Municipal,3/2/23/2023-24,"Panel for Supply, Repair and Maintenance on Faulty Public Lights and Equipment for a Period of Three Years As and When Required",,18/07/2024,Moqhaka Local Municipality,Request for Bid,Free State,"Kroonstad, Steynsrus, Viljoenskroon",,Mr. LE Greef,louis@moqhaka.gov.za,056 216 9287,,,,,,,,http://www.moqhaka.gov.za/wp-content/uploads/2024/06/Tender-Invitation-12-June-2024-v2.pdf,,Moqhaka
Municipal,3/2/24/2023-24,"Panel for Supply, Repair and Maintenance on Faulty High Voltage Cables and Equipment for a Period of Three Years As and When Required",,18/07/2024,Moqhaka Local Municipality,Request for Bid,Free State,"Kroonstad, Steynsrus, Viljoenskroon",,Mr. LE Greef,louis@moqhaka.gov.za,056 216 9287,,,,,,,,http://www.moqhaka.gov.za/wp-content/uploads/2024/06/Tender-Invitation-12-June-2024-v2.pdf,,Moqhaka
Municipal,3/2/25/2023-24,"Panel for Supply, Repair and Maintenance on High voltage (66kV) Equipment for a Period of Three Yeas As and when Required",,18/07/2024,Moqhaka Local Municipality,Request for Bid,Free State,"Kroonstad, Steynsrus, Viljoenskroon",,Mr. LE Greef,louis@moqhaka.gov.za,056 216 9287,,,,,,,,http://www.moqhaka.gov.za/wp-content/uploads/2024/06/Tender-Invitation-12-June-2024-v2.pdf,,Moqhaka
Municipal,3/2/26/2023-24,"Panel for Supply, Repair and Maintenance of Medium Voltage Electrical Equipment for a Period of Three Yeas As and when Required",,18/07/2024,Moqhaka Local Municipality,Request for Bid,Free State,"Kroonstad, Steynsrus, Viljoenskroon",,Mr. LE Greef,louis@moqhaka.gov.za,056 216 9287,,,,,,,,http://www.moqhaka.gov.za/wp-content/uploads/2024/06/Tender-Invitation-12-June-2024-v2.pdf,,Moqhaka
