Category,Tender Number,Tender Description,Advertised,Closing,Organ Of State,Tender Type,Province,"Place where goods, works or services are required",Special Conditions,Contact Person,Email,Telephone number,FAX Number,Is there a briefing session?,Is it compulsory?,Briefing Date and Time,Briefing Venue,eSubmission,Two Envelope Submission,Source URL,Tender ID,Source
Municipal,ADM-123,SUPPLY AND DELIVERY OF A LAPTOP.,,,Amathole District Municipality,Request for Bid,Eastern Cape,"East London, King William's Town, Mdantsane",,Ms N. Dabi,,043 701 4009,,,,,,,,https://amathole.co.za/index.php/procurement/current-tenders/123-supply-and-delivery-of-a-laptop-2,,Amathole
Municipal,ADM-122,TENDER NOTICE : RABULA WATER SUPPLY EXTENSIONS,,,Amathole District Municipality,Request for Bid,Eastern Cape,"East London, King William's Town, Mdantsane",,Project Manager Ms. Pumeza Sibeko,pumezas@amathole.gov.za,043 703 5836,,,,,,,,https://amathole.co.za/index.php/procurement/current-tenders/122-tender-notice-rabula-water-supply-extensions,,Amathole
Municipal,ADM-121,PROJECT NAME: APPOINTMENT OF A SPECIALISED PROFESSIONAL SERVICE PROVIDER FOR THE REVIEW OF THE DISTRICT INTERGRATED TRANSPORT PLAN (DITP) IN THE AMATHOLE DISTRICT MUNICIPALITY,,,Amathole District Municipality,Request for Bid,Eastern Cape,"East London, King William's Town, Mdantsane",,Ms Y. Gila at 078 372 2805,,078 372 2805,,,,,,,,https://amathole.co.za/index.php/procurement/current-tenders/121-project-name-appointment-of-a-specialised-professional-service-provider-for-the-review-of-the-district-intergrated-transport-plan-ditp-in-the-amathole-district-municipality,,Amathole
Municipal,ADM-120,NOTICE FOR VARIOUS TENDERS,,,Amathole District Municipality,Request for Bid,Eastern Cape,"East London, King William's Town, Mdantsane",,,,,,,,,,,,https://amathole.co.za/index.php/procurement/current-tenders/120-notice-for-various-tenders,,Amathole
Municipal,ADM-119,TERM TENDER FOR THE SUPPLY AND DELIVERY OF FIRE FIGHTING EQUIPMENT FOR A PERIOD OF THREE YEARS,,,Amathole District Municipality,Request for Bid,Eastern Cape,"East London, King William's Town, Mdantsane",,"Mr S Faltein, on 078 034 6401/ Email ShaunF@amathole.gov.za",ShaunF@amathole.gov.za,078 034 6401,,,,,,,,https://amathole.co.za/index.php/procurement/current-tenders/119-term-tender-for-the-supply-and-delivery-of-fire-fighting-equipment-for-a-period-of-three-years,,Amathole
Municipal,ADM-117,SUPPLY AND DELIVERY OF TWENTY FOUR HP DESKTOP COMPUTERS,,,Amathole District Municipality,Request for Bid,Eastern Cape,"East London, King William's Town, Mdantsane",,"Ms N. Dabi, 043 701 4009/ 082 419 0611",,043 701 4009,,,,,,,,https://amathole.co.za/index.php/procurement/current-tenders/117-supply-and-delivery-of-twenty-four-hp-desktop-computers,,Amathole
Municipal,ADM-95,ESTABLISHMENT OF A PANEL OF SERVICE PROVIDERS FOR THE SUPPLY AND DELIVERY OF ACER COMPUTER EQUIPMENT FOR A PERIOD OF 36 MONTHS (RE-ADVERTISEMENT),,,Amathole District Municipality,Request for Bid,Eastern Cape,"East London, King William's Town, Mdantsane",,Mr L. Mene,,043 783 2213,,,,,,,,https://amathole.co.za/index.php/procurement/current-tenders/95-establishment-of-a-panel-of-service-providers-for-the-supply-and-delivery-of-acer-computer-equipment-for-a-period-of-36-months-re-advertisement,,Amathole
Municipal,,Leadership,,,Beaufort West Municipality,Request for Bid,Western Cape,Beaufort West,,,,,,,,,,,,https://www.beaufortwestmun.co.za/leadership,,Beaufort West
Municipal,,Services,,,Beaufort West Municipality,Request for Bid,Western Cape,Beaufort West,,,,,,,,,,,,https://www.beaufortwestmun.co.za/services,,Beaufort West
Municipal,,Investor Relations,,,Beaufort West Municipality,Request for Bid,Western Cape,Beaufort West,,,,,,,,,,,,https://www.beaufortwestmun.co.za/investor-relations,,Beaufort West
