Category,Tender Number,Tender Description,Advertised,Closing,Organ Of State,Tender Type,Province,"Place where goods, works or services are required",Special Conditions,Contact Person,Email,Telephone number,FAX Number,Is there a briefing session?,Is it compulsory?,Briefing Date and Time,Briefing Venue,eSubmission,Two Envelope Submission,Source URL,Tender ID,Source
Municipal,SCM/1317/C/2025-2026,"INTEGRATED PUBLIC TRANSPORT SYSTEM (IPTS) KARIEGA BUS DEPOT REFURBISHMENTS Compulsory Clarification meeting: 27 February 2026 @ 11:00am Fresh Produce Market, Market Street, Kariega, Validity period: 90 days",,27/02/2026,Nelson Mandela Bay Metropolitan Municipality,Request for Bid,Eastern Cape,"Gqeberha, Kariega, Uitenhage","27 February 2026 @ 11:00am Fresh Produce Market, Market Street, Kariega, Validity period: 90 days",,,041 506 7531,041 5061969,Yes,,11:00am,,,,https://www.nelsonmandelabay.gov.za/tenders/,,Nelson Mandela Bay
Municipal,SCM/1335/G/2025-2026,"MANUFACTURE, TESTING, SUPPLY, DELIVERY AND OFF-LOADING OF 12kV & 24 kV METAL-ENCLOSED RING MAIN UNITS, ISOLATING SWITCHGEAR, BULK METERING UNITS FOR INDOOR AND OUTDOOR APPLICATION Compulsory Clarification meeting: 25 February 2026 @ 10:00 a.m. Munelek Building Training Centre Boardroom, 46 Harrower Road Validity period: 90 days",,25/02/2026,Nelson Mandela Bay Metropolitan Municipality,Request for Bid,Eastern Cape,"Gqeberha, Kariega, Uitenhage",25 February 2026 @ 10:00 a,,,041 506 7531,041 5061969,Yes,,10:00,,,,https://www.nelsonmandelabay.gov.za/tenders/,,Nelson Mandela Bay
Municipal,SCM/1311/S/2025-2026,SOLE RIGHTS FOR THE SALVAGING AND REMOVAL OF RECYCLEABLE MATERIAL FROM THE ARLINGTON LANDFILL SITE Validity period: 90 days,,,Nelson Mandela Bay Metropolitan Municipality,Request for Bid,Eastern Cape,"Gqeberha, Kariega, Uitenhage",,,,041 506 7531,041 5061969,,,,,,,https://www.nelsonmandelabay.gov.za/tenders/,,Nelson Mandela Bay
Municipal,SCM/1154/S/2023-2024,TESTO SAVERIS LABORATORY DATA LOGGER SANAS CALIBRATION,,,Nelson Mandela Bay Metropolitan Municipality,Request for Bid,Eastern Cape,"Gqeberha, Kariega, Uitenhage",,,,041 506 7531,041 5061969,,,,,,,https://www.nelsonmandelabay.gov.za/tenders/,,Nelson Mandela Bay
Municipal,SCM/1261/S/2024-2025,INSTALLATION AND MAINTENANCE OF TRAFFIC SIGNAL EQUIPMENT,,,Nelson Mandela Bay Metropolitan Municipality,Request for Bid,Eastern Cape,"Gqeberha, Kariega, Uitenhage",,,,041 506 7531,041 5061969,,,,,,,https://www.nelsonmandelabay.gov.za/tenders/,,Nelson Mandela Bay
Municipal,SCM/1264/S/2024-2025,INSTALLATION OF TRAFFIC SIGNAL VEHICLE DETECTION CABLES,,,Nelson Mandela Bay Metropolitan Municipality,Request for Bid,Eastern Cape,"Gqeberha, Kariega, Uitenhage",,,,041 506 7531,041 5061969,,,,,,,https://www.nelsonmandelabay.gov.za/tenders/,,Nelson Mandela Bay
Municipal,SCM/1310/G/2025-2026,SUPPLY AND DELIVERY OF ROADMARKING PAINT Validity period: 90 days,,,Nelson Mandela Bay Metropolitan Municipality,Request for Bid,Eastern Cape,"Gqeberha, Kariega, Uitenhage",,,,041 506 7531,041 5061969,,,,,,,https://www.nelsonmandelabay.gov.za/tenders/,,Nelson Mandela Bay
Municipal,SCM/1229/C,TRIENNIAL CONTRACT FOR ELECTRICAL INFRASTRUCTURE SERVICES,,,Nelson Mandela Bay Metropolitan Municipality,Request for Bid,Eastern Cape,"Gqeberha, Kariega, Uitenhage",,,,041 506 7531,041 5061969,,,,,,,https://www.nelsonmandelabay.gov.za/tenders/,,Nelson Mandela Bay
Municipal,SCM/1330/S/2025-2026,"REDUCTION OF NON – TECHNICAL ENERGY LOSSES Compulsory Clarification Meeting: 28 January 2026, at 10H00am, The Munelek Training Centre, 46 Harrower Road, North End, Gqeberha Validity period: 90 days",,,Nelson Mandela Bay Metropolitan Municipality,Request for Bid,Eastern Cape,"Gqeberha, Kariega, Uitenhage","28 January 2026, at 10H00am, The Munelek Training Centre, 46 Harrower Road, North End, Gqeberha Validity period: 90 days",,,041 506 7531,041 5061969,Yes,,,,,,https://www.nelsonmandelabay.gov.za/tenders/,,Nelson Mandela Bay
Municipal,SCM/1326/G/2025-2026,SUPPLY AND DELIVERY OF DISASTER RELIEF PACKAGES Validity period: 90 days,,,Nelson Mandela Bay Metropolitan Municipality,Request for Bid,Eastern Cape,"Gqeberha, Kariega, Uitenhage",,,,041 506 7531,041 5061969,,,,,,,https://www.nelsonmandelabay.gov.za/tenders/,,Nelson Mandela Bay
