Category,Tender Number,Tender Description,Advertised,Closing,Organ Of State,Tender Type,Province,"Place where goods, works or services are required",Special Conditions,Contact Person,Email,Telephone number,FAX Number,Is there a briefing session?,Is it compulsory?,Briefing Date and Time,Briefing Venue,eSubmission,Two Envelope Submission,Source URL,Tender ID,Source
Municipal,NKT 286/2025,Upgrading Mamafubedu Wastewater Treatment Works Phase 1A Schedule 5B,02/05/2026,06/03/2026,Nketoana Local Municipality,Request for Bid,Free State,"Reitz, Kestell, Lindley",,Manager PMU: Mr Dalisu Ngubo,,078 779 7165,,,,,,,,https://nketoanalm.gov.za/docs/SCM/Tenders/06-03-2026%20-%20Various%20Tenders%20January%202026.pdf,,Nketoana
Municipal,NKT 287/2025,"Appointment of six (6) service providers for the repairs, maintenance, refurbishment and upgrading of water and sanitation infrastructure (pump, motors, blowers and electrical panels) for a period of three 3 years.",02/05/2026,06/03/2026,Nketoana Local Municipality,Request for Bid,Free State,"Reitz, Kestell, Lindley",,Manager Water and Sanitation: Mr Kagiso Molelekwa,,078 747 8141,,,,,,,,https://nketoanalm.gov.za/docs/SCM/Tenders/06-03-2026%20-%20Various%20Tenders%20January%202026.pdf,,Nketoana
Municipal,NKT 288/2025,"Panel of three (3) service providers for the supply and delivery of chemicals (Flocculent), reagent and laboratory ware for water and wastewater treatment works for a period of three years",02/05/2026,06/03/2026,Nketoana Local Municipality,Request for Bid,Free State,"Reitz, Kestell, Lindley",,Manager Water and Sanitation: Mr Kagiso Molelekwa,,078 747 8141,,,,,,,,https://nketoanalm.gov.za/docs/SCM/Tenders/06-03-2026%20-%20Various%20Tenders%20January%202026.pdf,,Nketoana
Municipal,NKT 237/2022,(2) Completion of 3ml Concrete Reservoir in Petrus Steyn -Phase 4,N/A,03/12/2025,Nketoana Local Municipality,Request for Bid,Free State,"Reitz, Kestell, Lindley",,Manager: Mr Dalisu Ngubo,,078 779 7165,,,,,,,,https://nketoanalm.gov.za/docs/SCM/Tenders/03-12-2025%20-%20Various%20Tenders.pdf,,Nketoana
Municipal,NKT 243/2022,(2) Completion of New high Lift Pump Station and 2Ml Reinforced Concrete Storage Reservoir- Phase 1B,N/A,03/12/2025,Nketoana Local Municipality,Request for Bid,Free State,"Reitz, Kestell, Lindley",,Manager: Mr Dalisu Ngubo,,078 779 7165,,,,,,,,https://nketoanalm.gov.za/docs/SCM/Tenders/03-12-2025%20-%20Various%20Tenders.pdf,,Nketoana
Municipal,NKT 284/2025,Appointment of 6 Service Providers for the Supply and Delivery of Water and Sanitation materials on an as and when basis,N/A,24/11/2025,Nketoana Local Municipality,Request for Bid,Free State,"Reitz, Kestell, Lindley",,Manager: Mr K Molelekoa,,078 747 8141,,,,,,,,https://nketoanalm.gov.za/docs/SCM/Tenders/03-12-2025%20-%20Various%20Tenders.pdf,,Nketoana
Municipal,NKT 285/2025,"Design, Supply, Delivery and Installation of 6 High mast lights in Ntha.",10/30/2025,24/11/2025,Nketoana Local Municipality,Request for Bid,Free State,"Reitz, Kestell, Lindley",,Manager: Mr William Koalepe,,071 897 6529,,,,,,,,https://nketoanalm.gov.za/docs/SCM/Tenders/24-11-2025%20-%20Design%20%20Supply%20%20Delivery%20and%20Installation%20of%206%20High%20Mast%20Lights%20%20%20Ntha.pdf,,Nketoana
Municipal,RFQ 2494,RFQ 2494 CLEANING material BB,N/A,25/04/2025,Nketoana Local Municipality,Request for Bid,Free State,"Reitz, Kestell, Lindley",,,,,,,,,,,,https://nketoanalm.gov.za/docs/SCM/Tenders/RFQ%202494%20%20CLEANING%20material%20BB.pdf,,Nketoana
Municipal,RFQ 2494,RFQ 2494 re adv CLEANING material,15/04/2025,25/04/2025,Nketoana Local Municipality,Request for Bid,Free State,"Reitz, Kestell, Lindley",,,,,,,,,,,,https://nketoanalm.gov.za/docs/SCM/Tenders/RFQ%202494%20%20re%20adv%20CLEANING%20material.pdf,,Nketoana
Municipal,NKT-1,RFQ UPDATED 2502 printing paper,13/02/2025,05/02/2025,Nketoana Local Municipality,Request for Bid,Free State,"Reitz, Kestell, Lindley",,,,,,,,,,,,https://nketoanalm.gov.za/docs/SCM/Tenders/RFQ%20UPDATED%202502%20printing%20paper.pdf,,Nketoana
