Category,Tender Number,Tender Description,Advertised,Closing,Organ Of State,Tender Type,Province,"Place where goods, works or services are required",Special Conditions,Contact Person,Email,Telephone number,FAX Number,Is there a briefing session?,Is it compulsory?,Briefing Date and Time,Briefing Venue,eSubmission,Two Envelope Submission,Source URL,Tender ID,Source
Municipal,NTLM-5876,Construction of Bonxa 50 Housing Units – Draft Tender Document REV 2,18/02/2026,,Ntabankulu Local Municipality,Request for Bid,Eastern Cape,Ntabankulu,,,,,,,,,,,,https://www.ntabankulu.gov.za/wp-content/uploads/2026/02/Construction-of-Bonxa-50-Housing-Units-Draft-Tender-Document-REV-2-1-Final-PDF.pdf,5876,Ntabankulu
Municipal,NTLM-5865,Supply and Delivery of Protective Clothing for EPWP Participants,10/02/2026,,Ntabankulu Local Municipality,Request for Bid,Eastern Cape,Ntabankulu,,,,,,,,,,,,https://www.ntabankulu.gov.za/wp-content/uploads/2026/02/Supply-and-Delivery-of-Protective-Clothing-for-EPWP-Participants.pdf,5865,Ntabankulu
Municipal,NTLM-5868,TENDER DOCUMENT PROVISION OF GRAP COMPLIANCE FIXED ASSET REGISTER FOR IMMOVABLE ASSETS,09/02/2026,,Ntabankulu Local Municipality,Request for Bid,Eastern Cape,Ntabankulu,,,,,,,,,,,,https://www.ntabankulu.gov.za/wp-content/uploads/2026/02/TENDER-DOCUMENT-PROVISION-OF-GRAP-COMPLIANCE-FIXED-ASSET-REGISTER-FOR-IMMOVABLE-ASSETS.pdf,5868,Ntabankulu
Municipal,NTLM-5862,Construction of Bonxa 50 Housing Units,06/02/2026,,Ntabankulu Local Municipality,Request for Bid,Eastern Cape,Ntabankulu,,,,,,,,,,,,https://www.ntabankulu.gov.za/wp-content/uploads/2026/02/Construction-of-Bonxa-50-Housing-Units.pdf,5862,Ntabankulu
Municipal,NTLM-5857,Preparation of GRAP Compliant Fixed Asset Register for Immovable Assets for a Period of Three Years,02/02/2026,,Ntabankulu Local Municipality,Request for Bid,Eastern Cape,Ntabankulu,,,,,,,,,,,,https://www.ntabankulu.gov.za/wp-content/uploads/2026/02/Preparation-of-GRAP-Compliant-Fixed-Asset-Register-for-Immovable-Assets-for-a-Period-of-Three-Years.pdf,5857,Ntabankulu
Municipal,2025-26,TENDER DOCUMENT Security Services 2025-26,14/12/2025,,Ntabankulu Local Municipality,Request for Bid,Eastern Cape,Ntabankulu,,,,,,,,,,,,https://www.ntabankulu.gov.za/wp-content/uploads/2025/12/TENDER-DOCUMENT-Security-Services-2025-26.pdf,5834,Ntabankulu
Municipal,NTLM-5830,Advert for Security Services,12/12/2025,,Ntabankulu Local Municipality,Request for Bid,Eastern Cape,Ntabankulu,,,,,,,,,,,,https://www.ntabankulu.gov.za/wp-content/uploads/2025/12/Advert-for-Security-Services.pdf,5830,Ntabankulu
Municipal,NTLM-5820,ADVERT FOR SUBDIVISION AND REZONING ON PORTION OF ERF 87,02/12/2025,,Ntabankulu Local Municipality,Request for Bid,Eastern Cape,Ntabankulu,,,,,,,,,,,,https://www.ntabankulu.gov.za/wp-content/uploads/2025/12/ADVERT-FOR-SUBDIVISION-AND-REZONING-ON-PORTION-OF-ERF-87.pdf,5820,Ntabankulu
Municipal,NTLM-5814,SUPPLY AND DELIVERY OF EDUCATIONAL SUPPORT MATERIAL,01/12/2025,,Ntabankulu Local Municipality,Request for Bid,Eastern Cape,Ntabankulu,,,,,,,,,,,,https://www.ntabankulu.gov.za/wp-content/uploads/2025/12/SUPPLY-AND-DELIVERY-OF-EDUCATIONAL-SUPPORT-MATERIAL.pdf,5814,Ntabankulu
Municipal,NTLM-5818,Advert Sportfield,28/11/2025,,Ntabankulu Local Municipality,Request for Bid,Eastern Cape,Ntabankulu,,,,,,,,,,,,https://www.ntabankulu.gov.za/wp-content/uploads/2025/12/Advert-Sportfield.pdf,5818,Ntabankulu
