Category,Tender Number,Tender Description,Advertised,Closing,Organ Of State,Tender Type,Province,"Place where goods, works or services are required",Special Conditions,Contact Person,Email,Telephone number,FAX Number,Is there a briefing session?,Is it compulsory?,Briefing Date and Time,Briefing Venue,eSubmission,Two Envelope Submission,Source URL,Tender ID,Source
Municipal,ORTDM SCMU 14-25/26,"RE-AVDERT - APPOINTMENT OF A SERVICE PROVIDER TO SUPPLY, INSTALL AND MAINTAIN TIME & ATTENDANCE – CLOCKING SYSTEM AT O.R. TAMBO DISTRICT MUNICIPALITY FOR 36 MONTHS (3 YEARS).",18/02/2026,26/03/2026,O.R. Tambo District Municipality,Request for Bid,Eastern Cape,"Mthatha, O.R. Tambo District",,,info@ortambodm.gov.za,060 752 0961,,,,,,,,https://ortambodm.gov.za/wp-content/uploads/2026/02/ORTDM-SCMU-14-24-25-Supply-Install-and-Maintain-Time-Attendance-Clocking-System.pdf,,O.R. Tambo
Municipal,ORTDM SCMU 16-25/26,RE-ADVERT - PROPOSAL FOR THE APPOINTMENT OF SERVICE PROVIDER FOR THE PROVISION OF FUEL TANKS AND INSTALLATION FOR THE O. R. TAMBO DISTRICT MUNICIPALITY FOR A PERIOD OF THREE (3) YEARS.,18/02/2026,27/03/2026,O.R. Tambo District Municipality,Request for Bid,Eastern Cape,"Mthatha, O.R. Tambo District",,,info@ortambodm.gov.za,060 752 0961,,,,,,,,https://ortambodm.gov.za/wp-content/uploads/2026/02/ORTDM-SCMU-16-25-26-Proposal-provision-Fuel-Tankers-and-Installation-for-the-O.-R.-Tambo-District-Municipality.pdf,,O.R. Tambo
Municipal,ORTDM SCMU 15-25/26,RE-ADVERT - PROPOSAL FOR A SERVICE PROVIDER FOR THE PROVISION OF FUEL AND FUEL MANAGEMENT SYSTEM FOR THE O. R. TAMBO DISTRICT MUNICIPALITY FOR A PERIOD OF THREE (3) YEARS.,18/02/2026,27/03/2026,O.R. Tambo District Municipality,Request for Bid,Eastern Cape,"Mthatha, O.R. Tambo District",,,info@ortambodm.gov.za,060 752 0961,,,,,,,,https://ortambodm.gov.za/wp-content/uploads/2026/02/ORTDM-SCMU-15-25-26-Proposal-for-provision-and-maintenance-of-Fuel-Management-System.pdf,,O.R. Tambo
Municipal,ORTDM SCMU 11-25/26,"RE-ADVERT - APPOINTEMNT OF A PANEL OF SUITABLE SERVICE PROVIDERS FOR THE PROVISION OF BATTERIES, TUBES, TYRES, FITMENT AND WHEEL ALINMENT FOR THE OR TAMBO DISTRICT MUNICIPALITY FLEET FOR A PERIOD OF THREE YEARS.",18/02/2026,25/03/2026,O.R. Tambo District Municipality,Request for Bid,Eastern Cape,"Mthatha, O.R. Tambo District",,,info@ortambodm.gov.za,060 752 0961,,,,,,,,https://ortambodm.gov.za/wp-content/uploads/2026/02/ORTDM-SCMU-11-25-26-APPOINTEMNT-OF-A-PANEL-OF-SUITABLE-SERVICE-PROVIDERS-FOR-THE.pdf,,O.R. Tambo
Municipal,ORTDM SCMU 10-25/26,"RE-ADVERT - APPOINTEMNT OF A PANEL OF QUALIFIED SERVICE PROVIDERS FOR REPAIRS AND MAINTENANCE, TOWING/ RECOVERY AND PANEL-BEATING AND AUTO CLEANING SERVICES FOR O.R. TAMBO DISTRICT MUNICIPALITY FLEET FOR A THREE- YEAR PERIOD.",18/02/2026,24/03/2026,O.R. Tambo District Municipality,Request for Bid,Eastern Cape,"Mthatha, O.R. Tambo District",,,info@ortambodm.gov.za,060 752 0961,,,,,,,,https://ortambodm.gov.za/wp-content/uploads/2026/02/ORTDM-SCMU-10-25-26-PANEL-OF-QUALIFIED-SERVICE-PROVIDERS-FOR-REPAIRS-AND-MAINTENANCE-.pdf,,O.R. Tambo
Municipal,ORTDM SCMU 35-25/26,APPOINTMENT OF A RATES-BASED PANEL OF SERVICE PROVIDERS FOR PROVISION OF CATERING SERVICES ON A NEEDS DRIVEN BASIS FOR A PERIOD OF THREE YEARS (36 MONTHS),05/12/2025,10/02/2026,O.R. Tambo District Municipality,Request for Bid,Eastern Cape,"Mthatha, O.R. Tambo District",,,info@ortambodm.gov.za,060 752 0961,,,,,,,,https://ortambodm.gov.za/wp-content/uploads/2025/12/ORTDM-SCMU-35-25-26-APPOINTMENT-OF-A-RATES-BASED-PANEL-OF-SERVICE-PROVIDERS-FOR-PROVISION-OF-CATERING-SERVICES-ON-A-NEEDS-DRIVEN-BASIS-FOR-A.pdf,,O.R. Tambo
Municipal,ORTDM SCMU 37-25/26,"RE-ADVERT APPOINTMENT OF A PANEL OF PROFESSIONAL SERVICE PROVIDERS FOR SITTING, DRILLING, CASING, TESTING AND REPORTING OF BOREHOLES AT OR TAMBO DISTRICT MUNICIPALITY FOR 36 MONTHS",05/12/2025,12/02/2026,O.R. Tambo District Municipality,Request for Bid,Eastern Cape,"Mthatha, O.R. Tambo District",,,info@ortambodm.gov.za,060 752 0961,,,,,,,,https://ortambodm.gov.za/wp-content/uploads/2025/12/ORTDM-SCMU-37-25-27-PANEL-OF-PROFESIONAL-SERVICE-PROVIDERS-SITTING-AND-DRILLING-OF-BOREHOLES-2.pdf,,O.R. Tambo
Municipal,ORTDM SCMU 30-25/26,APPOINTMENT OF A PANEL OF SERVICE PROVIDERS FOR IMPLEMENTATION OF CIVIL WORKS IN WATER SERVICES SCHEMES IN O.R. TAMBO DISTRICT MUNICIPALITY FOR 36 MONTHS (8CE OR HIGHER) FOR EMERGENCY.,14/11/2025,16/01/2026,O.R. Tambo District Municipality,Request for Bid,Eastern Cape,"Mthatha, O.R. Tambo District",,,info@ortambodm.gov.za,060 752 0961,,,,,,,,https://ortambodm.gov.za/wp-content/uploads/2025/11/ORTDM-SCMU-A-PANEL-OF-CONTRACTORS-8CE-or-Higher-FOR-IMPLEMENTATTION-OF-CIVIL-WORKS-FOR-36-MONTHS-Copy-Copy-1.pdf,,O.R. Tambo
Municipal,ORTDM SCMU 29-25/26,APPOINTMENT OF A PANEL OF SERVICE PROVIDERS FOR IMPLEMENTATION OF CIVIL WORKS IN WATER SERVICES SCHEMES IN O.R. TAMBO DISTRICT MUNICIPALITY FOR 36 MONTHS (6CE-7CE) FOR EMERGENCY.,14/11/2025,15/01/2026,O.R. Tambo District Municipality,Request for Bid,Eastern Cape,"Mthatha, O.R. Tambo District",,,info@ortambodm.gov.za,060 752 0961,,,,,,,,https://ortambodm.gov.za/wp-content/uploads/2025/11/ORTDM-SCMU-A-PANEL-OF-CONTRACTORS-6CE-7CE-FOR-IMPLEMENTATTION-OF-CIVIL-WORKS-FOR-36-MONTHS-Copy-1.pdf,,O.R. Tambo
Municipal,ORTDM SCMU 28-25/26,APPOINTMENT OF A PANEL OF SERVICE PROVIDERS FOR IMPLEMENTATION OF CIVIL WORKS IN WATER SERVICES SCHEMES IN O.R. TAMBO DISTRICT MUNICIPALITY FOR 36 MONTHS (4CE-5CE) FOR EMERGENCY.,15/01/2026,15/01/2026,O.R. Tambo District Municipality,Request for Bid,Eastern Cape,"Mthatha, O.R. Tambo District",,,info@ortambodm.gov.za,060 752 0961,,,,,,,,https://ortambodm.gov.za/wp-content/uploads/2025/11/ORTDM-SCMU-A-PANEL-OF-CONTRACTORS-4CE-5CE-FOR-IMPLEMENTATTION-OF-CIVIL-WORKS-FOR-36-MONTHS-1.pdf,,O.R. Tambo
Municipal,ORTDM SCMU 31-25/26,RE-ADVEERT – APPOINTMENT OF A PANEL OF SUPPLIERS TO SUPPLY AND DELIVER MECHANICAL AND ELECTRICAL MATERIALS AND EQUIPMENTS FOR 36 MONTHS (3 YEARS),14/11/2025,16/01/2026,O.R. Tambo District Municipality,Request for Bid,Eastern Cape,"Mthatha, O.R. Tambo District",,,info@ortambodm.gov.za,060 752 0961,,,,,,,,https://ortambodm.gov.za/wp-content/uploads/2025/11/ORTDM-SCMU-31-25-26-A-PANEL-OF-SUPPLIERS-TO-SUPPLY-AND-DELIVERY-OF-MECHANICAL-AND-ELECTRICAL.pdf,,O.R. Tambo
Municipal,MIS 478 789,Nyandeni Ward 31 Sanitation,06/11/2024,21/11/2024,O.R. Tambo District Municipality,Request for Bid,Eastern Cape,"Mthatha, O.R. Tambo District",,,info@ortambodm.gov.za,060 752 0961,,,,,,,,https://ortambodm.gov.za/wp-content/uploads/2024/11/Nyandeni-Ward-31-Sanitation-Corrected.pdf,,O.R. Tambo
Municipal,MIS 316 080 C2,Dumasi Regional Water Supply Phase 1 – Construction of Pipeline from Bomvini to Lutsheko and Reservoirs,24/11/2023,26/01/2024,O.R. Tambo District Municipality,Request for Bid,Eastern Cape,"Mthatha, O.R. Tambo District",,,info@ortambodm.gov.za,060 752 0961,,,,,,,,https://ortambodm.gov.za/wp-content/uploads/2023/12/Tender-Document-4.pdf,,O.R. Tambo
