Category,Tender Number,Tender Description,Advertised,Closing,Organ Of State,Tender Type,Province,"Place where goods, works or services are required",Special Conditions,Contact Person,Email,Telephone number,FAX Number,Is there a briefing session?,Is it compulsory?,Briefing Date and Time,Briefing Venue,eSubmission,Two Envelope Submission,Source URL,Tender ID,Source
Municipal,,Procurement,,,Oudtshoorn Municipality,Request for Bid,Western Cape,Oudtshoorn,,,,,,,,,,,,http://oudtshoorn.gov.za,,Oudtshoorn
Municipal,,Procurement,,,Oudtshoorn Municipality,Request for Bid,Western Cape,Oudtshoorn,,,,,,,,,,,,https://www.oudtshoorn.gov.za/procurement/,,Oudtshoorn
Municipal,,Current Tenders,,,Oudtshoorn Municipality,Request for Bid,Western Cape,Oudtshoorn,,,,,,,,,,,,http://oudtshoorn.gov.za,,Oudtshoorn
Municipal,,Closed Tenders,,,Oudtshoorn Municipality,Request for Bid,Western Cape,Oudtshoorn,,,,,,,,,,,,http://oudtshoorn.gov.za,,Oudtshoorn
Municipal,RFQ Registers,Procurement Award RFQ Registers for 2021/2022 Financial Year Awarded RFQ`s from April 2019 till June 2019 Awarded Tenders – Quarter 2 Closed Tenders Closing Tender Registers 2019 / 20 Current Tenders Deviations Formal Quotation Register Formal Quotation Register 2017/18 Formal Quotations Awarded – October to December 2018 Monthly Bids Received Monthly Bids Received – 2014/15 Monthly Bids Received – 2015/16 Monthly Bids Received – 2016/17 Monthly Bids Received – 2017/18 Monthly Bids Received – 20,,,Oudtshoorn Municipality,Request for Bid,Western Cape,Oudtshoorn,,,,,,,,,,,,http://oudtshoorn.gov.za,,Oudtshoorn
Municipal,RFQ Registers,Award RFQ Registers for 2021/2022 Financial Year,,,Oudtshoorn Municipality,Request for Bid,Western Cape,Oudtshoorn,,,,,,,,,,,,http://oudtshoorn.gov.za,,Oudtshoorn
Municipal,,Awarded RFQ`s from April 2019 till June 2019,,,Oudtshoorn Municipality,Request for Bid,Western Cape,Oudtshoorn,,,,,,,,,,,,http://oudtshoorn.gov.za,,Oudtshoorn
Municipal,Quarter,Awarded Tenders – Quarter 2,,,Oudtshoorn Municipality,Request for Bid,Western Cape,Oudtshoorn,,,,,,,,,,,,http://oudtshoorn.gov.za,,Oudtshoorn
Municipal,Tender Registers,Closing Tender Registers 2019 / 20,,,Oudtshoorn Municipality,Request for Bid,Western Cape,Oudtshoorn,,,,,,,,,,,,http://oudtshoorn.gov.za,,Oudtshoorn
Municipal,Quotation,Formal Quotation Register Formal Quotation Register 2017/18,,,Oudtshoorn Municipality,Request for Bid,Western Cape,Oudtshoorn,,,,,,,,,,,,http://oudtshoorn.gov.za,,Oudtshoorn
Municipal,Quotation,Formal Quotation Register 2017/18,,,Oudtshoorn Municipality,Request for Bid,Western Cape,Oudtshoorn,,,,,,,,,,,,http://oudtshoorn.gov.za,,Oudtshoorn
Municipal,Quotations,Formal Quotations Awarded – October to December 2018,,,Oudtshoorn Municipality,Request for Bid,Western Cape,Oudtshoorn,,,,,,,,,,,,http://oudtshoorn.gov.za,,Oudtshoorn
Municipal,2014/15,Monthly Bids Received Monthly Bids Received – 2014/15 Monthly Bids Received – 2015/16 Monthly Bids Received – 2016/17 Monthly Bids Received – 2017/18 Monthly Bids Received – 2018/19,,,Oudtshoorn Municipality,Request for Bid,Western Cape,Oudtshoorn,,,,,,,,,,,,http://oudtshoorn.gov.za,,Oudtshoorn
Municipal,2014/15,Monthly Bids Received – 2014/15,,,Oudtshoorn Municipality,Request for Bid,Western Cape,Oudtshoorn,,,,,,,,,,,,http://oudtshoorn.gov.za,,Oudtshoorn
Municipal,2015/16,Monthly Bids Received – 2015/16,,,Oudtshoorn Municipality,Request for Bid,Western Cape,Oudtshoorn,,,,,,,,,,,,http://oudtshoorn.gov.za,,Oudtshoorn
