Category,Tender Number,Tender Description,Advertised,Closing,Organ Of State,Tender Type,Province,"Place where goods, works or services are required",Special Conditions,Contact Person,Email,Telephone number,FAX Number,Is there a briefing session?,Is it compulsory?,Briefing Date and Time,Briefing Venue,eSubmission,Two Envelope Submission,Source URL,Tender ID,Source
Municipal,Tender No,Tender No. SC2636/2026: Supply and Delivery of Office Furniture for Overstrand Municipality.,,,Overstrand Municipality,Request for Bid,Western Cape,Overstrand,,,,,,,,,,,,http://overstrand.gov.za/document/supply-chain-management/tenders/?format=json,,Overstrand
Municipal,Tender No,"Tender No. SC2643/2026: Auditing of Electricity Meters, Connections and Automatic Geyser Control Devices in the Overstrand Municipal Area for a Contract Period Ending 30 June 2029.",,,Overstrand Municipality,Request for Bid,Western Cape,Overstrand,,,,,,,,,,,,http://overstrand.gov.za/document/supply-chain-management/tenders/?format=json,,Overstrand
Municipal,Tender No,Tender No. SC2641/2026: Labour Tender for HV/MV/LV Electrical Reticulation for a Contract Period Ending 30 June 2029.,,,Overstrand Municipality,Request for Bid,Western Cape,Overstrand,,,,,,,,,,,,http://overstrand.gov.za/document/supply-chain-management/tenders/?format=json,,Overstrand
Municipal,Tender No,Tender No. SC2642/2026: Provision of Laboratory Services for the Monitoring of Water Quality in the Overstrand Municipal Area for a Contract Period Ending 30 June 2029.,,,Overstrand Municipality,Request for Bid,Western Cape,Overstrand,,,,,,,,,,,,http://overstrand.gov.za/document/supply-chain-management/tenders/?format=json,,Overstrand
Municipal,Tender No,"Tender No. SC2635/2026: Supply, Installation, Monitoring and Armed Response of Alarm Systems and CCTV Call Outs for a Contract Period Ending 30 June 2029.",,,Overstrand Municipality,Request for Bid,Western Cape,Overstrand,,,,,,,,,,,,http://overstrand.gov.za/document/supply-chain-management/tenders/?format=json,,Overstrand
Municipal,Tender No,Tender No. SC2638/2026: Appointment of Consultants for Various Engineering and Groundwater Projects in the Overstrand Municipal Area for a Contract Period Ending 30 June 2029,,,Overstrand Municipality,Request for Bid,Western Cape,Overstrand,,,,,,,,,,,,http://overstrand.gov.za/document/supply-chain-management/tenders/?format=json,,Overstrand
Municipal,Tender No,Tender No. SC2624/2026: Horizontal Directional Drilling of Stormwater Pipes in Franskraal,,,Overstrand Municipality,Request for Bid,Western Cape,Overstrand,,,,,,,,,,,,http://overstrand.gov.za/document/supply-chain-management/tenders/?format=json,,Overstrand
Municipal,Tender No,Tender No. SC2633/2026: Supply and Delivery of Swimming Pool Chemicals for a Contract Period Ending 30 June 2029,,,Overstrand Municipality,Request for Bid,Western Cape,Overstrand,,,,,,,,,,,,http://overstrand.gov.za/document/supply-chain-management/tenders/?format=json,,Overstrand
Municipal,Tender No,Tender No. SC2629/2025: Disconnection and Reconnection of Electricity Supply and Installation and Removal of Water Flow Restrictors for a Contract Period Ending 30 June 2029,,,Overstrand Municipality,Request for Bid,Western Cape,Overstrand,,,,,,,,,,,,http://overstrand.gov.za/document/supply-chain-management/tenders/?format=json,,Overstrand
Municipal,Tender No,Tender No. SC2626/2025: Provision of Meter Reading Software for Mobile Devices for a Contract Period Ending 30 June 2029,,,Overstrand Municipality,Request for Bid,Western Cape,Overstrand,,,,,,,,,,,,http://overstrand.gov.za/document/supply-chain-management/tenders/?format=json,,Overstrand
Municipal,Tender No,Tender No. SC2625/2025: Generating/Printing & Distribution of Municipal Accounts and Newsletters for a Contract Period Ending 30 June 2029.,,,Overstrand Municipality,Request for Bid,Western Cape,Overstrand,,,,,,,,,,,,http://overstrand.gov.za/document/supply-chain-management/tenders/?format=json,,Overstrand
Municipal,Tender No,Tender No. SC2609/2025: Registered E-mail and SMS Services for a Contract Period Ending 30 June 2028,,,Overstrand Municipality,Request for Bid,Western Cape,Overstrand,,,,,,,,,,,,http://overstrand.gov.za/document/supply-chain-management/tenders/?format=json,,Overstrand
Municipal,Tender No,"Tender No. SC2599/2025: Provision of Catering Services, Ration Packs and Water to Emergency Services Personnel During Incidents for a Contract Period Ending 30 June 2028",,,Overstrand Municipality,Request for Bid,Western Cape,Overstrand,,,,,,,,,,,,http://overstrand.gov.za/document/supply-chain-management/tenders/?format=json,,Overstrand
Municipal,Tender No,Tender No. SC2616/2025: Supply and Maintenance of Web Based (Online) Bulk SMS Sending Software for a Contract Period Ending June 2029,,,Overstrand Municipality,Request for Bid,Western Cape,Overstrand,,,,,,,,,,,,http://overstrand.gov.za/document/supply-chain-management/tenders/?format=json,,Overstrand
Municipal,Tender No,Tender No. SC2614/2025: Supply and Deliver Electrical Equipment and Tools to Overstrand Municipality for a Contract Period Ending June 2029,,,Overstrand Municipality,Request for Bid,Western Cape,Overstrand,,,,,,,,,,,,http://overstrand.gov.za/document/supply-chain-management/tenders/?format=json,,Overstrand
Municipal,Tender No,Tender No. SC2610/2025: Supply and Delivery of Environmental Management Uniforms and Protective Clothing for a Contract Period Ending June 2028,,,Overstrand Municipality,Request for Bid,Western Cape,Overstrand,,,,,,,,,,,,http://overstrand.gov.za/document/supply-chain-management/tenders/?format=json,,Overstrand
Municipal,Tender No,Tender No. SC2608/2025 - Notice of Amendment of Closing date,,,Overstrand Municipality,Request for Bid,Western Cape,Overstrand,,,,,,,,,,,,http://overstrand.gov.za/document/supply-chain-management/tenders/?format=json,,Overstrand
Municipal,Tender No,Tender No. SC2596/2025: Fire Fighting Training,,,Overstrand Municipality,Request for Bid,Western Cape,Overstrand,,,,,,,,,,,,http://overstrand.gov.za/document/supply-chain-management/tenders/?format=json,,Overstrand
Municipal,Tender No,Tender No. SC2593/2025: Replacement of Weighbridge Deck at Gansbaai Landfill,,,Overstrand Municipality,Request for Bid,Western Cape,Overstrand,,,,,,,,,,,,http://overstrand.gov.za/document/supply-chain-management/tenders/?format=json,,Overstrand
Municipal,Tender No,Tender No. SC2608/2025: Appointment of a Service Provider for the Provision of Non-Specialised Vehicles on a Full Maintenance Lease Rental with Fleet Support Services for a Contract Period Ending 30 June 2028,,,Overstrand Municipality,Request for Bid,Western Cape,Overstrand,,,,,,,,,,,,http://overstrand.gov.za/document/supply-chain-management/tenders/?format=json,,Overstrand
