Category,Tender Number,Tender Description,Advertised,Closing,Organ Of State,Tender Type,Province,"Place where goods, works or services are required",Special Conditions,Contact Person,Email,Telephone number,FAX Number,Is there a briefing session?,Is it compulsory?,Briefing Date and Time,Briefing Venue,eSubmission,Two Envelope Submission,Source URL,Tender ID,Source
Municipal,PLMT 24-25/09,PLMT 24-25/09 INTENTION TO AWARD CIVIL MECHANICAL AND ELECTRICAL ENGINEERING CONTRACTORS,31/12/2025,,Phumelela Local Municipality,Request for Bid,Free State,"Vrede, Warden, Memel, Kestell",,,,,,,,,,,,https://phumelela.gov.za/documents/plmt-24-25-09-intention-to-award-civil-mechanical-and-electrical-engineering-contractors/,,Phumelela
Municipal,PLMT 24-25/09,PLMT 24-25/09 Intention to Award Panel of Contractors,19/12/2025,,Phumelela Local Municipality,Request for Bid,Free State,"Vrede, Warden, Memel, Kestell",,,,,,,,,,,,https://phumelela.gov.za/documents/plmt-24-25-09-intention-to-award-panel-of-contractors-2/,,Phumelela
Municipal,PLMT24-25/12,PLMT24-25/12 Intention to award service provider for short-term insurance,30/10/2025,,Phumelela Local Municipality,Request for Bid,Free State,"Vrede, Warden, Memel, Kestell",,,,,,,,,,,,https://phumelela.gov.za/documents/plmt24-25-12-intention-to-award-service-provider-for-short-term-insurance/,,Phumelela
Municipal,PLMT 24-25/10,PLMT 24-25/10 Intention to Award Appointment of engineering consultants to serve on the municipality’s panel for a period of 36 months,12/10/2025,,Phumelela Local Municipality,Request for Bid,Free State,"Vrede, Warden, Memel, Kestell",,,,,,,,,,,,https://phumelela.gov.za/documents/plmt-24-25-10-intention-to-award-appointment-of-engineering-consultants-to-serve-on-the-municipalitys-panel-for-a-period-of-36-months/,,Phumelela
Municipal,PLM Adverts,PLM Adverts,18/05/2025,,Phumelela Local Municipality,Request for Bid,Free State,"Vrede, Warden, Memel, Kestell",,,,,,,,,,,,https://phumelela.gov.za/documents/plm-adverts/,,Phumelela
Municipal,Multi Bids Advert for Sourcing,Multi Bids Advert for Sourcing of Funds Tyres and Batteries Water Monitoring Lab and Financial Consultants,20/02/2025,,Phumelela Local Municipality,Request for Bid,Free State,"Vrede, Warden, Memel, Kestell",,,,,,,,,,,,https://phumelela.gov.za/documents/multi-bids-advert-for-sourcing-of-funds-tyres-and-batteries-water-monitoring-lab-and-financial-consultants/,,Phumelela
Municipal,PLMT 24-25/07,PLMT 24-25/07 Waste Water Treatment Warden Tender Advert,22/01/2025,,Phumelela Local Municipality,Request for Bid,Free State,"Vrede, Warden, Memel, Kestell",,,,,,,,,,,,https://phumelela.gov.za/documents/plmt-24-25-07-waste-water-treatment-warden-tender-advert/,,Phumelela
Municipal,PLMT 24-25/01,ERRATUM PLMT 24-25/01 Refurbishment of waste water treatment plant,15/10/2024,,Phumelela Local Municipality,Request for Bid,Free State,"Vrede, Warden, Memel, Kestell",,,,,,,,,,,,https://phumelela.gov.za/documents/erratum-plmt-24-25-01-refurbishment-of-waste-water-treatment-plant-2/,,Phumelela
Municipal,PLMT 24-25/01,ERRATUM – PLMT 24-25/01 Refurbishment of waste water treatment plant,28/09/2024,,Phumelela Local Municipality,Request for Bid,Free State,"Vrede, Warden, Memel, Kestell",,,,,,,,,,,,https://phumelela.gov.za/documents/erratum-plmt-24-25-01-refurbishment-of-waste-water-treatment-plant/,,Phumelela
Municipal,PLMT 24-25/01,PLMT 24-25/01 Refurbishment of Vrede Waste Water Treatment Plant,26/09/2024,,Phumelela Local Municipality,Request for Bid,Free State,"Vrede, Warden, Memel, Kestell",,,,,,,,,,,,https://phumelela.gov.za/documents/plmt-24-25-01-refurbishment-of-vrede-waste-water-treatment-plant/,,Phumelela
Municipal,PLMT 23-24/08,PLMT 23-24/08 Appointment of a service provider for Auctioneering services for disposal of assets,22/04/2024,,Phumelela Local Municipality,Request for Bid,Free State,"Vrede, Warden, Memel, Kestell",,,,,,,,,,,,https://phumelela.gov.za/documents/plmt-23-24-08-appointment-of-a-service-provider-for-auctioneering-services-for-disposal-of-assets/,,Phumelela
Municipal,PLMT 23-24/07,PLMT 23-24/07 Supply and delivery of water meters,22/04/2024,,Phumelela Local Municipality,Request for Bid,Free State,"Vrede, Warden, Memel, Kestell",,,,,,,,,,,,https://phumelela.gov.za/documents/plmt-23-24-07-supply-and-delivery-of-water-meters/,,Phumelela
Municipal,PLMT 23-24/09,PLMT 23-24/09 Appointment of accredited laboratory for water and wastewater sample analysis for a period of 1 year,22/04/2024,,Phumelela Local Municipality,Request for Bid,Free State,"Vrede, Warden, Memel, Kestell",,,,,,,,,,,,https://phumelela.gov.za/documents/plmt-23-24-09-appointment-of-accredited-laboratory-for-water-and-wastewater-sample-analysis-for-a-period-of-1-year/,,Phumelela
Municipal,PLMT 23-24/06,Construction of Ezenzeleni township extension 01 sewer reticulation network pump station and outfall phase 2 PLMT 23-24/06,22/01/2024,,Phumelela Local Municipality,Request for Bid,Free State,"Vrede, Warden, Memel, Kestell",,,,,,,,,,,,https://phumelela.gov.za/documents/construction-of-ezenzeleni-township-extension-01-sewer-reticulation-network-pump-station-and-outfall-phase-2/,,Phumelela
Municipal,PLMT 23-24/03,"Advert: Water Chemical, Financial Consultants, ICT Services PLMT 23-24/03, PLMT 23-24/04, PLMT 23-24/05",12/01/2024,,Phumelela Local Municipality,Request for Bid,Free State,"Vrede, Warden, Memel, Kestell",,,,,,,,,,,,https://phumelela.gov.za/documents/advert-water-chemical-financial-consultants-ict-services/,,Phumelela
