Category,Tender Number,Tender Description,Advertised,Closing,Organ Of State,Tender Type,Province,"Place where goods, works or services are required",Special Conditions,Contact Person,Email,Telephone number,FAX Number,Is there a briefing session?,Is it compulsory?,Briefing Date and Time,Briefing Venue,eSubmission,Two Envelope Submission,Source URL,Tender ID,Source
Municipal,Quotations,Tenders and Quotations,,,Prince Albert Municipality,Request for Bid,Western Cape,Prince Albert,,,,,,,,,,,,https://www.pamun.gov.za/index.php/bids,,Prince Albert
Municipal,Quotations,How to register,,,Prince Albert Municipality,Request for Bid,Western Cape,Prince Albert,,,,,,,,,,,,https://www.pamun.gov.za/index.php/pages/scm-registration,,Prince Albert
Municipal,Quotations,Central Supplier Database,,,Prince Albert Municipality,Request for Bid,Western Cape,Prince Albert,,,,,,,,,,,,https://secure.csd.gov.za,,Prince Albert
Municipal,Quotations,Tenders and Quotations Tenders and Quotations Notices Council Meetings Vacancies Alerts News Newsletters,,,Prince Albert Municipality,Request for Bid,Western Cape,Prince Albert,,,,,,,,,,,,https://www.pamun.gov.za/bids,,Prince Albert
Municipal,Quotations,Tenders and Quotations,,,Prince Albert Municipality,Request for Bid,Western Cape,Prince Albert,,,,,,,,,,,,https://www.pamun.gov.za/bids,,Prince Albert
Municipal,Quotations,Notice Board / Tenders and Quotations Tenders and Quotations Notices Council Meetings Vacancies Alerts News Newsletters,,,Prince Albert Municipality,Request for Bid,Western Cape,Prince Albert,,,,,,,,,,,,https://www.pamun.gov.za/bids,,Prince Albert
Municipal,Quotations,Notice Board,,,Prince Albert Municipality,Request for Bid,Western Cape,Prince Albert,,,,,,,,,,,,https://www.pamun.gov.za/bids,,Prince Albert
Municipal,RFQ 36/2026,"RFQ 36/2026 - SUPPLY AND DELIVERY OF FIRST AID KITS, EQUIPMENT AND RELATED ACCESSORIES Reference: RFQ 36/2026 • 1 document Human Resources • Updated: 4 days ago • Closes: 26 Feb 2026 at 12:00 (SAST) Advertised 4d 20h remaining Show more",,26/02/2026,Prince Albert Municipality,Request for Bid,Western Cape,Prince Albert,,,,,,,,,,,,http://pamun.gov.za,,Prince Albert
Municipal,RFQ 36/2026,"RFQ 36/2026 - SUPPLY AND DELIVERY OF FIRST AID KITS, EQUIPMENT AND RELATED ACCESSORIES",,26/02/2026,Prince Albert Municipality,Request for Bid,Western Cape,Prince Albert,,,,,,,,,,,,http://pamun.gov.za,,Prince Albert
Municipal,RFQ 31/2026,RFQ 31/2026 - PROVISION OF OCCUPATIONAL HEALTH AND SAFETY TRAINING Reference: RFQ 31/2026 • 1 document Human Resources • Updated: 4 days ago • Closes: 27 Feb 2026 at 12:00 (SAST) Advertised 5d 20h remaining Show more,,27/02/2026,Prince Albert Municipality,Request for Bid,Western Cape,Prince Albert,,,,,,,,,,,,http://pamun.gov.za,,Prince Albert
Municipal,RFQ 31/2026,RFQ 31/2026 - PROVISION OF OCCUPATIONAL HEALTH AND SAFETY TRAINING,,27/02/2026,Prince Albert Municipality,Request for Bid,Western Cape,Prince Albert,,,,,,,,,,,,http://pamun.gov.za,,Prince Albert
Municipal,RFQ 28/2026,RFQ 28/2026 - PROVISION OF TRAINING AND REGISTRATION SERVICES FOR CODE 10 DRIVING LICENCE Reference: RFQ 28/2026 • 2 documents Corporate and Community Services • Updated: 4 days ago • Closes: 25 Feb 2026 at 12:00 (SAST) Addendum Advertised 3d 20h remaining Show more EXTENSION OF CLOSING DATEThe closing date for RFQ 29/2026 has been extended to Wednesday 25 February 2026 @ 12h00.,,25/02/2026,Prince Albert Municipality,Request for Bid,Western Cape,Prince Albert,,,,,,,,,,,,http://pamun.gov.za,,Prince Albert
Municipal,RFQ 28/2026,RFQ 28/2026 - PROVISION OF TRAINING AND REGISTRATION SERVICES FOR CODE 10 DRIVING LICENCE,,25/02/2026,Prince Albert Municipality,Request for Bid,Western Cape,Prince Albert,,,,,,,,,,,,http://pamun.gov.za,,Prince Albert
Municipal,RFQ 29/2026,"RFQ 29/2026 - PROVISION OF TYRES, TUBES, WHEEL ALIGNMENT AND WHEEL BALANCING FOR THE PRINCE ALBERT MUNICIPAL FLEET, FOR A CONTRACT PERIOD ENDING 30 JUNE 2026 Reference: RFQ 29/2026 • 2 documents Technical Services • Updated: 4 days ago • Closes: 25 Feb 2026 at 12:00 (SAST) Addendum Advertised 3d 20h remaining Show more EXTENSION OF CLOSING DATEThe closing date for RFQ 29/2026 has been extended to Wednesday 25 February 2026 @ 12h00.",,25/02/2026,Prince Albert Municipality,Request for Bid,Western Cape,Prince Albert,,,,,,,,,,,,http://pamun.gov.za,,Prince Albert
Municipal,RFQ 29/2026,"RFQ 29/2026 - PROVISION OF TYRES, TUBES, WHEEL ALIGNMENT AND WHEEL BALANCING FOR THE PRINCE ALBERT MUNICIPAL FLEET, FOR A CONTRACT PERIOD ENDING 30 JUNE 2026",,25/02/2026,Prince Albert Municipality,Request for Bid,Western Cape,Prince Albert,,,,,,,,,,,,http://pamun.gov.za,,Prince Albert
Municipal,RFQ 30/2026,RFQ 30/2026 - SUPPLY AND DELIVERY OF CONSTRUCTION MATERIALS Reference: RFQ 30/2026 • 1 document Technical Services • Updated: 4 days ago • Closes: 25 Feb 2026 at 12:00 (SAST) Advertised 3d 20h remaining Show more,,25/02/2026,Prince Albert Municipality,Request for Bid,Western Cape,Prince Albert,,,,,,,,,,,,http://pamun.gov.za,,Prince Albert
Municipal,RFQ 30/2026,RFQ 30/2026 - SUPPLY AND DELIVERY OF CONSTRUCTION MATERIALS,,25/02/2026,Prince Albert Municipality,Request for Bid,Western Cape,Prince Albert,,,,,,,,,,,,http://pamun.gov.za,,Prince Albert
