Category,Tender Number,Tender Description,Advertised,Closing,Organ Of State,Tender Type,Province,"Place where goods, works or services are required",Special Conditions,Contact Person,Email,Telephone number,FAX Number,Is there a briefing session?,Is it compulsory?,Briefing Date and Time,Briefing Venue,eSubmission,Two Envelope Submission,Source URL,Tender ID,Source
Municipal,SLM-3363,TENDER DOCUMENT FOR THE APPOINTMENT OF A PROFESSIONAL SERVICE PROVIDER FOR TAKALANI INTERNAL STREETS,20/02/2026,,Sakhisizwe Local Municipality,Request for Bid,Eastern Cape,"Cala, Elliot, Sakhisizwe",,,,,,,,,,,,https://www.slm.gov.za/wp-content/uploads/2026/02/TENDER-DOCUMENT-FOR-THE-APPOINTMENT-OF-A-PROFESSIONAL-SERVICE-PROVIDER-FOR-TAKALANI-INTERNAL-STREETS.pdf,3363,Sakhisizwe
Municipal,SLM-3361,TENDER DOCUMENT FOR THE APPOINTMENT OF A PROFESSIONAL SERVICE PROVIDER FOR POLER PARK ACCESS ROAD,20/02/2026,,Sakhisizwe Local Municipality,Request for Bid,Eastern Cape,"Cala, Elliot, Sakhisizwe",,,,,,,,,,,,https://www.slm.gov.za/wp-content/uploads/2026/02/TENDER-DOCUMENT-FOR-THE-APPOINTMENT-OF-A-PROFESSIONAL-SERVICE-PROVIDER-FOR-POLER-PARK-ACCESS-ROAD.pdf,3361,Sakhisizwe
Municipal,SLM-3359,TENDER DOCUMENT FOR THE APPOINTMENT OF A PROFESSIONAL SERVICE PROVIDER FOR HOTA TO MBEWULA,20/02/2026,,Sakhisizwe Local Municipality,Request for Bid,Eastern Cape,"Cala, Elliot, Sakhisizwe",,,,,,,,,,,,https://www.slm.gov.za/wp-content/uploads/2026/02/TENDER-DOCUMENT-FOR-THE-APPOINTMENT-OF-A-PROFESSIONAL-SERVICE-PROVIDER-FOR-HOTA-TO-MBEWULA.pdf,3359,Sakhisizwe
Municipal,SLM-3357,TENDER DOCUMENT FOR SUPPLY AND DELIVERY OF ELECTRICAL MATERIAL,20/02/2026,,Sakhisizwe Local Municipality,Request for Bid,Eastern Cape,"Cala, Elliot, Sakhisizwe",,,,,,,,,,,,https://www.slm.gov.za/wp-content/uploads/2026/02/TENDER-DOCUMENT-FOR-SUPPLY-AND-DELIVERY-OF-ELECTRICAL-MATERIAL-1.pdf,3357,Sakhisizwe
Municipal,SLM-3330,APPOINTMENT OF A PROFESSIONAL SERVICE PROVIDER FOR CALA SPORTSFIELD PHASE 3,17/02/2026,,Sakhisizwe Local Municipality,Request for Bid,Eastern Cape,"Cala, Elliot, Sakhisizwe",,,,,,,,,,,,https://www.slm.gov.za/wp-content/uploads/2026/02/TENDER-DOCUMENT-FOR-THE-APPOINTMENT-OF-A-PROFFESSIONAL-SERVICE-PROVIDER-FOR-CALA-SPORTSFIELD-PHASE-3-.pdf,3330,Sakhisizwe
Municipal,SLM-3319,"SUPPLY AND DELIVERY OF PAVING BRICKS, CEMENT AND PPEFOR QOKOLO TO KOPPITJIES ACCESS ROAD-PHASE 3",16/02/2026,,Sakhisizwe Local Municipality,Request for Bid,Eastern Cape,"Cala, Elliot, Sakhisizwe",,,,,,,,,,,,https://www.slm.gov.za/wp-content/uploads/2026/02/TENDER-DOCUMENT-FOR-SUPPLY-AND-DELIVERY-OF-PAVING-BRICKCEMENT-AND-PPE.pdf,3319,Sakhisizwe
Municipal,SLM-3310,APPOINTMENT OF A REGISTERED EPC PROFESSIONALS FOR ENERGY PERFORMANCE ASSESSMENTS AND ISSUING OF ENERGY PERFORMANCE CERTIFICATES(EPC) FOR TWO (2) BUILDINGS,10/02/2026,,Sakhisizwe Local Municipality,Request for Bid,Eastern Cape,"Cala, Elliot, Sakhisizwe",,,,,,,,,,,,https://www.slm.gov.za/wp-content/uploads/2026/02/TENDER-DOCUMENT-APPOINTMENT-OF-REGISTERED-EPC-PROFESSIONALS.pdf,3310,Sakhisizwe
Municipal,SLM-3307,REPAIRS OF CALA INDOOR SPORTS CENTRE,06/02/2026,,Sakhisizwe Local Municipality,Request for Bid,Eastern Cape,"Cala, Elliot, Sakhisizwe",,,,,,,,,,,,https://www.slm.gov.za/wp-content/uploads/2026/02/TENDER-DOCUMENT-REPAIRS-FOR-CALA-INDOOR-SPORTS-CENTRE.pdf,3307,Sakhisizwe
Municipal,SLM-3303,HIRING OF 6 MOBILE BUCKET-SYSTEM TOILETS FOR A PERIOD OF 3 MONTHS,05/02/2026,,Sakhisizwe Local Municipality,Request for Bid,Eastern Cape,"Cala, Elliot, Sakhisizwe",,,,,,,,,,,,https://www.slm.gov.za/wp-content/uploads/2026/02/TENDER-DOCUMENT-HIRING-OF-6-MOBILE-BUCKET-SYSTEM.pdf,3303,Sakhisizwe
Municipal,SLM-3301,REQUEST FOR PROPOSAL(S) (RFP) FOR THE DEVELOPMENT AND LONG-TERMLEASE FOR SHOPPING MALL ON A PORTION OF ERF 50 CALA,05/02/2026,,Sakhisizwe Local Municipality,Request for Bid,Eastern Cape,"Cala, Elliot, Sakhisizwe",,,,,,,,,,,,https://www.slm.gov.za/wp-content/uploads/2026/02/TENDER-DOCUMENT-REQUEST-FOR-PROPOSALS-FOR-DEVELOPMENT-OF-SHOPPING-MALL.pdf,3301,Sakhisizwe
Municipal,SLM-3297,REPAIRS OF KHOWA TOWN HALL,03/02/2026,,Sakhisizwe Local Municipality,Request for Bid,Eastern Cape,"Cala, Elliot, Sakhisizwe",,,,,,,,,,,,https://www.slm.gov.za/wp-content/uploads/2026/02/TENDER-DOCUMENT-REPAIRS-OF-KHOWA-TOWN-HALL.pdf,3297,Sakhisizwe
