Category,Tender Number,Tender Description,Advertised,Closing,Organ Of State,Tender Type,Province,"Place where goods, works or services are required",Special Conditions,Contact Person,Email,Telephone number,FAX Number,Is there a briefing session?,Is it compulsory?,Briefing Date and Time,Briefing Venue,eSubmission,Two Envelope Submission,Source URL,Tender ID,Source
Municipal,SCM Bids,Business Building Control Business Links Property Recycling and Waste Management SCM Bids Awarded SCM Bids Register SCM Documents Tenders / Quotations,,,Saldanha Bay Municipality,Request for Bid,Western Cape,Saldanha Bay,,,,,,,,,,,,https://sbm.gov.za/quotations-r30000-below/,,Saldanha Bay
Municipal,SCM Bids,SCM Bids Awarded,,,Saldanha Bay Municipality,Request for Bid,Western Cape,Saldanha Bay,,,,,,,,,,,,https://sbm.gov.za/quotations-r30000-below/,,Saldanha Bay
Municipal,SCM Bids,SCM Bids Awarded,,,Saldanha Bay Municipality,Request for Bid,Western Cape,Saldanha Bay,,,,,,,,,,,,https://sbm.gov.za/quotations-r30000-below/,,Saldanha Bay
Municipal,SCM Bids,SCM Bids Register,,,Saldanha Bay Municipality,Request for Bid,Western Cape,Saldanha Bay,,,,,,,,,,,,https://sbm.gov.za/quotations-r30000-below/,,Saldanha Bay
Municipal,SCM Bids,SCM Bids Register,,,Saldanha Bay Municipality,Request for Bid,Western Cape,Saldanha Bay,,,,,,,,,,,,https://sbm.gov.za/quotations-r30000-below/,,Saldanha Bay
Municipal,SCM Documents,SCM Documents,,,Saldanha Bay Municipality,Request for Bid,Western Cape,Saldanha Bay,,,,,,,,,,,,https://sbm.gov.za/quotations-r30000-below/,,Saldanha Bay
Municipal,SCM Documents,SCM Documents,,,Saldanha Bay Municipality,Request for Bid,Western Cape,Saldanha Bay,,,,,,,,,,,,https://sbm.gov.za/quotations-r30000-below/,,Saldanha Bay
Municipal,Quotations,Tenders / Quotations,,,Saldanha Bay Municipality,Request for Bid,Western Cape,Saldanha Bay,,,,,,,,,,,,https://sbm.gov.za/quotations-r30000-below/,,Saldanha Bay
Municipal,Quotations,Tenders / Quotations,,,Saldanha Bay Municipality,Request for Bid,Western Cape,Saldanha Bay,,,,,,,,,,,,https://sbm.gov.za/quotations-r30000-below/,,Saldanha Bay
Municipal,QUOTATIONS,SALDANHA BAY MUNICIPALITY SUPPLY CHAIN MANAGEMENT QUOTATIONS BELOW R30 000 QUOTATIONS 2025/2026 QUOTATIONS BELOW R30 000 QUOTATION NUMBER DESCRIPTION CLOSING DATE CONTACT PERSON CONTACT NUMBER RFQ171/2026 SUPPLY AND DELIVERY OF STATIONERY 23/02/2026 C OLKERS TEL 022 701 7066 RFQ170/2026 CLEANING OF COUCHES AND ONE UPHOLSTERED CHAIR 20/02/2026 T Sass TEL 022 701 6910 RFQ169/2026 SUPPLY AND DELIVER EVA INTERLOCKING FOAM MATS 20/02/2026 T SASS TEL 022 701 6910 RFQ168/2026 SUPPLY AND DELIVERY OF GEN,20/05/2025,,Saldanha Bay Municipality,Request for Bid,Western Cape,Saldanha Bay,,,,,,,,,,,,https://sbm.gov.za/quotations-r30000-below/,,Saldanha Bay
