Category,Tender Number,Tender Description,Advertised,Closing,Organ Of State,Tender Type,Province,"Place where goods, works or services are required",Special Conditions,Contact Person,Email,Telephone number,FAX Number,Is there a briefing session?,Is it compulsory?,Briefing Date and Time,Briefing Venue,eSubmission,Two Envelope Submission,Source URL,Tender ID,Source
Municipal,Quote 07/2026,MANAGEMENT OF SHORT-TERM INSURANCE,,26/02/2026,Sarah Baartman District Municipality,Request for Bid,Eastern Cape,"Grahamstown, Port Alfred, Kenton-on-Sea",,,,,,,,,,,,https://www.sarahbaartman.co.za/index.php?option=com_content&view=article&id=136&Itemid=1987,,Sarah Baartman
Municipal,Quote 44/2026,HR/PAYROLL SAGE 300 VIP SYSTEM SUPPORT/CONSULTING SERVICE,,19/02/2026,Sarah Baartman District Municipality,Request for Bid,Eastern Cape,"Grahamstown, Port Alfred, Kenton-on-Sea",,,,,,,,,,,,https://www.sarahbaartman.co.za/index.php?option=com_content&view=article&id=136&Itemid=1987,,Sarah Baartman
Municipal,Quote 45/2025,Provision of Vetting Services,,10/02/2026,Sarah Baartman District Municipality,Request for Bid,Eastern Cape,"Grahamstown, Port Alfred, Kenton-on-Sea",,,,,,,,,,,,https://www.sarahbaartman.co.za/index.php?option=com_content&view=article&id=136&Itemid=1987,,Sarah Baartman
Municipal,Quote 01/2026,PROVISION OF SAGE PEOPLE 300 LICENSE FOR A PERIOD OF ONE YEAR,,30/01/2026,Sarah Baartman District Municipality,Request for Bid,Eastern Cape,"Grahamstown, Port Alfred, Kenton-on-Sea",,,,,,,,,,,,https://www.sarahbaartman.co.za/index.php?option=com_content&view=article&id=136&Itemid=1987,,Sarah Baartman
Municipal,Quote 63/2025,PROVISION OF APPX SOFTWARE LICENSE FOR A PERIOD OF ONE YEAR,,30/01/2026,Sarah Baartman District Municipality,Request for Bid,Eastern Cape,"Grahamstown, Port Alfred, Kenton-on-Sea",,,,,,,,,,,,https://www.sarahbaartman.co.za/index.php?option=com_content&view=article&id=136&Itemid=1987,,Sarah Baartman
Municipal,Quote 53/2025,PROVISION FOR COURIER SERVICES FOR A PERIOD OF 12 MONTHS,,28/01/2026,Sarah Baartman District Municipality,Request for Bid,Eastern Cape,"Grahamstown, Port Alfred, Kenton-on-Sea",,,,,,,,,,,,https://www.sarahbaartman.co.za/index.php?option=com_content&view=article&id=136&Itemid=1987,,Sarah Baartman
Municipal,Quote 61/2025,Provision of a two-day training on Water Conservation and Water Demand Management,,27/01/2026,Sarah Baartman District Municipality,Request for Bid,Eastern Cape,"Grahamstown, Port Alfred, Kenton-on-Sea",,,,,,,,,,,,https://www.sarahbaartman.co.za/index.php?option=com_content&view=article&id=136&Itemid=1987,,Sarah Baartman
Municipal,Quote 59/2025,PROVISION OF ANTI – GANGSTERISM CAPACITATION TRAINING PROGRAMME,,27/01/2026,Sarah Baartman District Municipality,Request for Bid,Eastern Cape,"Grahamstown, Port Alfred, Kenton-on-Sea",,,,,,,,,,,,https://www.sarahbaartman.co.za/index.php?option=com_content&view=article&id=136&Itemid=1987,,Sarah Baartman
Municipal,Quote 52/2025,Protective Clothing,,27/01/2026,Sarah Baartman District Municipality,Request for Bid,Eastern Cape,"Grahamstown, Port Alfred, Kenton-on-Sea",,,,,,,,,,,,https://www.sarahbaartman.co.za/index.php?option=com_content&view=article&id=136&Itemid=1987,,Sarah Baartman
Municipal,Quote 24/2025,BINDING OF MINUTE BOOKS,,15/10/2025,Sarah Baartman District Municipality,Request for Bid,Eastern Cape,"Grahamstown, Port Alfred, Kenton-on-Sea",,,,,,,,,,,,https://www.sarahbaartman.co.za/index.php?option=com_content&view=article&id=136&Itemid=1987,,Sarah Baartman
