Category,Tender Number,Tender Description,Advertised,Closing,Organ Of State,Tender Type,Province,"Place where goods, works or services are required",Special Conditions,Contact Person,Email,Telephone number,FAX Number,Is there a briefing session?,Is it compulsory?,Briefing Date and Time,Briefing Venue,eSubmission,Two Envelope Submission,Source URL,Tender ID,Source
Municipal,90_2025-2026T,Maintenance &Calibration of Weighbridges,20/02/2026,24/03/2026,Senqu Local Municipality,Request for Bid,Eastern Cape,"Lady Grey, Barkly East, Sterkspruit",,,,,,,,,,,,https://senqu.gov.za/wp-content/uploads/2026/02/Tender-Document-90_2025-2026T-Maintenance-Calibration-of-Weighbridges.pdf,,Senqu
Municipal,89_2025-2026T,Building Wall & Installation of welcome sign &Beautification,20/02/2026,17/03/2026,Senqu Local Municipality,Request for Bid,Eastern Cape,"Lady Grey, Barkly East, Sterkspruit",,,,,,,,,,,,https://senqu.gov.za/wp-content/uploads/2026/02/Tender-Doc-89_2025-26.pdf,,Senqu
Municipal,88_2025-2026T,Provision of Secretariat Support 3Years,20/02/2026,24/03/2026,Senqu Local Municipality,Request for Bid,Eastern Cape,"Lady Grey, Barkly East, Sterkspruit",,,,,,,,,,,,https://senqu.gov.za/wp-content/uploads/2026/02/Bid-No.88_2025-2026T-Provision-of-Secreteriat-Support.pdf,,Senqu
Municipal,79_2025-2026T,Auctioneering Services 2026,30/01/2026,05/03/2026,Senqu Local Municipality,Request for Bid,Eastern Cape,"Lady Grey, Barkly East, Sterkspruit",,,,,,,,,,,,https://senqu.gov.za/wp-content/uploads/2026/02/Bid-Document-79_2025-2026T_-Auctioneering-Services_-2026.pdf,,Senqu
Municipal,86-of-2025-2026T,"Supply and Delivery of Firearms, Ammunitions and Accessories",06/02/2026,17/02/2026,Senqu Local Municipality,Request for Bid,Eastern Cape,"Lady Grey, Barkly East, Sterkspruit",,,,,,,,,,,,https://senqu.gov.za/wp-content/uploads/2026/02/Tender-Document-86_2025-2026T-Supply-and-Delivery-of-Firearms-Ammunitions-and-Accessories.pdf,,Senqu
Municipal,85-of-2025-2026T,Provition of Geographic Information System,06/02/2026,17/03/2026,Senqu Local Municipality,Request for Bid,Eastern Cape,"Lady Grey, Barkly East, Sterkspruit",,,,,,,,,,,,https://senqu.gov.za/wp-content/uploads/2026/02/Bid-document_-Bid-Number-85_2025_2026T-Provision-of-Geographic-Information-System-GIS-VERSION-7.pdf,,Senqu
Municipal,78-of-2025-2026T,Supply & delivery of Aircons,30/01/2026,17/02/2026,Senqu Local Municipality,Request for Bid,Eastern Cape,"Lady Grey, Barkly East, Sterkspruit",,,,,,,,,,,,https://senqu.gov.za/wp-content/uploads/2026/02/Advert-Tender-78-of-2025-2026T-Supply-and-delivery-of-aircons-1.pdf,,Senqu
Municipal,77-of-2025-2026T,Supply & delivery of Technical Equipment,30/01/2026,17/02/2026,Senqu Local Municipality,Request for Bid,Eastern Cape,"Lady Grey, Barkly East, Sterkspruit",,,,,,,,,,,,https://senqu.gov.za/wp-content/uploads/2026/02/Advert-Tender-77-of-2025-2026T-Supply-and-delivery-of-technical-equipment-.pdf,,Senqu
Municipal,73-of-2025-2026-T,Supply & delivery of Tools & Equipment for SMME,30/01/2026,17/02/2026,Senqu Local Municipality,Request for Bid,Eastern Cape,"Lady Grey, Barkly East, Sterkspruit",,,,,,,,,,,,https://senqu.gov.za/wp-content/uploads/2026/02/Advert-Tender-73-of-2025-2026T-Supply-and-delivery-of-tools-and-equipment-.pdf,,Senqu
Municipal,72-of-2025-2026T,Supply & delivery of Sewing materials,30/01/2026,17/02/2026,Senqu Local Municipality,Request for Bid,Eastern Cape,"Lady Grey, Barkly East, Sterkspruit",,,,,,,,,,,,https://senqu.gov.za/wp-content/uploads/2026/02/Tender-72-of-2025-2026T-Supply-and-delivery-of-sewing-material.pdf,,Senqu
Municipal,71-of-2025-2026T,Supply & delivery of Agriculture and building materials,30/01/2026,17/02/2026,Senqu Local Municipality,Request for Bid,Eastern Cape,"Lady Grey, Barkly East, Sterkspruit",,,,,,,,,,,,https://senqu.gov.za/wp-content/uploads/2026/02/Advert-Tender-71-of-2025-2026T-Supply-and-delivery-of-agricultural-and-building-materials-.pdf,,Senqu
Municipal,58_2025_2026T,Purchase of Grazing land by the Senqu Municipality in Barkly East,19/12/2025,27/01/2026,Senqu Local Municipality,Request for Bid,Eastern Cape,"Lady Grey, Barkly East, Sterkspruit",,,,,,,,,,,,https://senqu.gov.za/wp-content/uploads/2025/12/Advert_Expression-of-Interest-Notice-58_2025_2026T.pdf,,Senqu
Municipal,62_2025-2026T,Development of the Senqu Municipality Land Audit Report,12/12/2025,16/01/2026,Senqu Local Municipality,Request for Bid,Eastern Cape,"Lady Grey, Barkly East, Sterkspruit",,,,,,,,,,,,https://senqu.gov.za/wp-content/uploads/2025/12/Tender-Document-62_2025-2026T-Land-Audit.pdf,,Senqu
Municipal,61_2025-2026T,Review of the Senqu Land Use Scheme,12/12/2025,16/01/2026,Senqu Local Municipality,Request for Bid,Eastern Cape,"Lady Grey, Barkly East, Sterkspruit",,,,,,,,,,,,https://senqu.gov.za/wp-content/uploads/2025/12/Tender-Document-61_2025-2026T-Land-Use-Scheme.pdf,,Senqu
Municipal,60_2025-2026T,"Supply and Delivery of Firearms, Ammunition and Accessories for 12-month period",12/12/2025,16/01/2026,Senqu Local Municipality,Request for Bid,Eastern Cape,"Lady Grey, Barkly East, Sterkspruit",,,,,,,,,,,,https://senqu.gov.za/wp-content/uploads/2025/12/Tender-Document-2025-26T.pdf,,Senqu
Municipal,56_2025-2026T,Purchase And Delivery Of Consumables For A Period Of Three Years,12/12/2025,16/01/2026,Senqu Local Municipality,Request for Bid,Eastern Cape,"Lady Grey, Barkly East, Sterkspruit",,,,,,,,,,,,https://senqu.gov.za/wp-content/uploads/2025/12/Tender-Document-56_2025-26T.pdf,,Senqu
Municipal,55_2025-2026T,Pre-Payment Vending Solutions,12/12/2025,16/01/2026,Senqu Local Municipality,Request for Bid,Eastern Cape,"Lady Grey, Barkly East, Sterkspruit",,,,,,,,,,,,https://senqu.gov.za/wp-content/uploads/2025/12/Tender-Document-55-2025-2026.pdf,,Senqu
Municipal,54_2025-2026T,Installation replacement; maintenance; supply and delivery of Fire Equipment,12/12/2025,27/01/2026,Senqu Local Municipality,Request for Bid,Eastern Cape,"Lady Grey, Barkly East, Sterkspruit",,,,,,,,,,,,https://senqu.gov.za/wp-content/uploads/2025/12/Bid-No-54_2025-2026T-Installation-replacement-maintenance-supply-and-delivery-of-fire-Equipment.pdf,,Senqu
Municipal,53_2025-2026T,Repair and Maintenance of Lift Elevator System for period of 3 years,12/12/2025,27/01/2026,Senqu Local Municipality,Request for Bid,Eastern Cape,"Lady Grey, Barkly East, Sterkspruit",,,,,,,,,,,,https://senqu.gov.za/wp-content/uploads/2025/12/Bid-No-53_2025-2026T-Repair-and-Maintenance-of-Lift-Elevator-System-for-period-of-3-years.pdf,,Senqu
Municipal,42_2025-2026T,Urban Designer For The Implementation Of The Sterkspruit UDF,12/12/2025,16/01/2026,Senqu Local Municipality,Request for Bid,Eastern Cape,"Lady Grey, Barkly East, Sterkspruit",,,,,,,,,,,,https://senqu.gov.za/wp-content/uploads/2025/12/Tender-Document-42_2025-26t.pdf,,Senqu
Municipal,49_2025-2026T,Installation Hydraulic Lifters on Rear Ram of Lowbed Truck,21/11/2025,02/12/2025,Senqu Local Municipality,Request for Bid,Eastern Cape,"Lady Grey, Barkly East, Sterkspruit",,,,,,,,,,,,https://senqu.gov.za/wp-content/uploads/2025/11/Bid-Document-49_2025-2026T-Installation-of-Hydraulic-Lifters-on-Rear-Ram-of-Lowbed-Truck.pdf,,Senqu
Municipal,18_2025-2026T,Management of Landfill Sites,24/10/2025,07/11/2025,Senqu Local Municipality,Request for Bid,Eastern Cape,"Lady Grey, Barkly East, Sterkspruit",,,,,,,,,,,,https://senqu.gov.za/wp-content/uploads/2025/10/Advert-Bid-No-18_2025-2026T-Landfill-Site-Sterkspruit.pdf,,Senqu
Municipal,41_2025-2026T,Supply & Delivery of Cleaning Tools & Equipment,10/10/2025,11/11/2025,Senqu Local Municipality,Request for Bid,Eastern Cape,"Lady Grey, Barkly East, Sterkspruit",,,,,,,,,,,,https://senqu.gov.za/wp-content/uploads/2025/10/Bid-No.41_2025-2026T-SUPPLY-AND-DELIVERY-OF-CLEANING-TOOLS-AND-EQUIPMENT-FOR-THREE-YEARS.pdf,,Senqu
Municipal,40-of-2025-2026T,Supply & Delivery of Maintenance Material,10/10/2025,11/11/2025,Senqu Local Municipality,Request for Bid,Eastern Cape,"Lady Grey, Barkly East, Sterkspruit",,,,,,,,,,,,https://senqu.gov.za/wp-content/uploads/2025/10/Bid-No.40-of-2025-2026T-Supply-and-delivery-of-Maintenance-Material.pdf,,Senqu
Municipal,39_2025-2026T,Installation of Hydraulic Lifter System on Rear Ramps of Lowbed Trailer,10/10/2025,04/11/2025,Senqu Local Municipality,Request for Bid,Eastern Cape,"Lady Grey, Barkly East, Sterkspruit",,,,,,,,,,,,https://senqu.gov.za/wp-content/uploads/2025/10/Bid-No.39_2025-2026T-Installation-of-Hydraulic-Lifter-system-on-Rear-Ramps-of-Lowbed-Trailer.pdf,,Senqu
Municipal,29_2025-2026T,Provision of Secretariat Support for 3years,10/10/2025,11/11/2025,Senqu Local Municipality,Request for Bid,Eastern Cape,"Lady Grey, Barkly East, Sterkspruit",,,,,,,,,,,,https://senqu.gov.za/wp-content/uploads/2025/10/Bid-No.29_2025-2026T-Provision-of-Secreteriat-Support.pdf,,Senqu
Municipal,24_2025-2026T,Maintenance & Calibration of Weighbridge Barkly East & Lady Grey,10/10/2025,11/11/2025,Senqu Local Municipality,Request for Bid,Eastern Cape,"Lady Grey, Barkly East, Sterkspruit",,,,,,,,,,,,https://senqu.gov.za/wp-content/uploads/2025/10/Bid-No.-24_2025-2026T-MAINTENANCE-AND-CALIBRATION-OF-WEIGHBRIGES.pdf,,Senqu
Municipal,23-of-2025-2026T,Strategic Planning SessionStrategic Planning Session,03/10/2025,04/11/2025,Senqu Local Municipality,Request for Bid,Eastern Cape,"Lady Grey, Barkly East, Sterkspruit",,,,,,,,,,,,https://senqu.gov.za/wp-content/uploads/2025/10/Advert-Tender-23-of-2025-2026T-Strtaegic-Planning-session-facilitator.pdf,,Senqu
Municipal,28_2025-2026T,Development of Local Integrated Transport Plan,12/09/2025,06/10/2025,Senqu Local Municipality,Request for Bid,Eastern Cape,"Lady Grey, Barkly East, Sterkspruit",,,,,,,,,,,,https://senqu.gov.za/wp-content/uploads/2025/09/Bid-Document-28_2025-2026T-Development-of-Local-Integrated-Transport-Plan.pdf,,Senqu
Municipal,26_2025-26T_,Supply & Deliver of Commonage Fence,12/09/2025,16/10/2025,Senqu Local Municipality,Request for Bid,Eastern Cape,"Lady Grey, Barkly East, Sterkspruit",,,,,,,,,,,,https://senqu.gov.za/wp-content/uploads/2025/09/Bid-Document-26_2025-26T_Supply-and-Delivery-of-Commonage-Boundary-Fence-for-3-years.pdf,,Senqu
Municipal,25_2025-26T_,Hiring of Machinery and Operators,12/09/2025,30/09/2025,Senqu Local Municipality,Request for Bid,Eastern Cape,"Lady Grey, Barkly East, Sterkspruit",,,,,,,,,,,,https://senqu.gov.za/wp-content/uploads/2025/09/Bid-Document-25_2025-26T_Hiring-of-Machinery-and-Operators.pdf,,Senqu
Municipal,22_2025-26T,ICT Consultants Services,12/09/2025,16/10/2025,Senqu Local Municipality,Request for Bid,Eastern Cape,"Lady Grey, Barkly East, Sterkspruit",,,,,,,,,,,,https://senqu.gov.za/wp-content/uploads/2025/09/Bid-Document-22_2025-26T-ICT-Consultants-Services.pdf,,Senqu
Municipal,SENQU-33,Supply and Delivery of Agricultural suppplies for SMME Support,08/09/2025,22/09/2025,Senqu Local Municipality,Request for Bid,Eastern Cape,"Lady Grey, Barkly East, Sterkspruit",,,,,,,,,,,,https://senqu.gov.za/wp-content/uploads/2025/09/Bid-Doc-21_2025-26T-SUPPLY-AND-DELIVERY-OF-AGRICULTURAL-SUPPLIES-FOR-SMME-SUPPORT-PROGRAMME-003-1.pdf,,Senqu
Municipal,20-_2025-2026T,Provision of Training Agent Services,12/09/2025,14/10/2025,Senqu Local Municipality,Request for Bid,Eastern Cape,"Lady Grey, Barkly East, Sterkspruit",,,,,,,,,,,,https://senqu.gov.za/wp-content/uploads/2025/09/Bid-Document-20-_2025-2026T-Provision-of-the-Training-Agency-Services.pdf,,Senqu
Municipal,15_2025-26T,Provision of Secuirty for 3 Years,22/08/2025,23/09/2025,Senqu Local Municipality,Request for Bid,Eastern Cape,"Lady Grey, Barkly East, Sterkspruit",,,,,,,,,,,,https://senqu.gov.za/wp-content/uploads/2025/08/Advert-Bid-No.-15_2025-26T-Provision-of-Security-Services-3-Years.pdf,,Senqu
Municipal,07-2025-2026T,Auctioneering service for disposal of assets for 36 months,01/08/2025,02/09/2025,Senqu Local Municipality,Request for Bid,Eastern Cape,"Lady Grey, Barkly East, Sterkspruit",,,,,,,,,,,,https://senqu.gov.za/wp-content/uploads/2025/08/1.8-Advert-07_2025-2026T-Auctioneering-Services-for-Disposal.pdf,,Senqu
Municipal,08_2025-2026T,Provision of short term insurance service,01/08/2025,09/09/2025,Senqu Local Municipality,Request for Bid,Eastern Cape,"Lady Grey, Barkly East, Sterkspruit",,,,,,,,,,,,https://senqu.gov.za/wp-content/uploads/2025/08/Advert-Bid-No-08_2025-2026T-Provision-for-Short-Term-Insurance-Service.pdf,,Senqu
Municipal,09-2025-2026T,Development of agricultural land development plan,01/08/2025,02/09/2025,Senqu Local Municipality,Request for Bid,Eastern Cape,"Lady Grey, Barkly East, Sterkspruit",,,,,,,,,,,,https://senqu.gov.za/wp-content/uploads/2025/08/Advert_Bid-No.09_2025-2026T-Development-of-Agricultural-Land-Development-Plan.pdf,,Senqu
