Category,Tender Number,Tender Description,Advertised,Closing,Organ Of State,Tender Type,Province,"Place where goods, works or services are required",Special Conditions,Contact Person,Email,Telephone number,FAX Number,Is there a briefing session?,Is it compulsory?,Briefing Date and Time,Briefing Venue,eSubmission,Two Envelope Submission,Source URL,Tender ID,Source
Municipal,Quotations,Skip to content,,,Stellenbosch Municipality,Request for Bid,Western Cape,Stellenbosch,,,,,,,,,,,,https://stellenbosch.gov.za/open-tenders/,,Stellenbosch
Municipal,,Tenders Tenders,,,Stellenbosch Municipality,Request for Bid,Western Cape,Stellenbosch,,,,,,,,,,,,https://stellenbosch.gov.za/open-tenders/,,Stellenbosch
Municipal,Quotations,Formal Quotations,,,Stellenbosch Municipality,Request for Bid,Western Cape,Stellenbosch,,,,,,,,,,,,https://stellenbosch.gov.za/open-tenders/,,Stellenbosch
Municipal,Quotations,Request for Quotations,,,Stellenbosch Municipality,Request for Bid,Western Cape,Stellenbosch,,,,,,,,,,,,https://stellenbosch.gov.za/open-tenders/,,Stellenbosch
Municipal,RFQ Under,RFQ Under R30 000,,,Stellenbosch Municipality,Request for Bid,Western Cape,Stellenbosch,,,,,,,,,,,,https://stellenbosch.gov.za/open-tenders/,,Stellenbosch
Municipal,TENDER BSM,STMIPPPP TENDER BSM 89_25,,,Stellenbosch Municipality,Request for Bid,Western Cape,Stellenbosch,,,,,,,,,,,,https://stellenbosch.gov.za/open-tenders/,,Stellenbosch
Municipal,TENDER BSM,TENDER BSM 31/26: MAIN ROAD INTERSECTION IMPROVEMENT R44-R310 AND ALEXANDER JUNCTION,,30/01/2026,Stellenbosch Municipality,Request for Bid,Western Cape,Stellenbosch,,,,,,,,,,,,https://stellenbosch.gov.za/open-tenders/,,Stellenbosch
Municipal,TENDER BSM,TENDER BSM 64/26: APPOINTMENT OF A SERVICE PROVIDER FOR THE UNBUNDLING OF INFRASTRUCTURE ASSETS FOR THE PERIOD FROM 1 JULY 2026 UNTIL 30 JUNE 2029.,,23/01/2026,Stellenbosch Municipality,Request for Bid,Western Cape,Stellenbosch,,,,,,,,,,,,https://stellenbosch.gov.za/open-tenders/,,Stellenbosch
Municipal,TENDER FOR,TENDER FOR BSM 56/26: SUPPLY DELIVERY AND OFFLOADING OF TYPE B MINIATURE SUBSTATIONS AND DISTRIBUTION TRANSFORMERS WITH RATING UP TO A 1000kVA FOR A PERIOD ENDING 30 JUNE 2029,,16/01/2026,Stellenbosch Municipality,Request for Bid,Western Cape,Stellenbosch,,,,,,,,,,,,https://stellenbosch.gov.za/open-tenders/,,Stellenbosch
Municipal,TENDER FOR,"TENDER FOR: BSM 49/26: MONITORING, PREVENTION AND DEMOLITION OF STRUCTURES RELATED TO ILLEGAL OCCUPATION/INVASION OF MUNICIPAL OWNED LAND, PROPERTY AND BUILDINGS FOR THE PERIOD ENDING 30 JUNE 2029",,16/01/2026,Stellenbosch Municipality,Request for Bid,Western Cape,Stellenbosch,,,,,,,,,,,,https://stellenbosch.gov.za/open-tenders/,,Stellenbosch
