Category,Tender Number,Tender Description,Advertised,Closing,Organ Of State,Tender Type,Province,"Place where goods, works or services are required",Special Conditions,Contact Person,Email,Telephone number,FAX Number,Is there a briefing session?,Is it compulsory?,Briefing Date and Time,Briefing Venue,eSubmission,Two Envelope Submission,Source URL,Tender ID,Source
Municipal,SRVM-RFQ 21/2026,SUPPLY AND DELIVERY OF NETWORK CABLE INSTALLATION FOR TRAFFIC STATION,19/02/2026,,Sundays River Valley Local Municipality,Request for Bid,Eastern Cape,"Kirkwood, Paterson, Addo, Sundays River Valley",,,,042 230 7700,,,,,,,,https://www.srvm.gov.za/wp-content/uploads/2020/07/supply-and-delivery-of-network-cable-installation-for-traffic-station-updated.pdf,8645,Sundays River Valley
Municipal,SRVM-RFQ 22/2026,SUPPLY AND DELIVERY OF OFFICE FURNITURE,19/02/2026,,Sundays River Valley Local Municipality,Request for Bid,Eastern Cape,"Kirkwood, Paterson, Addo, Sundays River Valley",,,,042 230 7700,,,,,,,,https://www.srvm.gov.za/wp-content/uploads/2020/07/supply-and-delivery-of-office-furniture-1.pdf,8643,Sundays River Valley
Municipal,SRVM-RFQ 20/2026,SUPPLY AND DELIVERY OF MATERIALS FOR WASTE,17/02/2026,,Sundays River Valley Local Municipality,Request for Bid,Eastern Cape,"Kirkwood, Paterson, Addo, Sundays River Valley",,,,042 230 7700,,,,,,,,https://www.srvm.gov.za/wp-content/uploads/2020/07/supply-and-delivery-of-materials-for-waste-1.pdf,8550,Sundays River Valley
Municipal,SRVM-RFQ 19/2026,"SUPPLY, DELIVERY AND FITMENT OF NEW TYRES",17/02/2026,,Sundays River Valley Local Municipality,Request for Bid,Eastern Cape,"Kirkwood, Paterson, Addo, Sundays River Valley",,,,042 230 7700,,,,,,,,https://www.srvm.gov.za/wp-content/uploads/2020/07/supply-delivery-and-fitment-of-new-tyres-19-2026b.pdf,8548,Sundays River Valley
Municipal,SRVM-8479,SUPPLY AND DELIVERY OF OFFICE FURNITURE,11/02/2026,19/01/2026,Sundays River Valley Local Municipality,Request for Bid,Eastern Cape,"Kirkwood, Paterson, Addo, Sundays River Valley",,,,042 230 7700,,,,,,,,https://www.srvm.gov.za/wp-content/uploads/2020/07/supply-and-delivery-of-office-furniture.pdf,8479,Sundays River Valley
Municipal,SRVM-8475,SUPPLY AND DELIVERY OF NETWORK CABLE INSTALLATION FOR TRAFFIC STATION,11/02/2026,19/01/2026,Sundays River Valley Local Municipality,Request for Bid,Eastern Cape,"Kirkwood, Paterson, Addo, Sundays River Valley",,,,042 230 7700,,,,,,,,https://www.srvm.gov.za/wp-content/uploads/2020/07/supply-and-delivery-of-network-cable-installation-for-traffic-station-1.pdf,8475,Sundays River Valley
Municipal,SRVM-010/2026,"APPOINTMENT OF SERVICE PROVIDER FOR OPERTIONS,MAINTENANCE AND MANAGEMENT OF MSENGENI -KIRKWOOD LANDFILL SITE FOR A PERIOD OF 12 MONTHS",11/02/2026,,Sundays River Valley Local Municipality,Request for Bid,Eastern Cape,"Kirkwood, Paterson, Addo, Sundays River Valley",,,,042 230 7700,,,,,,,,https://www.srvm.gov.za/wp-content/uploads/2020/07/appointment-of-service-provider-for-opertionsmaintenance-and-management-of-msengeni-kirkwood-landfill-site-for-a-period-of-12-months.pdf,8484,Sundays River Valley
Municipal,SRVM-009/2026,"APPOINTMENT OF SERVICE PROVIDER FOR OPERTIONS,MAINTENANCE AND MANAGEMENT OF SUNLAND LANDFILL SITE FOR A PERIOD OF 12 MONTHS",11/02/2026,,Sundays River Valley Local Municipality,Request for Bid,Eastern Cape,"Kirkwood, Paterson, Addo, Sundays River Valley",,,,042 230 7700,,,,,,,,https://www.srvm.gov.za/wp-content/uploads/2020/07/appointment-of-service-provider-for-opertionsmaintenance-and-management-of-sundland-landfill-site-for-a-period-of-12-months.pdf,8490,Sundays River Valley
Municipal,SRVM-008/2026,"APPOINTMENT OF SERVICE PROVIDER FOR OPERTIONS,MAINTENANCE AND MANAGEMENT OF PATERSON LANDFILL SITE FOR A PERIOD OF 12 MONTHS",11/02/2026,,Sundays River Valley Local Municipality,Request for Bid,Eastern Cape,"Kirkwood, Paterson, Addo, Sundays River Valley",,,,042 230 7700,,,,,,,,https://www.srvm.gov.za/wp-content/uploads/2020/07/appointment-of-service-provider-for-opertionsmaintenance-and-management-of-paterson-landfill-site-for-a-period-of-12-months.pdf,8486,Sundays River Valley
Municipal,SRVM-8466,SUPPLY AND DELIVERY OF MATERIALS FOR WASTE,09/02/2026,17/01/2026,Sundays River Valley Local Municipality,Request for Bid,Eastern Cape,"Kirkwood, Paterson, Addo, Sundays River Valley",,,,042 230 7700,,,,,,,,https://www.srvm.gov.za/wp-content/uploads/2020/07/supply-and-delivery-of-materials-for-waste.pdf,8466,Sundays River Valley
