Category,Tender Number,Tender Description,Advertised,Closing,Organ Of State,Tender Type,Province,"Place where goods, works or services are required",Special Conditions,Contact Person,Email,Telephone number,FAX Number,Is there a briefing session?,Is it compulsory?,Briefing Date and Time,Briefing Venue,eSubmission,Two Envelope Submission,Source URL,Tender ID,Source
Municipal,Tender Outcome,"022 487 9400 | Office Hours: Mondays to Thursdays: 8am - 5pm, Fridays: 8am - 3:45pm swartlandmun@swartland.org.za Search × About Us Our Vision Our People Executive Mayor Management Team Ward Councillors Proportional Members Our Services Charter Municipal Servi",,,Swartland Municipality,Request for Bid,Western Cape,Swartland,,,,,,,,,,,,https://swartland.org.za/,,Swartland
Municipal,,Property Rates Rebate,,,Swartland Municipality,Request for Bid,Western Cape,Swartland,,,,,,,,,,,,https://swartland.org.za/assets/municipal-services/Kennisgewing en aansoekvorm belastingkorting 2026_2027 (2) (1).pdf,,Swartland
Municipal,Tender Outcome,Procurement Tenders Tender Outcome Sale Of Property,,,Swartland Municipality,Request for Bid,Western Cape,Swartland,,,,,,,,,,,,https://swartland.org.za,,Swartland
Municipal,Tender Outcome,Procurement,,,Swartland Municipality,Request for Bid,Western Cape,Swartland,,,,,,,,,,,,https://swartland.org.za/procurement,,Swartland
Municipal,,Tenders Tenders,,,Swartland Municipality,Request for Bid,Western Cape,Swartland,,,,,,,,,,,,https://swartland.org.za,,Swartland
Municipal,,Tenders Tenders,,,Swartland Municipality,Request for Bid,Western Cape,Swartland,,,,,,,,,,,,https://swartland.org.za/tenders,,Swartland
Municipal,Tender Outcome,Tender Outcome,,,Swartland Municipality,Request for Bid,Western Cape,Swartland,,,,,,,,,,,,https://swartland.org.za,,Swartland
Municipal,Tender Outcome,Tender Outcome,,,Swartland Municipality,Request for Bid,Western Cape,Swartland,,,,,,,,,,,,https://swartland.org.za/tenders/results,,Swartland
Municipal,,Home Home | Tenders,,,Swartland Municipality,Request for Bid,Western Cape,Swartland,,,,,,,,,,,,https://swartland.org.za/,,Swartland
Municipal,Bid Number,Bid Number Open Date Closing Date Description Site Meeting Tender Info Connect,,,Swartland Municipality,Request for Bid,Western Cape,Swartland,,,,,,,,,,,,https://swartland.org.za,,Swartland
Municipal,,Download,,04/02/2026,Swartland Municipality,Request for Bid,Western Cape,Swartland,,,,,,,,,,,,"https://swartland.org.za/storage/tender-documents/T08.25.26 Maintenance and Emergency Repairs of Pumps, Blowers and Electrical Motors(Notice).pdf",,Swartland
Municipal,,Download,,04/02/2026,Swartland Municipality,Request for Bid,Western Cape,Swartland,,,,,,,,,,,,https://swartland.org.za/storage/tender-documents/T30.25.26 Construct New Washing Lines Protea and Wesbank Flats(Notice).pdf,,Swartland
Municipal,,Download,,11/02/2026,Swartland Municipality,Request for Bid,Western Cape,Swartland,,,,,,,,,,,,https://swartland.org.za/storage/tender-documents/T32.25.26 Supply and Delivery of Emergency Fire Kits(Notice).pdf,,Swartland
Municipal,,Download,,17/02/2026,Swartland Municipality,Request for Bid,Western Cape,Swartland,,,,,,,,,,,,https://swartland.org.za/storage/tender-documents/T27.25.26 Purchace of 60KVA Enclosed Mobile Generator(Notice).pdf,,Swartland
Municipal,,Download,,17/02/2026,Swartland Municipality,Request for Bid,Western Cape,Swartland,,,,,,,,,,,,https://swartland.org.za/storage/tender-documents/T29.25.26 Community Based Collection of General Solid Waste in RCK(Notice).pdf,,Swartland
Municipal,,Privacy Policy,,,Swartland Municipality,Request for Bid,Western Cape,Swartland,,,,,,,,,,,,"https://swartland.org.za/assets/footer-docs/Swartland_Privacy Policy, June 2021.pdf",,Swartland
