Category,Tender Description,Advertised,Cancelled
Services: General,"APPOINTMENT OF A SERVICE PROVIDER TO PROVIDE CATERING OF BREAKFAST, TEA, COFFEE, AND LUNCH FOR 10 OFFICIALS.",18/09/2025,[object Object]
Supplies: Electrical Equipment,SUPPLY AND DELIVERY OF LED LIGHT FIXTURES AT TUTUKA POWER STATION – ONCE OFF,17/09/2025,[object Object]
Architectural and engineering activities; technical testing and analysis,"CONDITION ASSESSMENT OF RAW WATER STEEL PIPELINES USING MAGNETIC MEMORY METHOD TECHNOLOGY ON A7, A11, B5, B11 AND A18 PIPELINES AT THE VEREENIGING STATION",16/09/2025,[object Object]
Employment activities,"PROVISION OF EMPLOYEE WELLNESS PROGRAMME (“EWP”) FOR A PERIOD OF THREE (3) YEARS WITH AN OPTION TO EXTEND THE CONTRACT, AT THE SIU’S SOLE DISCRETION, AND SUBJECT TO ACCEPTABLE PERFORMANCE LEVELS OF THE APPOINTED SERVICE PROVIDER, BY A PERIOD OF TWO (02) YEARS",16/09/2025,[object Object]
Sewerage,Provision of consultation and Construction of the upgrading of sewer reticulation at Regorogile at Extention 5 & 6,15/09/2025,[object Object]
Supplies: General,RFQ FOR EXPANDABLE/SCALABLE AQUAPONICS SYSTEMS WITH SOLAR HEATING,15/09/2025,[object Object]
Postal and courier activities,Construction of 45m2 house for an elderly person (Qolora Feni Location),15/09/2025,[object Object]
Services: General,"Replacement of suspended ceiling panels, Paint interior wall and wooden doors , Tile floor and replace wooden doors.",15/09/2025,[object Object]
"Other professional, scientific and technical activities",APPOINTMENT OF A SERVICE PROVIDER TO ASSIST WITH CALIBRATION OF E2 MASS STANDARDS (KZN CALIBRATION LAB).,13/09/2025,[object Object]
Supplies: Computer Equipment,Supply and delivery of laptop computers for Eastern Cape Provincial Treasury using SITA RFB 740 contract.,12/09/2025,[object Object]
Information and communication,Appointment of service provider for the procurement and deployment of endpoint security software,12/09/2025,[object Object]
Information and communication,"Appointment of service provider for the supply, installation configuration and licensing of a next generation firewall appliance",12/09/2025,[object Object]
Supplies: Electrical Equipment,SUPPLY AND DELIVERY OF DISTRIBUTION TRANSFORMERS,12/09/2025,[object Object]
Construction of buildings,Supply and Delivery of Electric Tools to assets stores at Grootdraai Dam Construction East close to Standerton in the Mpumalanga Province.,12/09/2025,[object Object]
Employment activities,APPOINTMENT OF A SERVICE PROVIDER TO INVESTIGATE POTENTIAL SEXUAL HARASSMENT CASES IN THE KRUGER NATIONAL PARK AS AND WHEN REQUIRED,11/09/2025,[object Object]
"Water supply; sewerage, waste management and remediation activities",RFQJW00170DM24 - Klipspruit Standby 350lt Combo Eco Metallic Fridge,10/09/2025,[object Object]
Specialised construction activities,DRILLING; REFURBISHMENT OF BOREHOLES IN RURAL AREAS AND PROVISION OF ELEVATED TANK AND CONSTRUCTION OF RAISING MAIN AND ENERGIZING OF BOREHOLES,10/09/2025,[object Object]
Services: Professional,"Psychometrics Assessment for Competency, Leadership & Potential Capability profiling of candidates and assessment for Talent Development Programme - External Bursars.",09/09/2025,[object Object]
Other service activities,INSPECTIONS AND LOAD TESTING OF LIFTING EQUIPMENT AT THE PORT OF EAST LONDON FOR A PERIOD OF THIRTY-SIX (36) MONTHS,09/09/2025,[object Object]
Legal and accounting activities,PROVISION OF INDEPENDENT REVIEW OF TRANSNET NATIONAL PORTS AUTHORITY TARIFF METHODOLOGY FOR A PERIOD OF EIGHT (8) MONTHS,09/09/2025,[object Object]
Education,PROVISION OF MANAGING EMPLOYEES’ MENTAL HEALTH,08/09/2025,[object Object]
Manufacture of electrical equipment,"APPOINTMENT OF A SERVICE PROVIDER TO SUPPLY, DELIVER AND INSTALL MPAII-NIR SPECTROSCOPY",08/09/2025,[object Object]
Information and communication,Appointment of a service provider for the provision of application maintenance of the SPS for a period of 36 months,08/09/2025,[object Object]
"Water supply; sewerage, waste management and remediation activities",BID 8/2/2/450 (2025-2028)BID FOR THE PROVISION OF OPERATIONS AND MAINTENANCE SERVICE AT EYE OF AFRICA WASTEWATER TREATMENT WORKS FOR MIDVAAL LOCAL MUNICIPALITY FROM DATE OF AWARD FOR A PERIOD NOT EXCEEDING 36 MONTHS,08/09/2025,[object Object]
Services: Functional (Including Cleaning and Security Services),PROVISION OF PEST CONTROL AND FUMIGATION SERVICES FOR OFFICES UNDER UGU DISTRICT,08/09/2025,[object Object]
Construction,APPOINTMENT OF A PANEL OF CONTRACTORS FOR THE CONSTRUCTION OF INNOVATIVE BUILDING TECHNOLOGY (IBT) OR ALTERNATIVE BUILDING TECHNOLOGY(ABT) HOUSES FOR A PERIOD OF THIRTY-SIX (36) MONTHS FROM DATE OF APPOINTMENT,05/09/2025,[object Object]
Security and investigation activities,"The Road Accident Fund (RAF) wishes to appoint a suitable service provider to Maintain, Service and Repair Security Systems at East London Office on a month-to-month basis for a period not exceeding six (6) months.",05/09/2025,[object Object]
"Other professional, scientific and technical activities",APPOINTMENT OF PANEL OF CONSULTANTS FOR PROFESSIONAL ENGINEERING REALTED SERVICES FOR THE PERIOD OF THREE (03) YEARS IN POLOKWANE LOCAL MUNICIPALITY,05/09/2025,[object Object]
"Office administrative, office support and other business support activities","THE APPOINTMENT OF A PANEL OF THREE (03) SUITABLE AND EXPERIENCED SERVICE PROVIDERS FOR GENERAL MAINTENANCE, SUPPLY AND MAINTENANCE FOR A PERIOD OF THIRTY-SIX (36 MONTHS).",05/09/2025,[object Object]
"Financial service activities, except insurance and pension funding","REQUEST FOR PROPOSAL FOR ENVIRONMENTAL, SOCIAL & GOVERNANCE (ESG) FUNDING FRAMEWORK ARRANGER.",05/09/2025,[object Object]
Manufacturing,"Bid to design, manufacture, supply and delivery of one wet scrubber for the Combined NW PlasGas and Waste Oil Demonstration facility",04/09/2025,[object Object]
Services: Professional,Appointment of a principal agent (Project management) in the build environment on an ad hoc basis for a period of thirty-six (36) months,04/09/2025,[object Object]
Human health and social work activities,APPOINTMENT OF A REPUTABLE SERVICE PROVIDER TO PROVIDE EAP (EMPLOYEE ASSISTANCE PROGRAMME) SERVICES TO THE NRCS,04/09/2025,[object Object]
Construction,"The provision of RDC Fencing services (including: Clearing and grubbing of the area around the fence, Erection of fencing steelwork and Erection of concrete wall fence) for a period of 5 months basis within Gauteng Cluster.",04/09/2025,[object Object]
"Electricity, gas, steam and air conditioning","APPOINTMENT OF A SERVICE PROVIDER TO INSPECT GAS LINES, PRESSURE TEST, CONDUCT REPAIRS AND SUPPLY COC CERTIFICATE AND REPORTS FOR GAS LINES AT THE SECUNDA SABS SITE.",04/09/2025,[object Object]
Other service activities,REQUEST FOR QUOTATION FOR 2 DAY GAS SAFTEY TRAINING WORKSHOP (IN -HOUSE),03/09/2025,[object Object]
