Category,Tender Number,Tender Description,Advertised,Closing,Organ Of State,Tender Type,Province,"Place where goods, works or services are required",Special Conditions,Contact Person,Email,Telephone number,FAX Number,Is there a briefing session?,Is it compulsory?,Briefing Date and Time,Briefing Venue,eSubmission,Two Envelope Submission,Source URL,Tender ID,Source
Municipal,UMZ/2025-26/LED/RFQ/029,"HIRING OF TENTS, ABLUTION FACILITIES AND ELECTRONIC FACILITIES FOR THE 13TH AGRICULTURAL SHOW",,02/03/2026,Umzimvubu Local Municipality,Request for Quotation,Eastern Cape,"KwaBhaca, Mount Frere, Umzimvubu",,,,039 255 8500,,,,,,,,https://www.umzimvubu.gov.za/wp-content/uploads/2026/02/RFQ-HIRING-OF-TENTS-ABLUTION-FACILITIES-AND-ELECTRONIC-FACILITIES-FOR-THE-13TH-AGRICULTURAL-SHOW.029.pdf,,Umzimvubu
Municipal,UMZ/2025-26/LED/RFQ/030,SUPPLY AND DELIVER PRODUCTION PHASEOLUS VULGARIS PRODUCTION INPUTS FOR 10HA” S IN WARD 01,,02/03/2026,Umzimvubu Local Municipality,Request for Quotation,Eastern Cape,"KwaBhaca, Mount Frere, Umzimvubu",,,,039 255 8500,,,,,,,,https://www.umzimvubu.gov.za/wp-content/uploads/2026/02/RFQ-SUPPLY-AND-DELIVER-PRODUCTION-PHASEOLUS-VULGARIS-PRODUCTION-INPUTS-FOR-10HA-S-IN-WARD-01_.pdf,,Umzimvubu
Municipal,UMZ/2025-26/LED/RFQ/028,SUPPLY AND DELIVER ANIMAL FEED FOR THE ANIMALS TO BE HOSTED ON THE 13TH AGRICULTURAL SHOW,,02/03/2026,Umzimvubu Local Municipality,Request for Quotation,Eastern Cape,"KwaBhaca, Mount Frere, Umzimvubu",,,,039 255 8500,,,,,,,,https://www.umzimvubu.gov.za/wp-content/uploads/2026/02/RFQ-SUPPLY-AND-DELIVER-ANIMAL-FEED-FOR-THE-ANIMALS-TO-BE-HOSTED-ON-THE-13TH-AGRICULTURAL-SHOW.028.pdf,,Umzimvubu
Municipal,UMZ/2025-26/LED/RFQ/027,SUPPLY AND DELIVER JUDGING EQUIPMENT FOR THE 13TH AGRICULTURAL SHOW,,02/03/2026,Umzimvubu Local Municipality,Request for Quotation,Eastern Cape,"KwaBhaca, Mount Frere, Umzimvubu",,,,039 255 8500,,,,,,,,https://www.umzimvubu.gov.za/wp-content/uploads/2026/02/RFQ-SUPPLY-AND-DELIVER-JUDGING-EQUIPMENT-FOR-THE-13TH-AGRICULTURAL-SHOW.027.pdf,,Umzimvubu
Municipal,UMZ/2025-26/,REPAIRS AND MAINTENANCE OF MOUNT AYLIFF LIBRARY,,02/03/2026,Umzimvubu Local Municipality,Request for Quotation,Eastern Cape,"KwaBhaca, Mount Frere, Umzimvubu",,,,039 255 8500,,,,,,,,https://www.umzimvubu.gov.za/wp-content/uploads/2026/02/RFQ-REPAIRS-AND-MAINTENANCE-OF-MOUNT-AYLIFF-LIBRARY.-021.pdf,,Umzimvubu
Municipal,UMZ/2025-26/LED/RFQ/025,"HIRING OF FULL DRAPPING, FLOWER STANDS, FANS/HEATERS, CHAIRS, LOUNGE SET-UP FOR 10TH ANNUAL FASHION SHOW",,26/02/2026,Umzimvubu Local Municipality,Request for Quotation,Eastern Cape,"KwaBhaca, Mount Frere, Umzimvubu",,,,039 255 8500,,,,,,,,https://www.umzimvubu.gov.za/wp-content/uploads/2026/02/RFQ-HEATERS-CHAIRS-LOUNGE-SET-UP-FOR-10TH-ANNUAL-FASHION-SHOW.025.pdf,,Umzimvubu
Municipal,UMZ/2025-26/LED/RFQ/026,"HIRING OF SOUND SYSTEM, VIDEO CAPTURING, MICROPHONE, SCREEN & ALBUMS, LED LIGHTS, DATA PROJECTORS FOR THE 10TH ANNUAL FASHION SHOW",,26/02/2026,Umzimvubu Local Municipality,Request for Quotation,Eastern Cape,"KwaBhaca, Mount Frere, Umzimvubu",,,,039 255 8500,,,,,,,,https://www.umzimvubu.gov.za/wp-content/uploads/2026/02/RFQ-HIRING-OF-SOUND-SYSTEM-VIDEO-CAPTURING-MICROPHONE-SCREEN-ALBUMS-LED-LIGHTS-DATA-PROJECTORS-FOR-THE-10TH-ANNUAL-FASHION-SHOW.026.pdf,,Umzimvubu
Municipal,UMZ-RFQ-8,ADVERT FOR PROVISION OF UMZIMVUBU OCCUPATIONAL HEALTH SERVICES AND EMPLOYEE WELLNESS SERVICES,,19/02/2026,Umzimvubu Local Municipality,Request for Quotation,Eastern Cape,"KwaBhaca, Mount Frere, Umzimvubu",,,,039 255 8500,,,,,,,,https://www.umzimvubu.gov.za/wp-content/uploads/2026/02/ADVERT-FOR-PROVISION-OF-UMZIMVUBU-OCCUPATIONAL-HEALTH-SERVICES-AND-EMPLOYEE-WELLNESS-SERVICES.pdf,,Umzimvubu
Municipal,UMZ/2025-26/SPU/RFQ/011,TRANSPORT VOUCHERS FOR IDP OUTREACH PROGRAMME FOR KWABHACA WARDS,,18/02/2026,Umzimvubu Local Municipality,Request for Quotation,Eastern Cape,"KwaBhaca, Mount Frere, Umzimvubu",,,,039 255 8500,,,,,,,,https://www.umzimvubu.gov.za/wp-content/uploads/2026/02/RFQ-TRANSPORT-VOUCHERS-FOR-IDP-OUTREACH-PROGRAMME-FOR-KWABHACA-WARDS.-011-1.pdf,,Umzimvubu
Municipal,UMZ/2025-26/SPU/RFQ/012,TRANSPORT VOUCHERS FOR IDP OUTREACH PROGRAMME FOR EMAXESIBENI WARDS,,18/02/2026,Umzimvubu Local Municipality,Request for Quotation,Eastern Cape,"KwaBhaca, Mount Frere, Umzimvubu",,,,039 255 8500,,,,,,,,https://www.umzimvubu.gov.za/wp-content/uploads/2026/02/RFQ-TRANSPORT-VOUCHERS-FOR-IDP-OUTREACH-PROGRAMME-FOR-EMAXESIBENI-WARDS.-012-1.pdf,,Umzimvubu
