Category,Tender Number,Tender Description,Advertised,Closing,Organ Of State,Tender Type,Province,"Place where goods, works or services are required",Special Conditions,Contact Person,Email,Telephone number,FAX Number,Is there a briefing session?,Is it compulsory?,Briefing Date and Time,Briefing Venue,eSubmission,Two Envelope Submission,Source URL,Tender ID,Source
Municipal,6/5/2/123,Supply and delivery of electrical supplies for Withoogte 6/5/2/123,,,West Coast District Municipality,Request for Bid,Western Cape,West Coast District,,,,,,,,,,,,https://westcoastdm.co.za/download/supply-and-delivery-of-electrical-supplies-for-withoogte-6-5-2-123/?wpdmdl=13719&refresh=699a4055d43701771716693,,West Coast DM
Municipal,6/5/2/115,"Supply, delivery and installation of new air conditioners and, removal and installation of existing air conditioners at West Coast District Municipality 6/5/2/115",,,West Coast District Municipality,Request for Bid,Western Cape,West Coast District,,,,,,,,,,,,https://westcoastdm.co.za/download/supply-delivery-and-installation-of-new-air-conditioners-and-removal-and-installation-of-existing-air-conditioners-at-west-coast-district-municipality-6-5-2-115/?wpdmdl=13717&refresh=699a4055da7b71771716693,,West Coast DM
Municipal,6/5/2/402,Hire of camping grounds in the Riebeek West area from April 2026 till June 2026 6/5/2/402,,,West Coast District Municipality,Request for Bid,Western Cape,West Coast District,,,,,,,,,,,,https://westcoastdm.co.za/download/hire-of-camping-grounds-in-the-riebeek-west-area-from-april-2026-till-june-2026-6-5-2-402/?wpdmdl=13676&refresh=699a4055dfc8b1771716693,,West Coast DM
Municipal,6/5/2/315,Service provider needed for civil engineering tests for Roads within the West Coast District area 6/5/2/315,,,West Coast District Municipality,Request for Bid,Western Cape,West Coast District,,,,,,,,,,,,https://westcoastdm.co.za/download/service-provider-needed-for-civil-engineering-tests-for-roads-within-the-west-coast-district-area-6-5-2-315-2/?wpdmdl=13671&refresh=699a4055e57fa1771716693,,West Coast DM
Municipal,6/5/2/67,Repair services and quarterly maintenance of emergency standby power system for West Coast District Municipality 6/5/2/67,,,West Coast District Municipality,Request for Bid,Western Cape,West Coast District,,,,,,,,,,,,https://westcoastdm.co.za/download/repair-services-and-quarterly-maintenance-of-emergency-standby-power-system-for-west-coast-district-municipality-6-5-2-67-2/?wpdmdl=13669&refresh=699a4055ebe7e1771716693,,West Coast DM
Municipal,6/5/2/373,Service provider needed for cutting of phragmites and cleaning of Zoutrivier – Hopefield 6/5/2/373,,,West Coast District Municipality,Request for Bid,Western Cape,West Coast District,,,,,,,,,,,,https://westcoastdm.co.za/download/service-provider-needed-for-cutting-of-phragmites-and-cleaning-of-zoutrivier-hopefield-6-5-2-373/?wpdmdl=13664&refresh=699a4055f23f61771716693,,West Coast DM
Municipal,6/5/2/362,Conference venue needed for regional Roads Management meeting in the Vanrhynsdorp area 6/5/2/362,,,West Coast District Municipality,Request for Bid,Western Cape,West Coast District,,,,,,,,,,,,https://westcoastdm.co.za/download/conference-venue-needed-for-regional-roads-management-meeting-in-the-vanrhynsdorp-area-6-5-2-362/?wpdmdl=13662&refresh=699a405604b761771716694,,West Coast DM
Municipal,6/5/2/111,Service provider needed for learner and drivers licence training for Water Division personnel 6/5/2/111,,,West Coast District Municipality,Request for Bid,Western Cape,West Coast District,,,,,,,,,,,,https://westcoastdm.co.za/download/service-provider-needed-for-learner-and-drivers-licence-training-for-water-division-personnel-6-5-2-111/?wpdmdl=13660&refresh=699a40560b2fc1771716694,,West Coast DM
Municipal,6/5/2/402,Hire of camping grounds in the Riebeek West area form April 2026 till June 2026 6/5/2/402,,,West Coast District Municipality,Request for Bid,Western Cape,West Coast District,,,,,,,,,,,,https://westcoastdm.co.za/download/hire-of-camping-grounds-in-the-riebeek-west-area-form-april-2026-till-june-2026-6-5-2-402/?wpdmdl=13657&refresh=699a40561108f1771716694,,West Coast DM
Municipal,6/5/2/115,"Supply, install and service of air conditioners for Infrastructure – Water Services 6/5/2/115",,,West Coast District Municipality,Request for Bid,Western Cape,West Coast District,,,,,,,,,,,,https://westcoastdm.co.za/download/supply-install-and-service-of-air-conditioners-for-infrastructure-water-services-6-5-2-115/?wpdmdl=13655&refresh=699a40561708b1771716694,,West Coast DM
