Category,Tender Number,Tender Description,Advertised,Closing,Organ Of State,Tender Type,Province,"Place where goods, works or services are required",Special Conditions,Contact Person,Email,Telephone number,FAX Number,Is there a briefing session?,Is it compulsory?,Briefing Date and Time,Briefing Venue,eSubmission,Two Envelope Submission,Source URL,Tender ID,Source
Municipal,WMM-1,WMM LM MBD FORMS 2023.pdf,,,Winnie Madikizela-Mandela Local Municipality,Request for Bid,Eastern Cape,"Bizana, Winnie Madikizela-Mandela",,,,,,,,,,,,https://www.winniemmlm.gov.za/wp-content/uploads/2023/02/WMM-LM-MBD-FORMS-2023.pdf.pdf,,Winnie Madikizela-Mandela
Municipal,WMM-2,Advert Cancellation,03/11/2025,,Winnie Madikizela-Mandela Local Municipality,Request for Bid,Eastern Cape,"Bizana, Winnie Madikizela-Mandela",,,,,,,,,,,,https://www.winniemmlm.gov.za/wp-content/uploads/2025/11/Advert-Cancellation.pdf,,Winnie Madikizela-Mandela
Municipal,WMM-3,4 Engineering Services Projects,03/10/2025,,Winnie Madikizela-Mandela Local Municipality,Request for Bid,Eastern Cape,"Bizana, Winnie Madikizela-Mandela",,,,,,,,,,,,https://www.winniemmlm.gov.za/wp-content/uploads/2025/10/4-Engineering-Services-Projects.pdf,,Winnie Madikizela-Mandela
Municipal,WMM-4,Maintenance of Recreational Facilities for 36 months,03/10/2025,03/11/2025,Winnie Madikizela-Mandela Local Municipality,Request for Bid,Eastern Cape,"Bizana, Winnie Madikizela-Mandela",,,,,,,,,,,,https://www.winniemmlm.gov.za/wp-content/uploads/2025/10/Maintenance-of-Recreational-Facilities-for-36-months.pdf,,Winnie Madikizela-Mandela
Municipal,WMM-5,Social Relief Material for 36 Months,17/10/2025,17/11/2025,Winnie Madikizela-Mandela Local Municipality,Request for Bid,Eastern Cape,"Bizana, Winnie Madikizela-Mandela",,,,,,,,,,,,https://www.winniemmlm.gov.za/wp-content/uploads/2025/10/Social-Relief-Material-for-36-Months.pdf,,Winnie Madikizela-Mandela
Municipal,WMM-6,Erratum for Supply and Implementation of Microsoft Office 365 for 36 Months,,24/11/2025,Winnie Madikizela-Mandela Local Municipality,Request for Bid,Eastern Cape,"Bizana, Winnie Madikizela-Mandela",,,,,,,,,,,,https://www.winniemmlm.gov.za/wp-content/uploads/2025/10/Erratum-for-Supply-and-Implementation-of-Microsoft-Office-365-for-36-Months.pdf,,Winnie Madikizela-Mandela
Municipal,WMM-7,Supply and Implementation of Microsoft Office 365 for 36 Months,03/10/2025,03/11/2025,Winnie Madikizela-Mandela Local Municipality,Request for Bid,Eastern Cape,"Bizana, Winnie Madikizela-Mandela",,,,,,,,,,,,https://www.winniemmlm.gov.za/wp-content/uploads/2025/10/Supply-and-Implementation-of-Microsoft-Office-365-for-36-Months.pdf,,Winnie Madikizela-Mandela
Municipal,WMM-8,Development of Redoubt Precinct Plan,19/09/2025,10/10/2025,Winnie Madikizela-Mandela Local Municipality,Request for Bid,Eastern Cape,"Bizana, Winnie Madikizela-Mandela",,,,,,,,,,,,https://www.winniemmlm.gov.za/wp-content/uploads/2025/09/Development-of-Redoubt-Precinct-Plan.pdf,,Winnie Madikizela-Mandela
Municipal,WMM-9,Erratum-Procurement of Mobile Contracts for five Years,,,Winnie Madikizela-Mandela Local Municipality,Request for Bid,Eastern Cape,"Bizana, Winnie Madikizela-Mandela",,,,,,,,,,,,https://www.winniemmlm.gov.za/wp-content/uploads/2025/08/Erratum-Procurement-of-Mobile-Contracts-for-five-Years.pdf,,Winnie Madikizela-Mandela
Municipal,WMM-10,Maintenance and Installation of CCTV Cameras for 36 Months,08/08/2025,09/09/2025,Winnie Madikizela-Mandela Local Municipality,Request for Bid,Eastern Cape,"Bizana, Winnie Madikizela-Mandela",,,,,,,,,,,,https://www.winniemmlm.gov.za/wp-content/uploads/2025/08/Maintenance-and-Installation-of-CCTV-Cameras-for-36-Months.pdf,,Winnie Madikizela-Mandela
Municipal,WMM-11,"Surfacing of Roads,Stormwater and Sidewalk Part2",15/08/2025,15/09/2025,Winnie Madikizela-Mandela Local Municipality,Request for Bid,Eastern Cape,"Bizana, Winnie Madikizela-Mandela",,,,,,,,,,,,https://www.winniemmlm.gov.za/wp-content/uploads/2025/08/Surfacing-of-RoadsStormwater-and-Sidewalk-Part2.pdf,,Winnie Madikizela-Mandela
Municipal,WMM-12,IT Projects,08/08/2025,25/08/2025,Winnie Madikizela-Mandela Local Municipality,Request for Bid,Eastern Cape,"Bizana, Winnie Madikizela-Mandela",,,,,,,,,,,,https://www.winniemmlm.gov.za/wp-content/uploads/2025/08/IT-Projects.pdf,,Winnie Madikizela-Mandela
Municipal,WMM-13,BID Document for Procurement of mobile contracts for five years (Re-Advert),08/08/2025,09/09/2025,Winnie Madikizela-Mandela Local Municipality,Request for Bid,Eastern Cape,"Bizana, Winnie Madikizela-Mandela",,,,,,,,,,,,https://www.winniemmlm.gov.za/wp-content/uploads/2025/08/BID-Document-for-Procurement-of-mobile-contracts-for-five-years-Re-Advert.pdf,,Winnie Madikizela-Mandela
Municipal,WMM-14,Supply and Installation of Printers and Copiers,27/06/2025,28/07/2025,Winnie Madikizela-Mandela Local Municipality,Request for Bid,Eastern Cape,"Bizana, Winnie Madikizela-Mandela",,,,,,,,,,,,https://www.winniemmlm.gov.za/wp-content/uploads/2025/07/Supply-and-Installation-of-Printers-and-Copiers.pdf,,Winnie Madikizela-Mandela
Municipal,WMM-15,"Design,Manufacturing and Erection of the Life-size Bronze Statue of Winnie Madikizela- Mandela",11/07/2025,01/08/2025,Winnie Madikizela-Mandela Local Municipality,Request for Bid,Eastern Cape,"Bizana, Winnie Madikizela-Mandela",,,,,,,,,,,,https://www.winniemmlm.gov.za/wp-content/uploads/2025/07/DesignManufacturing-and-Erection-of-the-Life-size-Bronze-Statue-of-Winnie-Madikizela-Mandela.pdf,,Winnie Madikizela-Mandela
Municipal,WMM-16,Panel of Attorneys for 36 Months - Part 2,04/07/2025,07/08/2025,Winnie Madikizela-Mandela Local Municipality,Request for Bid,Eastern Cape,"Bizana, Winnie Madikizela-Mandela",,,,,,,,,,,,https://www.winniemmlm.gov.za/wp-content/uploads/2025/07/Panel-of-Attorneys-for-36-Months-Part-2.pdf,,Winnie Madikizela-Mandela
Municipal,WMM-17,Advert - various projects,09/05/2025,09/06/2025,Winnie Madikizela-Mandela Local Municipality,Request for Bid,Eastern Cape,"Bizana, Winnie Madikizela-Mandela",,,,,,,,,,,,https://www.winniemmlm.gov.za/wp-content/uploads/2025/05/Advert-various-projects.pdf,,Winnie Madikizela-Mandela
Municipal,WMM-18,ERRATUM FOR LIBRARY MAINTANANCE,07/02/2025,21/02/2025,Winnie Madikizela-Mandela Local Municipality,Request for Bid,Eastern Cape,"Bizana, Winnie Madikizela-Mandela",,,,,,,,,,,,https://www.winniemmlm.gov.za/wp-content/uploads/2025/02/ERRATUM-FOR-LIBRARY-MAINTANANCE.pdf,,Winnie Madikizela-Mandela
Municipal,WMM-19,Service Provider for Traslation HR Policies,24/01/2025,13/02/2025,Winnie Madikizela-Mandela Local Municipality,Request for Bid,Eastern Cape,"Bizana, Winnie Madikizela-Mandela",,,,,,,,,,,,https://www.winniemmlm.gov.za/wp-content/uploads/2025/01/Service-Provider-for-Traslation-HR-Policies.pdf,,Winnie Madikizela-Mandela
Municipal,WMM-20,Maintenance of library Facilities,24/01/2025,13/02/2025,Winnie Madikizela-Mandela Local Municipality,Request for Bid,Eastern Cape,"Bizana, Winnie Madikizela-Mandela",,,,,,,,,,,,https://www.winniemmlm.gov.za/wp-content/uploads/2025/01/Maintenance-of-library-Facilities.pdf,,Winnie Madikizela-Mandela
Municipal,WMM-21,Electricity projects,24/01/2025,13/02/2025,Winnie Madikizela-Mandela Local Municipality,Request for Bid,Eastern Cape,"Bizana, Winnie Madikizela-Mandela",,,,,,,,,,,,https://www.winniemmlm.gov.za/wp-content/uploads/2025/01/Electricity-projects.pdf,,Winnie Madikizela-Mandela
Municipal,WMM-22,Panel of Attorneys,24/01/2025,24/02/2025,Winnie Madikizela-Mandela Local Municipality,Request for Bid,Eastern Cape,"Bizana, Winnie Madikizela-Mandela",,,,,,,,,,,,https://www.winniemmlm.gov.za/wp-content/uploads/2025/01/Panel-of-Attorneys.pdf,,Winnie Madikizela-Mandela
Municipal,WMM-23,Maintenance Of Roads_,24/01/2025,24/02/2025,Winnie Madikizela-Mandela Local Municipality,Request for Bid,Eastern Cape,"Bizana, Winnie Madikizela-Mandela",,,,,,,,,,,,https://www.winniemmlm.gov.za/wp-content/uploads/2025/01/Maintenance-Of-Roads_.pdf,,Winnie Madikizela-Mandela
Municipal,WMM-24,Procurement of IT projects,24/01/2025,27/02/2025,Winnie Madikizela-Mandela Local Municipality,Request for Bid,Eastern Cape,"Bizana, Winnie Madikizela-Mandela",,,,,,,,,,,,https://www.winniemmlm.gov.za/wp-content/uploads/2025/01/Procurement-of-IT-projects.pdf,,Winnie Madikizela-Mandela
Municipal,WMM-25,Upgrading of Municipal Guard House,06/12/2024,07/02/2025,Winnie Madikizela-Mandela Local Municipality,Request for Bid,Eastern Cape,"Bizana, Winnie Madikizela-Mandela",,,,,,,,,,,,https://www.winniemmlm.gov.za/wp-content/uploads/2024/12/Upgrading-of-Municipal-Guard-House.pdf,,Winnie Madikizela-Mandela
Municipal,WMM-26,Adverts Dvelopment Planning Projects,06/12/2024,06/01/2025,Winnie Madikizela-Mandela Local Municipality,Request for Bid,Eastern Cape,"Bizana, Winnie Madikizela-Mandela",,,,,,,,,,,,https://www.winniemmlm.gov.za/wp-content/uploads/2024/12/Adverts-Dvelopment-Planning-Projects.pdf,,Winnie Madikizela-Mandela
Municipal,WMM-27,Advert Maintenance of CCTV Cameras,06/12/2024,09/01/2025,Winnie Madikizela-Mandela Local Municipality,Request for Bid,Eastern Cape,"Bizana, Winnie Madikizela-Mandela",,,,,,,,,,,,https://www.winniemmlm.gov.za/wp-content/uploads/2024/12/Advert-Maintenance-of-CCTV-Cameras.pdf,,Winnie Madikizela-Mandela
Municipal,WMM-28,Advert Supply Delivery and Installation of Jungle Gym Equipment,06/12/2024,06/01/2025,Winnie Madikizela-Mandela Local Municipality,Request for Bid,Eastern Cape,"Bizana, Winnie Madikizela-Mandela",,,,,,,,,,,,https://www.winniemmlm.gov.za/wp-content/uploads/2024/12/Advert-Supply-Delivery-and-Installation-of-Jungle-Gym-Equipment.pdf,,Winnie Madikizela-Mandela
Municipal,WMM-29,Erratum_ Support and Capacity Building for MSMEs and Incubatees,06/12/2024,06/01/2025,Winnie Madikizela-Mandela Local Municipality,Request for Bid,Eastern Cape,"Bizana, Winnie Madikizela-Mandela",,,,,,,,,,,,https://www.winniemmlm.gov.za/wp-content/uploads/2024/12/Erratum_-Support-and-Capacity-Building-for-MSMEs-and-Incubatees.pdf,,Winnie Madikizela-Mandela
Municipal,WMM-30,Advert Support and Capacity Building for MSMEs and Incubatees,08/11/2024,28/11/2024,Winnie Madikizela-Mandela Local Municipality,Request for Bid,Eastern Cape,"Bizana, Winnie Madikizela-Mandela",,,,,,,,,,,,https://www.winniemmlm.gov.za/wp-content/uploads/2024/11/Advert-Support-and-Capacity-Building-for-MSMEs-and-Incubatees-1.pdf,,Winnie Madikizela-Mandela
Municipal,WMM-31,Advert Panel of service providers _Turnkey contract electricity for 3 years and Maintenance and service of a Back up generator for 3 yeras,20/09/2024,22/10/2024,Winnie Madikizela-Mandela Local Municipality,Request for Bid,Eastern Cape,"Bizana, Winnie Madikizela-Mandela",,,,,,,,,,,,https://www.winniemmlm.gov.za/wp-content/uploads/2024/09/Advert-Panel-of-service-providers-_Turnkey-contract-electricity-for-3-years-and-Maintenance-and-service-of-a-Back-up-generator-for-3-yeras.pdf,,Winnie Madikizela-Mandela
Municipal,WMM-32,Tender advert Construction of Ward 16 and 32 Community halls,06/09/2024,27/08/2024,Winnie Madikizela-Mandela Local Municipality,Request for Bid,Eastern Cape,"Bizana, Winnie Madikizela-Mandela",,,,,,,,,,,,https://www.winniemmlm.gov.za/wp-content/uploads/2024/09/Tender-advert-Construction-of-Ward-16-and-32-Community-halls.pdf,,Winnie Madikizela-Mandela
Municipal,WMM-33,Tender advert Planning and Development Projects,06/09/2024,30/08/2024,Winnie Madikizela-Mandela Local Municipality,Request for Bid,Eastern Cape,"Bizana, Winnie Madikizela-Mandela",,,,,,,,,,,,https://www.winniemmlm.gov.za/wp-content/uploads/2024/09/Tender-advert-Planning-and-Development-Projects.pdf,,Winnie Madikizela-Mandela
Municipal,WMM-34,Advert Panel of Service Providers_ Engineering Services,26/07/2024,26/08/2024,Winnie Madikizela-Mandela Local Municipality,Request for Bid,Eastern Cape,"Bizana, Winnie Madikizela-Mandela",,,,,,,,,,,,https://www.winniemmlm.gov.za/wp-content/uploads/2024/07/Advert-Panel-of-Service-Providers_-Engineering-Services.pdf,,Winnie Madikizela-Mandela
Municipal,WMM-35,Tender Advert Development of Wild Coast Precinct Plans,31/05/2024,14/06/2024,Winnie Madikizela-Mandela Local Municipality,Request for Bid,Eastern Cape,"Bizana, Winnie Madikizela-Mandela",,,,,,,,,,,,https://www.winniemmlm.gov.za/wp-content/uploads/2024/05/Tender-Advert-Development-of-Wild-Coast-Precinct-Plans.pdf,,Winnie Madikizela-Mandela
Municipal,WMM-36,Advert Indigent Verification for 36 Months,24/05/2024,26/06/2024,Winnie Madikizela-Mandela Local Municipality,Request for Bid,Eastern Cape,"Bizana, Winnie Madikizela-Mandela",,,,,,,,,,,,https://www.winniemmlm.gov.za/wp-content/uploads/2024/05/Advert-Indigent-Verification-for-36-Months.pdf,,Winnie Madikizela-Mandela
Municipal,WMM-37,Advert Multi Utility Online Prepaid Electricity Vending Management System for 36 Months,24/05/2024,26/06/2024,Winnie Madikizela-Mandela Local Municipality,Request for Bid,Eastern Cape,"Bizana, Winnie Madikizela-Mandela",,,,,,,,,,,,https://www.winniemmlm.gov.za/wp-content/uploads/2024/05/Advert-Multi-Utility-Online-Prepaid-Electricity-Vending-Management-System-for-36-Months.pdf,,Winnie Madikizela-Mandela
Municipal,WMM-38,Advert Multi Discipline Panel of Consultants,17/05/2024,18/06/2024,Winnie Madikizela-Mandela Local Municipality,Request for Bid,Eastern Cape,"Bizana, Winnie Madikizela-Mandela",,,,,,,,,,,,https://www.winniemmlm.gov.za/wp-content/uploads/2024/05/Advert-Multi-Discipline-Panel-of-Consultants.pdf,,Winnie Madikizela-Mandela
Municipal,WMM-39,Advert General valuation Roll,10/05/2024,10/06/2024,Winnie Madikizela-Mandela Local Municipality,Request for Bid,Eastern Cape,"Bizana, Winnie Madikizela-Mandela",,,,,,,,,,,,https://www.winniemmlm.gov.za/wp-content/uploads/2024/05/Advert-General-valuation-Roll.pdf,,Winnie Madikizela-Mandela
Municipal,WMM-40,"PANEL OF SERVICE PROVIDERS(TURNKEY CONTRACT, ELECTRICITY) FOR 3 YEARS",10/05/2024,11/06/2024,Winnie Madikizela-Mandela Local Municipality,Request for Bid,Eastern Cape,"Bizana, Winnie Madikizela-Mandela",,,,,,,,,,,,https://www.winniemmlm.gov.za/wp-content/uploads/2024/05/PANEL-OF-SERVICE-PROVIDERSTURNKEY-CONTRACT-ELECTRICITY-FOR-3-YEARS.pdf,,Winnie Madikizela-Mandela
